,Unnamed: 0,l1,l2,numColexified,numMatchingColexified,n_overlapConcepts,n_overlapConceptPairs,l1_iso2,l2_iso2
0,0,hind1269,lati1261,27,451497,951,451725,hi,la
1,1,hind1269,osse1243,25,449544,949,449826,hi,os
2,2,hind1269,avar1256,48,434436,933,434778,hi,av
3,3,hind1269,chec1245,32,441995,941,442270,hi,ce
4,4,hind1269,erzy1239,34,451440,951,451725,hi,myv
5,5,hind1269,esto1258,24,451536,951,451725,hi,et
6,6,hind1269,finn1318,26,451526,951,451725,hi,fi
7,7,hind1269,hung1274,31,451517,951,451725,hi,hu
8,8,hind1269,lakk1252,35,430806,929,431056,hi,lbe
9,9,hind1269,nort2671,16,450556,950,450775,hi,se
10,10,hind1269,lezg1247,36,439177,938,439453,hi,lez
11,11,hind1269,east2328,23,451485,951,451725,hi,mhr
12,12,hind1269,udmu1245,37,451465,951,451725,hi,udm
13,13,hind1269,mode1248,39,451517,951,451725,hi,el
14,14,hind1269,ital1282,32,451520,951,451725,hi,it
15,15,hind1269,stan1290,33,451487,951,451725,hi,fr
16,16,hind1269,stan1288,25,451515,951,451725,hi,es
17,17,hind1269,stan1289,21,451522,951,451725,hi,ca
18,18,hind1269,port1283,29,451514,951,451725,hi,pt
19,19,hind1269,roma1327,42,451524,951,451725,hi,ro
20,20,hind1269,iris1253,36,449517,949,449826,hi,ga
21,21,hind1269,wels1247,28,451490,951,451725,hi,cy
22,22,hind1269,bret1244,22,438274,937,438516,hi,br
23,23,hind1269,dani1285,15,450567,950,450775,hi,da
24,24,hind1269,swed1254,15,451527,951,451725,hi,sv
25,25,hind1269,stan1293,6,451501,951,451725,hi,en
26,26,hind1269,dutc1256,18,451518,951,451725,hi,nl
27,27,hind1269,stan1295,8,451544,951,451725,hi,de
28,28,hind1269,lith1251,29,451526,951,451725,hi,lt
29,29,hind1269,latv1249,21,451547,951,451725,hi,lv
30,30,hind1269,bulg1262,23,449612,949,449826,hi,bg
31,31,hind1269,czec1258,17,451543,951,451725,hi,cs
32,32,hind1269,poli1260,20,451528,951,451725,hi,pl
33,33,hind1269,russ1263,12,451552,951,451725,hi,ru
34,34,hind1269,west2369,28,451502,951,451725,hi,fa
35,35,hind1269,basq1248,17,451466,951,451725,hi,eu
36,36,hind1269,beng1280,29,451530,951,451725,hi,bn
37,37,hind1269,tami1289,19,451544,951,451725,hi,ta
38,38,hind1269,telu1262,33,451468,951,451725,hi,te
39,39,hind1269,veps1250,27,451515,951,451725,hi,vep
40,40,hind1269,west2392,36,447711,947,447931,hi,mrj
41,41,hind1269,moks1248,32,450543,950,450775,hi,mdf
42,42,hind1269,nort2641,27,451502,951,451725,hi,ku
43,43,hind1269,nucl1235,16,450604,950,450775,hi,hy
44,44,hind1269,croa1245,10,450582,950,450775,hi,hr
45,45,hind1269,slov1268,8,450611,950,450775,hi,sl
46,46,hind1269,slov1269,21,451551,951,451725,hi,sk
47,47,hind1269,ukra1253,10,451569,951,451725,hi,uk
48,48,hind1269,bela1254,10,451567,951,451725,hi,be
49,49,hind1269,icel1247,13,451533,951,451725,hi,is
50,50,hind1269,norw1258,10,450579,950,450775,hi,no
51,51,hind1269,nucl1301,35,451519,951,451725,hi,tr
52,52,hind1269,kaza1248,24,451534,951,451725,hi,kk
53,53,hind1269,bash1264,30,451498,951,451725,hi,ba
54,54,hind1269,tata1255,25,451495,951,451725,hi,tt
55,55,hind1269,chuv1255,27,450512,950,450775,hi,cv
56,56,hind1269,yaku1245,30,451441,951,451725,hi,sah
57,57,hind1269,kalm1243,21,450565,950,450775,hi,xal
58,58,hind1269,kore1280,13,442095,941,442270,hi,ko
59,59,hind1269,nucl1643,21,451495,951,451725,hi,ja
60,60,hind1269,nucl1305,12,451539,951,451725,hi,kn
