l1,l2,IDS_SEMANTICFIELD_l1,local_alignment,comparison_count
fr,ka,Animals,-0.2539526965584213,1
hu,ka,Animals,-0.17743384481685973,1
sv,ka,Modern world,-0.16734301957621722,1
hu,ka,Possession,-0.1507311829900196,1
hy,hr,The house,-0.14300000374739275,1
ca,ka,Miscellaneous function words,-0.14037267283972427,10
fi,ka,The house,-0.1381113261234675,1
uk,ka,Modern world,-0.13701999477506704,1
ka,eu,Possession,-0.13531051282921913,1
hy,ko,Food and drink,-0.12452611286759048,1
pt,ka,The house,-0.1171136960048598,1
ca,ka,Cognition,-0.10706183187531622,11
fi,ka,Animals,-0.10693296053664628,1
is,ka,Modern world,-0.10463341279295918,1
uk,ka,Miscellaneous function words,-0.10257380731032223,11
hy,lt,Food and drink,-0.09993785279071488,1
es,ka,Animals,-0.09504590571792708,1
lv,hy,Possession,-0.09275704247051407,2
ka,he,Animals,-0.09122744436106206,1
ko,ka,The physical world,-0.09117990448757916,2
hy,eu,Food and drink,-0.09068505052457948,1
pt,ka,Animals,-0.09067973317595704,1
lv,hy,The physical world,-0.08968027362179182,2
hy,eu,The physical world,-0.0896587896839521,4
uk,ja,Miscellaneous function words,-0.08873958045473795,10
en,ka,Motion,-0.08778770899709036,3
sq,ka,Basic actions and technology,-0.08605715656048603,7
uk,ka,Basic actions and technology,-0.08553292274528652,9
hy,sq,Basic actions and technology,-0.08542535554698302,9
de,br,Speech and language,-0.08507822978504141,7
ka,ar,Cognition,-0.08466721208146814,12
sk,ka,Animals,-0.08462684029365668,1
en,ka,Miscellaneous function words,-0.08461010418130951,10
uk,ka,Speech and language,-0.08266000449823782,5
hy,is,Modern world,-0.0813429023010992,2
no,br,Speech and language,-0.07833720347454547,10
is,ka,Animals,-0.07805566402754616,1
en,ka,Modern world,-0.0770205395172379,1
br,ja,Animals,-0.07697654263394199,4
ro,ka,The house,-0.07556694317958702,1
nl,ka,Modern world,-0.07550353865703399,1
fa,hy,The body,-0.07493874035216977,6
de,ka,Miscellaneous function words,-0.07467299420317391,11
it,ka,The house,-0.07438329170721666,1
nl,ka,Possession,-0.07419068357841146,1
hy,no,The house,-0.07404528217309428,2
ka,he,Speech and language,-0.07357073836277739,6
ca,ka,Speech and language,-0.07338904646993948,7
sq,ka,The house,-0.07211980246069999,1
lv,ka,Animals,-0.07177651776862258,1
hy,is,Basic actions and technology,-0.07090344553746857,8
ka,he,The physical world,-0.06847416836249148,2
lt,ka,Animals,-0.06788207450967358,1
da,br,Speech and language,-0.06746791319572297,11
fi,br,Speech and language,-0.06704812342256566,10
ka,he,Cognition,-0.06646753835786207,12
hr,ka,The physical world,-0.06530728886355606,2
br,he,Speech and language,-0.06476570774216131,10
fa,br,Speech and language,-0.06406044386782903,6
ko,ka,Modern world,-0.06387809474313573,1
