l1,l2,local_alignment,comparison_count
ca,ka,-0.04947725181486838,141
uk,ka,-0.03756898564087026,174
de,ka,-0.023157119436032568,99
ka,he,-0.021518723170062776,168
en,ka,-0.01699787698252912,156
no,ka,-0.016670615346473756,166
ko,ka,-0.015287982122369273,128
sq,ka,-0.014424554794627375,181
is,ka,-0.009809651383439057,173
hu,ka,-0.004847082673348842,197
ka,eu,-0.003040321797199005,180
et,ka,-0.00282884485171619,180
tr,ka,-0.0016275928993092863,204
lt,ka,0.000881747501307798,184
sv,ka,0.0022441468942171554,175
fi,ka,0.002793527011858155,198
da,ka,0.00586905962651603,165
hy,sq,0.010142191621180874,148
hy,eu,0.01168001828511788,145
br,ka,0.012352249389166363,109
it,ka,0.014258261473988709,176
ka,ar,0.014476938852599545,178
hy,ko,0.018627290820541615,111
pt,ka,0.020831898903515833,188
br,ko,0.02242620192165974,215
fa,ka,0.023614151309572118,195
lv,ka,0.02480811147548851,168
sk,ka,0.025846891634217575,193
ro,ka,0.028132937188517514,195
nl,ka,0.02856706818216886,204
da,br,0.028799677926306586,347
hy,is,0.03000878195220459,145
cs,ka,0.030274232763535955,187
br,ja,0.03052443867458333,227
es,ka,0.030552528669410887,170
hr,ka,0.030873311653763377,207
fr,ka,0.03223490576572076,181
el,ka,0.03342446202706211,180
de,br,0.03508269799907029,199
no,br,0.038059597985894124,354
sq,br,0.041841673988491146,361
bg,ka,0.04211348842108061,191
ru,ka,0.049278436948659715,170
nl,br,0.05056900586757457,395
lv,br,0.05166214635309412,277
hy,no,0.051771792353896555,142
sv,br,0.05209169771364826,370
hy,ja,0.05326117756462771,127
et,hy,0.055351500724640075,151
br,ro,0.05569124107548662,427
br,eu,0.05759543667866948,351
hy,nl,0.058352861265648696,164
fi,br,0.05843769268528796,413
br,ca,0.058751130590978334,322
is,br,0.058890632184300705,352
br,pt,0.06254344987759079,408
br,fr,0.06261259078673573,396
en,br,0.0628371341777136,333
ja,ka,0.06362042891151137,153
br,he,0.06577980839664421,346
uk,br,0.06608876109975345,338
br,it,0.06769701297074565,382
hy,en,0.06898453853603859,134
et,br,0.06989843365614001,371
is,ja,0.06995094154782285,457
fi,hy,0.0707531859942741,158
pl,ka,0.07160929088337681,184
fa,hy,0.07306495092942188,154
hu,br,0.0744355227147451,424
fa,br,0.07474296371226107,339
hy,pt,0.07641179344741007,160
cs,br,0.08014312265294726,366
hy,lt,0.08105227606159177,157
br,es,0.08121616890259957,390
br,ar,0.08126137428440779,377
ca,ja,0.08155201661733506,426
sk,br,0.08168343256106775,382
hy,tr,0.08329765033992256,171
ru,br,0.0834117293709721,348
lt,br,0.08375846334751096,404
hy,uk,0.08381811061490761,137
hy,de,0.08413692700001225,86
hy,ca,0.0844096273677348,128
hu,hy,0.0854319468528092,159
pl,br,0.08575378302557198,374
hy,ro,0.08577139809408262,160
no,ja,0.08602818959090625,487
hy,ru,0.08770081014105581,135
hy,sk,0.08800868980248458,160
bg,br,0.0891617235303462,399
hy,bg,0.08971286397593171,157
uk,ja,0.08995652520141158,468
ko,ja,0.09180186261800803,335
el,br,0.09208427064465446,383
hr,br,0.09225232494490566,390
hy,da,0.0932765659636085,138
hy,it,0.09355353690871174,147
is,ko,0.09421693527048265,496
de,ja,0.09459205703793426,205
hy,sv,0.09585160703394541,145
