,l1,l2,local_alignment,comparison_count
0,kn,ab,-0.00945820823221137,108
1,kv,xal,0.0042115848828685265,158
2,udm,xal,0.013994738247363777,217
3,ja,lbe,0.01675376355939284,151
4,ku,xal,0.017017975851012425,236
5,lbe,zh,0.017470435775276696,143
6,ab,zh,0.018383781980149668,122
7,ja,ab,0.01981803975402368,116
8,xal,ce,0.0249308506028404,237
9,cv,xal,0.02664898620450698,119
10,kn,lbe,0.02766570356592209,139
11,xal,ja,0.028891307474312036,241
12,xal,zh,0.029395871076294794,263
13,bn,ab,0.031450913542222916,97
14,xal,lez,0.032315173768774616,217
15,uz,lbe,0.03407553912994574,108
16,uz,xal,0.03564158111832039,190
17,ta,ab,0.03630314063342965,101
18,ga,lbe,0.03829614950169398,149
19,bn,xal,0.038545311065357274,229
20,myv,xal,0.03986419434947129,211
21,ps,xal,0.040537943843562796,271
22,xal,kn,0.04193655075358603,248
23,te,ab,0.042884994864401824,95
24,sah,xal,0.04363583733278332,265
25,mdf,ta,0.04427261958769747,214
26,udm,ab,0.04462519594386343,102
27,ga,xal,0.047163580385597564,286
28,myv,lbe,0.04716467731743115,121
29,is,xal,0.049270732928308296,282
30,xal,he,0.049766788117783005,274
31,mdf,kn,0.049841720634236,228
32,ko,ab,0.049976066654064115,106
33,myv,ja,0.051090750336976014,394
34,se,he,0.05112944310549253,96
35,xal,ko,0.05133884206557643,243
36,mhr,de,0.05180132136079754,30
37,kv,zh,0.05217066941152023,325
38,xal,te,0.052685148489642876,235
39,mrj,lbe,0.05304773962404303,126
40,sah,ab,0.05350774670557527,113
41,mrj,xal,0.05419831151786552,211
42,tt,xal,0.05432768866144521,283
43,mdf,ga,0.05607456965044018,285
44,la,xal,0.05751584923342963,286
45,lbe,ce,0.057520934005043656,126
46,ko,lbe,0.05957160995921893,132
47,ta,lbe,0.0601842551086809,122
48,br,xal,0.06068015357787162,227
49,lbe,he,0.0630040304735549,145
50,be,xal,0.06428282434785691,276
51,xal,ka,0.06430207482721884,297
52,os,xal,0.06474465341666368,151
53,myv,lez,0.06612159372377316,338
54,tt,ab,0.0662684024380141,133
55,xal,ta,0.06631267697817576,222
56,cy,xal,0.06661641947805279,271
57,ce,zh,0.06691201804900786,677
58,no,xal,0.06728707713276814,286
59,vep,xal,0.06741383492198898,188
60,da,xal,0.06745960256989754,282
61,hy,xal,0.06753889814034124,288
62,ps,ab,0.06764104227681685,120
63,xal,av,0.06769771124679569,174
64,mdf,zh,0.06835400080188947,250
65,kv,ja,0.06840379081111628,307
66,xal,eu,0.06855478032685518,300
67,ba,xal,0.06886561343645688,268
68,vep,lbe,0.06998631854709816,109
69,ab,ce,0.07069829384177757,112
70,az,xal,0.07078780590390284,287
71,sah,lbe,0.07139366318383211,137
72,mdf,ja,0.07156484832951074,226
73,mdf,br,0.07162938822806585,229
74,cy,lbe,0.07173684634915753,141
75,mn,xal,0.0723786456499542,340
76,bg,xal,0.07249958791093798,302
77,lv,lbe,0.0730577075270677,154
78,ga,ab,0.07322394133290526,125
79,lv,xal,0.07330962907536277,287
80,sq,xal,0.07389087151805715,293
81,xal,ml,0.07431085091563266,246
82,udm,lbe,0.0743958881010614,118
83,el,xal,0.07447359849156271,305
84,mdf,en,0.0752617666502526,248
85,myv,udm,0.07549731788758035,331
86,sv,xal,0.07557047950752134,306
87,mdf,uz,0.07563601397302476,181
88,myv,zh,0.07567183767412239,432
89,sk,xal,0.07687153498147853,306
90,mdf,xal,0.07723198369133646,144
91,en,ab,0.0772422064631553,127
92,sq,lbe,0.0774277767642741,166
93,lt,xal,0.07765760137848059,302
94,bn,lbe,0.07770634300415782,133
95,ba,ab,0.07844055194883899,123
96,br,ab,0.07844842240839141,105
97,mdf,bn,0.07851425516369784,218
98,en,xal,0.07893068535344258,261
99,en,lbe,0.0789827900505355,139
100,et,lbe,0.07919286848934406,160
101,mdf,sah,0.07932854777487229,242
102,ab,he,0.07936010357972388,125
103,kk,xal,0.07936151695693089,314
104,pt,xal,0.08001676116514646,305
105,is,lbe,0.08091572743137254,152
106,myv,uz,0.08099034175003232,311
107,xal,ar,0.08127568415528018,294
108,cv,zh,0.08133686099367488,289
109,mdf,la,0.08191334282274566,267
110,ro,xal,0.08198609479956075,320
111,av,zh,0.08200545959871722,371
112,te,lbe,0.08211818322175535,132
113,kv,sah,0.08292448182778439,311
114,ca,xal,0.08331512028559948,267
115,lez,zh,0.08357452750491874,484
116,bg,lbe,0.08377666313648036,161
117,hr,xal,0.08380781494045192,319
118,kv,uz,0.08388294546464532,209
119,mdf,lez,0.08401438077177097,225
120,mdf,cy,0.08405112586164878,248
121,ca,ab,0.08406799147796713,125
122,myv,ps,0.08443563903385304,423
123,es,xal,0.08456700453261376,298
124,fa,xal,0.08484838506302506,311
125,sah,ja,0.08487909583311896,615
126,et,xal,0.08519297364198432,291
127,myv,cv,0.08525081338793865,172
128,ru,xal,0.08564982450347575,276
129,myv,ce,0.08585796372389401,372
