"iso2_l1","iso2_l2","rho","family1","family2","comparison_count","name_l1","name_l2"
"ar","he",0.2389558035832,"Afro-Asiatic","Afro-Asiatic",1093,"Arabic","Hebrew"
"ar","zh",0.19594675064775,"Afro-Asiatic","Sino-Tibetan",1025,"Arabic","Chinese"
"az","ar",0.245193415564982,"Turkic","Afro-Asiatic",1013,"Azerbaijani","Arabic"
"az","eu",0.267797205356126,"Turkic","Basque",1019,"Azerbaijani","Basque"
"az","he",0.218440561503058,"Turkic","Afro-Asiatic",959,"Azerbaijani","Hebrew"
"az","ja",0.193807467671014,"Turkic","Japonic",845,"Azerbaijani","Japanese"
"az","ka",0.267887822394491,"Turkic","Kartvelian",953,"Azerbaijani","Georgian"
"az","kk",0.256600565435632,"Turkic","Turkic",1047,"Azerbaijani","Kazakh"
"az","ko",0.233343248936732,"Turkic","Koreanic",760,"Azerbaijani","Korean"
"az","ta",0.254063653083585,"Turkic","Dravidian",727,"Azerbaijani","Tamil"
"az","uz",0.26693413379369,"Turkic","Turkic",539,"Azerbaijani","Uzbek"
"az","zh",0.197829826963207,"Turkic","Sino-Tibetan",900,"Azerbaijani","Chinese"
"be","ar",0.273021475860329,"Indo-European","Afro-Asiatic",1004,"Belarusian","Arabic"
"be","az",0.269095223463678,"Indo-European","Turkic",932,"Belarusian","Azerbaijani"
"be","ca",0.323004802857764,"Indo-European","Indo-European",930,"Belarusian","Catalan"
"be","da",0.302119572999507,"Indo-European","Indo-European",951,"Belarusian","Danish"
"be","de",0.300793898868682,"Indo-European","Indo-European",436,"Belarusian","German"
"be","en",0.305110276174789,"Indo-European","Indo-European",894,"Belarusian","English"
"be","es",0.333640874845602,"Indo-European","Indo-European",1059,"Belarusian","Spanish"
"be","eu",0.284127041732665,"Indo-European","Basque",1013,"Belarusian","Basque"
"be","fr",0.312367552196128,"Indo-European","Indo-European",1046,"Belarusian","French"
"be","he",0.231111794240501,"Indo-European","Afro-Asiatic",952,"Belarusian","Hebrew"
"be","it",0.328677493012279,"Indo-European","Indo-European",1012,"Belarusian","Italian"
"be","ja",0.21316326103991,"Indo-European","Japonic",834,"Belarusian","Japanese"
"be","ka",0.303731997717809,"Indo-European","Kartvelian",945,"Belarusian","Georgian"
"be","kk",0.25723519184948,"Indo-European","Turkic",1037,"Belarusian","Kazakh"
"be","ko",0.2439092735009,"Indo-European","Koreanic",748,"Belarusian","Korean"
"be","lt",0.328742304293429,"Indo-European","Indo-European",1103,"Belarusian","Lithuanian"
"be","nl",0.3095446950031,"Indo-European","Indo-European",1074,"Belarusian","Dutch"
"be","no",0.288894139193157,"Indo-European","Indo-European",981,"Belarusian","Norwegian (Bokmål)"
"be","pt",0.304375284275896,"Indo-European","Indo-European",1064,"Belarusian","Portuguese"
"be","ro",0.284035285473039,"Indo-European","Indo-European",1105,"Belarusian","Romanian"
"be","ru",0.412748358376126,"Indo-European","Indo-European",974,"Belarusian","Russian"
"be","sv",0.284870641483126,"Indo-European","Indo-European",1021,"Belarusian","Swedish"
"be","ta",0.263580546666374,"Indo-European","Dravidian",714,"Belarusian","Tamil"
"be","tr",0.298540105908988,"Indo-European","Turkic",1084,"Belarusian","Turkish"
"be","uz",0.253838211345234,"Indo-European","Turkic",514,"Belarusian","Uzbek"
"be","zh",0.21178913942769,"Indo-European","Sino-Tibetan",898,"Belarusian","Chinese"
"bg","ar",0.285498914871149,"Indo-European","Afro-Asiatic",1085,"Bulgarian","Arabic"
"bg","az",0.291176552436614,"Indo-European","Turkic",1011,"Bulgarian","Azerbaijani"
"bg","be",0.31389191966298,"Indo-European","Indo-European",1014,"Bulgarian","Belarusian"
"bg","ca",0.33545527406131,"Indo-European","Indo-European",1043,"Bulgarian","Catalan"
"bg","cs",0.353255920674153,"Indo-European","Indo-European",1125,"Bulgarian","Czech"
"bg","da",0.316710905852882,"Indo-European","Indo-European",1050,"Bulgarian","Danish"
"bg","de",0.321402724520553,"Indo-European","Indo-European",459,"Bulgarian","German"
"bg","en",0.316780117219161,"Indo-European","Indo-European",991,"Bulgarian","English"
"bg","es",0.345782877489545,"Indo-European","Indo-European",1154,"Bulgarian","Spanish"
"bg","eu",0.287872678678105,"Indo-European","Basque",1110,"Bulgarian","Basque"
"bg","fr",0.321612989106685,"Indo-European","Indo-European",1180,"Bulgarian","French"
"bg","he",0.247614424047797,"Indo-European","Afro-Asiatic",1035,"Bulgarian","Hebrew"
"bg","hr",0.317384683197877,"Indo-European","Indo-European",1202,"Bulgarian","Croatian"
"bg","it",0.336767733953884,"Indo-European","Indo-European",1094,"Bulgarian","Italian"
"bg","ja",0.221699165431107,"Indo-European","Japonic",898,"Bulgarian","Japanese"
"bg","ka",0.29855819429579,"Indo-European","Kartvelian",1046,"Bulgarian","Georgian"
"bg","kk",0.263354412110159,"Indo-European","Turkic",1123,"Bulgarian","Kazakh"
"bg","ko",0.257188364370477,"Indo-European","Koreanic",810,"Bulgarian","Korean"
"bg","lt",0.312800970799632,"Indo-European","Indo-European",1208,"Bulgarian","Lithuanian"
"bg","nl",0.317715659148478,"Indo-European","Indo-European",1184,"Bulgarian","Dutch"
"bg","no",0.305003946148449,"Indo-European","Indo-European",1088,"Bulgarian","Norwegian (Bokmål)"
"bg","pl",0.351795089269364,"Indo-European","Indo-European",1105,"Bulgarian","Polish"
"bg","pt",0.318294283144218,"Indo-European","Indo-European",1186,"Bulgarian","Portuguese"
"bg","ro",0.293537596975396,"Indo-European","Indo-European",1255,"Bulgarian","Romanian"
"bg","ru",0.36230264575067,"Indo-European","Indo-European",1047,"Bulgarian","Russian"
"bg","sk",0.314795129628556,"Indo-European","Indo-European",1149,"Bulgarian","Slovak"
"bg","sv",0.294607169829501,"Indo-European","Indo-European",1129,"Bulgarian","Swedish"
"bg","ta",0.272355962131423,"Indo-European","Dravidian",790,"Bulgarian","Tamil"
"bg","tr",0.308972440931379,"Indo-European","Turkic",1186,"Bulgarian","Turkish"
"bg","uk",0.360785340064329,"Indo-European","Indo-European",1056,"Bulgarian","Ukrainian"
"bg","uz",0.268349640624338,"Indo-European","Turkic",591,"Bulgarian","Uzbek"
"bg","zh",0.235200194436849,"Indo-European","Sino-Tibetan",970,"Bulgarian","Chinese"
"ca","ar",0.287049949108081,"Indo-European","Afro-Asiatic",1078,"Catalan","Arabic"
"ca","az",0.289137126465375,"Indo-European","Turkic",946,"Catalan","Azerbaijani"
"ca","es",0.436378773314363,"Indo-European","Indo-European",1186,"Catalan","Spanish"
"ca","eu",0.312979202861457,"Indo-European","Basque",1036,"Catalan","Basque"
"ca","he",0.259526142083233,"Indo-European","Afro-Asiatic",1004,"Catalan","Hebrew"
"ca","it",0.392453287204764,"Indo-European","Indo-European",1102,"Catalan","Italian"
"ca","ja",0.247375556319973,"Indo-European","Japonic",901,"Catalan","Japanese"
"ca","ka",0.30463915779054,"Indo-European","Kartvelian",939,"Catalan","Georgian"
"ca","kk",0.278910215951006,"Indo-European","Turkic",1073,"Catalan","Kazakh"
"ca","ko",0.260740131644756,"Indo-European","Koreanic",765,"Catalan","Korean"
"ca","pt",0.367459914595884,"Indo-European","Indo-European",1205,"Catalan","Portuguese"
"ca","ro",0.306672445090621,"Indo-European","Indo-European",1216,"Catalan","Romanian"
"ca","ta",0.282201727971734,"Indo-European","Dravidian",729,"Catalan","Tamil"
"ca","tr",0.313704376453783,"Indo-European","Turkic",1120,"Catalan","Turkish"
"ca","uz",0.264385787686942,"Indo-European","Turkic",507,"Catalan","Uzbek"
"ca","zh",0.245616113524311,"Indo-European","Sino-Tibetan",952,"Catalan","Chinese"
"cs","ar",0.298103995163114,"Indo-European","Afro-Asiatic",1116,"Czech","Arabic"
"cs","az",0.311214114213492,"Indo-European","Turkic",1006,"Czech","Azerbaijani"
