"l1","l2","local_alignment","comparison_count"
"ar","he",0.239507395723106,1097
"ar","zh",0.195867240480494,1029
"az","ar",0.24459517750843,1013
"az","eu",0.26814840140763,1018
"az","he",0.218301768486982,958
"az","ja",0.193866229885563,844
"az","ka",0.267921709188177,952
"az","kk",0.256626299179491,1046
"az","ko",0.233334488426015,759
"az","ta",0.254427910344376,726
"az","uz",0.267102378072258,537
"az","zh",0.198144513350401,900
"be","ar",0.272634556097602,1005
"be","az",0.269181123074252,931
"be","ca",0.323373855949841,931
"be","da",0.302108229980267,951
"be","de",0.300448021212269,438
"be","en",0.30481036284397,895
"be","es",0.333976530749067,1059
"be","eu",0.284504338989939,1011
"be","fr",0.312696580584216,1046
"be","he",0.230687257642676,952
"be","it",0.329089943663163,1014
"be","ja",0.213228201804607,834
"be","ka",0.303878360845418,945
"be","kk",0.258064181986009,1039
"be","ko",0.244186604525008,747
"be","lt",0.329155985402566,1104
"be","nl",0.309660368045586,1074
"be","no",0.28942467172859,982
"be","pt",0.305067581151443,1065
"be","ro",0.283732684106564,1107
"be","ru",0.413267309218192,975
"be","sv",0.285316809934889,1021
"be","ta",0.263760133164908,713
"be","tr",0.298760249986614,1084
"be","uz",0.254116577750341,512
"be","zh",0.212365998787761,899
"bg","ar",0.284801925307622,1085
"bg","az",0.291156414260352,1011
"bg","be",0.313097720256718,1015
"bg","ca",0.335085610290848,1045
"bg","cs",0.352579937369125,1128
"bg","da",0.316697465034654,1050
"bg","de",0.32072771765935,461
"bg","en",0.316261328689963,992
"bg","es",0.345606908101943,1154
"bg","eu",0.288254807713074,1107
"bg","fr",0.321641130096287,1180
"bg","he",0.247325637027783,1035
"bg","hr",0.316509646611548,1203
"bg","it",0.336382106633991,1096
"bg","ja",0.221741016379863,898
"bg","ka",0.298209524597232,1047
"bg","kk",0.263254321216229,1124
"bg","ko",0.257057253951076,810
"bg","lt",0.312594115637756,1208
"bg","nl",0.317493937128671,1184
"bg","no",0.304970980586512,1090
"bg","pl",0.351143197490989,1106
"bg","pt",0.318193310681067,1187
"bg","ro",0.293092484503831,1256
"bg","ru",0.362069151117694,1047
"bg","sk",0.314729635005797,1149
"bg","sv",0.294230280505499,1129
"bg","ta",0.272478831130084,789
"bg","tr",0.309162578436807,1186
"bg","uk",0.360904566163097,1057
"bg","uz",0.26810899101743,589
"bg","zh",0.235179391276392,970
"ca","ar",0.286928683692434,1079
"ca","az",0.28952598736618,946
"ca","es",0.436158447615018,1188
"ca","eu",0.313287763138569,1033
"ca","he",0.258902710363379,1006
"ca","it",0.392454810690999,1106
"ca","ja",0.247493766354807,901
"ca","ka",0.304548272695023,940
"ca","kk",0.278709216420926,1074
"ca","ko",0.260967181061189,765
"ca","pt",0.367535712138236,1208
"ca","ro",0.306546260391762,1217
"ca","ta",0.282617822573846,729
"ca","tr",0.314013793051707,1120
"ca","uz",0.264713071952719,505
"ca","zh",0.246185532256132,952
"cs","ar",0.297363035830035,1118
"cs","az",0.311468680125635,1007
"cs","be",0.355402338600701,1000
"cs","ca",0.354183023284894,1068
"cs","da",0.350507403267736,1080
"cs","de",0.36343545151925,515
"cs","en",0.345032124089877,1017
"cs","es",0.375687230841619,1199
"cs","eu",0.31306620163655,1098
"cs","fr",0.356016843145412,1196
"cs","he",0.267545391460492,1066
"cs","it",0.371419311522918,1131
"cs","ja",0.24723843069136,936
"cs","ka",0.325652257248896,1032
"cs","kk",0.280821281240078,1135
"cs","ko",0.279436309239387,818
"cs","lt",0.347518216656837,1224
"cs","nl",0.350003727358269,1225
"cs","no",0.343388794055435,1118
"cs","pl",0.406437672413636,1132
"cs","pt",0.346186079168407,1229
"cs","ro",0.312364857734684,1267
"cs","ru",0.408089407610483,1073
"cs","sv",0.328552561446817,1160
"cs","ta",0.29901377702873,780
"cs","tr",0.335674084196958,1197
"cs","uk",0.402233756152632,1080
"cs","uz",0.294930348723882,564
"cs","zh",0.249817503663208,1001
"da","ar",0.273071962968331,1067
"da","az",0.271574782003205,944
"da","ca",0.335175225450893,1017
"da","de",0.369748095220315,504
"da","en",0.339529054657402,981
"da","es",0.353233215698955,1136
"da","eu",0.295471270017975,1046
"da","fr",0.331296528781898,1142
"da","he",0.23917193846751,1015
"da","it",0.347372565428342,1082
"da","ja",0.229084970745415,883
"da","ka",0.294396315197133,981
"da","kk",0.25366931226987,1089
"da","ko",0.252323403037314,775
"da","nl",0.355720705759116,1153
"da","pt",0.325550141001543,1146
"da","ro",0.29034399589551,1186
"da","ta",0.279112953298746,734
"da","tr",0.303041034914938,1143
"da","uz",0.251995245342721,518
"da","zh",0.236826121650125,951
"de","ar",0.262656901932233,540
"de","az",0.294289682633634,429
"de","ca",0.339096143796583,474
"de","en",0.35529991275161,484
"de","es",0.351254610765796,583
"de","eu",0.280406782416296,471
"de","fr",0.336523854048188,551
"de","he",0.241906865971115,509
"de","it",0.351156832646637,532
"de","ja",0.23958443256781,375
"de","ka",0.294239913205083,428
"de","kk",0.256640259820836,512
"de","ko",0.246385109443273,328
"de","nl",0.391299978372551,596
"de","pt",0.335093598043382,578
"de","ro",0.30631556124837,561
"de","ta",0.273368659979579,308
"de","tr",0.316797964332131,534
"de","uz",0.273973381618462,156
"de","zh",0.237007750509442,474
"el","ar",0.275223758040683,995
"el","az",0.282983503964244,941
"el","be",0.294510438417432,913
"el","bg",0.326125274428586,1021
"el","ca",0.32381900438896,942
"el","cs",0.34535569572454,992
"el","da",0.301428817944625,933
"el","de",0.325645198267358,406
"el","en",0.324212254645879,901
"el","es",0.347985237196907,1057
"el","eu",0.276897696980476,997
"el","fr",0.324991647875979,1067
"el","he",0.241558018659668,936
"el","hr",0.303276586925144,1051
"el","it",0.330871910768946,1015
"el","ja",0.220735454050478,827
"el","ka",0.280681767919525,955
"el","kk",0.252344429534578,1018
"el","ko",0.253844402708418,762
"el","lt",0.309333778797886,1072
"el","nl",0.312072032505095,1062
"el","no",0.301168909862939,966
"el","pl",0.337854583762888,985
"el","pt",0.326105685317638,1087
"el","ro",0.286222043003724,1114
"el","ru",0.340224308528943,942
"el","sk",0.297592406032792,1039
"el","sv",0.289673325144112,1013
"el","ta",0.282214943744001,732
"el","tr",0.30158153585859,1067
"el","uk",0.335380157669247,948
"el","uz",0.250454538356976,543
"el","zh",0.218306465640027,886
"en","ar",0.277257830409301,1017
"en","az",0.282929025440678,921
"en","ca",0.345280958487955,967
"en","es",0.380030840465653,1098
"en","eu",0.294616148387362,990
"en","fr",0.352946229486319,1090
"en","he",0.246141682690682,974
"en","it",0.357659279645502,1039
"en","ja",0.226003784475992,844
"en","ka",0.290710369158537,919
"en","kk",0.264316902686441,1024
"en","ko",0.246071150593807,741
"en","pt",0.356240435808027,1117
"en","ro",0.297983166534054,1132
"en","ta",0.293732382030928,709
"en","tr",0.324082263092535,1080
"en","uz",0.250293214841897,494
"en","zh",0.230837233039385,911
"es","ar",0.303503473747975,1237
"es","az",0.314561921730773,1082
"es","eu",0.324378588599899,1182
"es","he",0.273455421706052,1158
"es","it",0.404517354613831,1275
"es","ja",0.277414128659797,1014
"es","ka",0.313645428770405,1077
"es","kk",0.294124681084383,1213
"es","ko",0.280014117085381,870
"es","pt",0.405557990379379,1395
"es","ro",0.329680993681551,1353
"es","ta",0.317584641633079,821
"es","tr",0.341555459715714,1298
"es","uz",0.293273762676326,566
"es","zh",0.272772915707655,1091
"et","ar",0.257635226767882,1088
"et","az",0.267972579083091,993
"et","be",0.298190902443724,992
"et","bg",0.305372776910669,1089
"et","ca",0.310299721136985,1021
"et","cs",0.336984279800185,1085
"et","da",0.300383708374895,1041
"et","de",0.31463612356082,482
"et","el",0.28030180436075,989
"et","en",0.29410741761194,980
"et","es",0.328713141005836,1152
"et","eu",0.280523719045183,1071
"et","fa",0.316926166216534,982
"et","fr",0.311356052770962,1149
"et","he",0.228858159074838,1026
"et","hi",0.291740077556948,1229
"et","hr",0.292573957994698,1152
"et","hu",0.320587710424912,1241
"et","hy",0.272015083633831,1031
"et","it",0.318394141427252,1100
"et","ja",0.215216011989328,897
"et","ka",0.28044077058471,1022
"et","kk",0.254769236521873,1105
"et","ko",0.229000170942565,808
"et","lt",0.309380520677234,1199
"et","nl",0.305476606830832,1174
"et","no",0.287933619571913,1072
"et","pl",0.323145538195049,1062
"et","pt",0.30230193023752,1157
"et","ro",0.275644408567266,1207
"et","ru",0.326160367198756,1036
"et","sk",0.301361596297455,1112
"et","sv",0.280147324057359,1121
"et","ta",0.269224297515768,763
"et","tr",0.293681942987655,1170
"et","uk",0.328063328925945,1055
"et","uz",0.247010446601736,551
"et","zh",0.211111489489026,971
"eu","ar",0.257188561441817,1097
"eu","he",0.22516079022061,1041
"eu","zh",0.215500454795642,983
"fa","ar",0.309924160151192,1000
"fa","az",0.318203290266595,939
"fa","be",0.322171319676894,916
"fa","bg",0.332882440068317,1034
"fa","ca",0.34721552790893,945
"fa","cs",0.352085335519105,1024
"fa","da",0.329924188834539,931
"fa","de",0.36010707529203,366
"fa","el",0.327319072725546,948
"fa","en",0.360409121299927,886
"fa","es",0.367751084750786,1048
"fa","eu",0.303201524867929,1025
"fa","fr",0.351345058917791,1069
"fa","he",0.270725586754656,939
"fa","hr",0.309992227958251,1092
"fa","hy",0.320996545326142,951
"fa","it",0.348233423702945,1014
"fa","ja",0.24105981807124,839
"fa","ka",0.308037899708464,967
"fa","kk",0.288815877063556,1035
"fa","ko",0.274730015787888,775
"fa","lt",0.323382411906444,1073
"fa","nl",0.336447967327721,1074
"fa","no",0.325483548324291,964
"fa","pl",0.342566643934146,992
"fa","pt",0.337595190310602,1080
"fa","ro",0.303038182546354,1139
"fa","ru",0.357645708592321,942
"fa","sk",0.317495056565369,1047
"fa","sv",0.31186748829869,1017
"fa","ta",0.292803607601581,739
"fa","tr",0.343788189783339,1094
