,l1,l2,rho
0,ab,os,0.55982277833
1,da,no,0.557320736515
2,ru,uk,0.530478549985
3,ca,es,0.508587168067
4,pt,es,0.489787431006
5,no,sv,0.467119053747
6,da,sv,0.461797021295
7,it,es,0.43305263605
8,cs,sk,0.429675052163
9,nl,de,0.424589937081
10,fr,es,0.4220242296
11,pl,ru,0.417519103814
12,be,uk,0.41558781797
13,ca,it,0.415454821102
14,fr,it,0.413994649921
15,ba,tt,0.413554740595
16,ab,sk,0.411124170208
17,ca,pt,0.410903859863
18,be,ru,0.403936376062
19,cs,pl,0.403372619553
20,ca,fr,0.401005378828
21,pl,uk,0.399254484258
22,fr,pt,0.397883969395
23,de,no,0.392096075717
24,da,de,0.39120915265
25,it,pt,0.390072945436
26,kl,te,0.389643780762
27,da,nl,0.388713760091
28,bn,kl,0.386808279043
29,de,es,0.381145694208
30,ab,lt,0.380310284878
31,de,pl,0.378831804399
32,en,de,0.373727969422
33,de,sv,0.367383823546
34,ca,de,0.36611349703
35,cs,ru,0.365152010543
36,bg,ru,0.363473392065
37,cs,uk,0.362950402084
38,kl,os,0.362875350435
39,bg,pl,0.362095692802
40,de,ru,0.358713367377
41,cs,de,0.357811378797
42,nl,sv,0.357588576202
43,nl,no,0.357520965163
44,be,pl,0.35680365257
45,en,es,0.354761438639
46,nl,es,0.35463505988
47,fi,es,0.35309690227
48,pl,sk,0.351895782177
49,de,uk,0.350598531693
50,pl,es,0.347728506126
51,de,it,0.347285417672
52,lv,lt,0.346955704146
53,bg,uk,0.345145717821
54,hr,kl,0.344710073347
55,nl,en,0.344704465804
56,be,bg,0.342504955842
57,lt,uk,0.341701523788
58,ca,en,0.341584595256
59,bg,es,0.341188324173
60,fr,de,0.341153762611
61,fr,ro,0.340957504307
62,nl,it,0.340183706066
63,en,pt,0.33994969372
64,es,tr,0.339932895387
65,de,pt,0.339741547862
66,fi,no,0.339548759897
67,it,pl,0.339223633979
68,ca,nl,0.339042264874
69,av,cv,0.338200930672
70,fr,pl,0.338179639073
71,da,en,0.337489533465
72,ce,sl,0.336991304554
