,l1,l2,imputed_semantic_domain,rho,nconcepts_compared
0,ab,av,animals,0.865882493335,1
1,ab,av,basic_actions_and_technology,0.909181076948,3
2,ab,av,body_parts,0.135628400508,7
3,ab,av,clothing_and_grooming,0.985947798047,1
4,ab,av,cognition,0.660116847719,5
5,ab,av,kinship,0.303083951167,5
6,ab,av,motion,0.246452301891,2
7,ab,av,physical_world,-0.0405232931008,8
8,ab,av,posession,0.696948845885,4
9,ab,av,quantity,0.264913452726,9
10,ab,av,sense_perception,0.446863863808,1
11,ab,av,social_and_political_relations,0.388515928617,4
12,ab,av,spatial_relations,0.0843479554037,8
13,ab,av,speech_and_language,0.0,2
14,ab,av,the_house,1.0,1
15,ab,av,time,0.280855948503,6
16,ab,av,warfare_and_hunting,0.074145824669,4
17,ab,ba,animals,,0
18,ab,ba,basic_actions_and_technology,0.24508160773,4
19,ab,ba,body_parts,0.930803281649,7
20,ab,ba,clothing_and_grooming,,0
21,ab,ba,cognition,-0.117642053065,6
22,ab,ba,emotion_and_values,-0.990563183807,1
23,ab,ba,kinship,1.0,2
24,ab,ba,motion,0.596165874969,4
25,ab,ba,physical_world,-1.0,3
26,ab,ba,posession,-0.130391942124,2
27,ab,ba,quantity,0.106837712,12
28,ab,ba,sense_perception,,0
29,ab,ba,social_and_political_relations,-0.295409671827,2
30,ab,ba,spatial_relations,0.26895631692,6
31,ab,ba,speech_and_language,-0.333333333333,3
32,ab,ba,the_house,,0
33,ab,ba,time,0.0550385315795,9
34,ab,ba,warfare_and_hunting,0.061535784026,1
35,ab,be,animals,0.406133010851,1
36,ab,be,basic_actions_and_technology,0.420725876272,4
37,ab,be,body_parts,0.859189123906,4
38,ab,be,clothing_and_grooming,0.0,2
39,ab,be,cognition,0.188288236517,8
40,ab,be,emotion_and_values,0.129794547074,2
41,ab,be,kinship,0.783054663828,3
42,ab,be,motion,0.293754029091,4
43,ab,be,physical_world,0.326333350538,6
44,ab,be,posession,-0.561400311903,5
45,ab,be,quantity,0.720011753771,12
46,ab,be,sense_perception,,0
47,ab,be,social_and_political_relations,-0.376470700009,3
48,ab,be,spatial_relations,0.158435462823,9
49,ab,be,speech_and_language,-0.0523584742438,4
50,ab,be,the_house,,0
51,ab,be,time,0.253555157525,10
52,ab,be,warfare_and_hunting,0.149548247582,3
53,ab,bg,animals,-0.0390445193413,1
54,ab,bg,basic_actions_and_technology,0.232868280996,3
55,ab,bg,body_parts,-0.430418287232,6
56,ab,bg,clothing_and_grooming,,0
57,ab,bg,cognition,-0.132661896056,9
58,ab,bg,emotion_and_values,0.438852389415,2
59,ab,bg,food_and_drink,0.863984020027,1
60,ab,bg,kinship,-0.106100344736,4
61,ab,bg,motion,-0.0553187708494,5
62,ab,bg,physical_world,0.502599297592,7
63,ab,bg,posession,0.208592417179,3
64,ab,bg,quantity,0.680001836757,12
65,ab,bg,sense_perception,0.242195263522,1
66,ab,bg,social_and_political_relations,0.236556759933,6
67,ab,bg,spatial_relations,0.189814755276,8
68,ab,bg,speech_and_language,-0.188373365084,5
69,ab,bg,the_house,-0.241691630161,1
70,ab,bg,time,0.114080455602,11
71,ab,bg,warfare_and_hunting,0.371346516375,3
72,ab,bn,animals,,0
73,ab,bn,basic_actions_and_technology,-0.117003973347,4
74,ab,bn,body_parts,-1.0,3
75,ab,bn,cognition,0.316107027884,7
76,ab,bn,emotion_and_values,0.333333333333,3
77,ab,bn,kinship,0.417245976058,4
78,ab,bn,motion,0.890740893157,4
79,ab,bn,physical_world,0.268803988641,5
80,ab,bn,posession,0.790196776164,1
81,ab,bn,quantity,0.1402579312,7
82,ab,bn,sense_perception,-1.0,1
83,ab,bn,social_and_political_relations,0.767399360499,2
84,ab,bn,spatial_relations,0.0088909987992,5
85,ab,bn,speech_and_language,0.743419250117,2
86,ab,bn,the_house,,0
87,ab,bn,time,0.28764657394,8
88,ab,bn,warfare_and_hunting,-0.154806847203,3
89,ab,br,animals,,0
90,ab,br,basic_actions_and_technology,0.969119860572,4
91,ab,br,body_parts,-0.199241978285,5
92,ab,br,clothing_and_grooming,,0
93,ab,br,cognition,0.104711568964,6
94,ab,br,emotion_and_values,0.866314142608,2
95,ab,br,food_and_drink,,0
96,ab,br,kinship,0.640685576116,3
97,ab,br,motion,0.121059133743,4
98,ab,br,physical_world,0.0208408117228,5
99,ab,br,posession,0.349147336675,3
100,ab,br,quantity,0.461021749982,7
101,ab,br,sense_perception,0.93458903158,1
102,ab,br,social_and_political_relations,0.387199592382,5
103,ab,br,spatial_relations,-0.0762908011672,4
104,ab,br,speech_and_language,0.698816065356,3
105,ab,br,the_house,1.0,1
106,ab,br,time,0.162071765085,9
107,ab,br,warfare_and_hunting,-0.842949751362,1
108,ab,ca,agriculture_and_vegetation,,0
109,ab,ca,animals,,0
110,ab,ca,basic_actions_and_technology,0.676121219943,4
111,ab,ca,body_parts,0.135689759207,8
112,ab,ca,clothing_and_grooming,0.56949741883,2
113,ab,ca,cognition,-0.0392898312685,9
114,ab,ca,emotion_and_values,-0.242415200129,3
115,ab,ca,food_and_drink,,0
116,ab,ca,kinship,-0.0418202870599,5
117,ab,ca,motion,0.196117901756,4
118,ab,ca,physical_world,0.255162975249,6
119,ab,ca,posession,-0.106014024125,4
120,ab,ca,quantity,0.570839169163,15
121,ab,ca,sense_perception,0.711639185132,1
122,ab,ca,social_and_political_relations,0.394676272377,4
123,ab,ca,spatial_relations,0.311404240422,9
124,ab,ca,speech_and_language,0.104773534324,5
125,ab,ca,the_house,1.0,1
126,ab,ca,time,0.239113229254,12
127,ab,ca,warfare_and_hunting,-0.0373593004792,3
128,ab,ce,agriculture_and_vegetation,,0
129,ab,ce,animals,1.0,1
130,ab,ce,basic_actions_and_technology,0.292926213042,4
131,ab,ce,body_parts,0.0778843884737,3
132,ab,ce,clothing_and_grooming,1.0,1
133,ab,ce,cognition,0.189075450146,8
134,ab,ce,emotion_and_values,0.277653131717,3
135,ab,ce,food_and_drink,,0
136,ab,ce,kinship,-0.771514432848,2
137,ab,ce,motion,-0.0440892723088,4
138,ab,ce,physical_world,0.333333333333,3
139,ab,ce,posession,0.990724978358,1
140,ab,ce,quantity,0.36619465878,13
141,ab,ce,sense_perception,0.453182894334,2
142,ab,ce,social_and_political_relations,-0.826418927501,2
143,ab,ce,spatial_relations,0.0977928100408,7
144,ab,ce,speech_and_language,0.789775473593,3
145,ab,ce,the_house,-0.115014708882,1
146,ab,ce,time,0.0184868450797,9
147,ab,ce,warfare_and_hunting,0.786724969416,3
148,ab,cs,agriculture_and_vegetation,,0
149,ab,cs,animals,1.0,1
150,ab,cs,basic_actions_and_technology,0.905856607144,3
151,ab,cs,body_parts,0.435914294369,5
152,ab,cs,clothing_and_grooming,0.387436197724,1
153,ab,cs,cognition,0.261801968154,10
154,ab,cs,emotion_and_values,0.002166802922,3
155,ab,cs,food_and_drink,,0
156,ab,cs,kinship,0.513412770612,3
157,ab,cs,motion,0.173055432973,4
158,ab,cs,physical_world,0.157647914373,6
159,ab,cs,posession,-0.205721028614,5
160,ab,cs,quantity,0.2540731621,15
161,ab,cs,sense_perception,1.0,1
162,ab,cs,social_and_political_relations,0.330114411682,4
163,ab,cs,spatial_relations,-0.174602116654,7
164,ab,cs,speech_and_language,0.256070603207,1
165,ab,cs,the_house,0.971029976866,1
166,ab,cs,time,0.216091511838,13
167,ab,cs,warfare_and_hunting,0.153352917485,3
168,ab,cv,basic_actions_and_technology,-0.400903505018,1
169,ab,cv,body_parts,0.00958580807567,3
170,ab,cv,clothing_and_grooming,,0
171,ab,cv,cognition,0.155278130286,6
172,ab,cv,emotion_and_values,-0.611197907565,2
173,ab,cv,food_and_drink,-0.576614825516,1
174,ab,cv,kinship,0.0525069964277,3
175,ab,cv,motion,1.0,2
176,ab,cv,physical_world,,0
177,ab,cv,posession,0.965496863988,3
178,ab,cv,quantity,0.0569679187958,6
179,ab,cv,social_and_political_relations,0.178594260698,2
180,ab,cv,spatial_relations,-1.0,1
181,ab,cv,speech_and_language,0.503377127001,4
182,ab,cv,time,-0.0964151572343,9
183,ab,cy,animals,0.8810890759,1
184,ab,cy,basic_actions_and_technology,0.499363578876,4
185,ab,cy,body_parts,0.5,4
186,ab,cy,clothing_and_grooming,,0
187,ab,cy,cognition,-0.0557968069106,7
188,ab,cy,emotion_and_values,-0.655567826143,1
189,ab,cy,food_and_drink,-1.0,1
190,ab,cy,kinship,0.375606748826,4
191,ab,cy,motion,0.402087297243,4
192,ab,cy,physical_world,-1.0,3
193,ab,cy,posession,0.151680055945,4
194,ab,cy,quantity,0.367516602452,11
195,ab,cy,sense_perception,,0
196,ab,cy,social_and_political_relations,0.731039101495,2
197,ab,cy,spatial_relations,0.307738459826,7
198,ab,cy,speech_and_language,0.013721935098,4
199,ab,cy,the_house,,0
200,ab,cy,time,0.181631657625,10
201,ab,cy,warfare_and_hunting,0.454391946747,4
202,ab,da,animals,,0
203,ab,da,basic_actions_and_technology,0.489628881919,4
204,ab,da,body_parts,0.321532639572,3
205,ab,da,clothing_and_grooming,-0.518599776828,1
206,ab,da,cognition,-0.0974854836364,5
207,ab,da,emotion_and_values,0.226937643164,2
208,ab,da,food_and_drink,,0
209,ab,da,kinship,0.343573644182,3
210,ab,da,motion,0.963542816277,3
211,ab,da,physical_world,0.590563415285,5
212,ab,da,posession,0.358588633044,3
213,ab,da,quantity,0.427617070332,13
214,ab,da,sense_perception,0.759360460848,1
215,ab,da,social_and_political_relations,-0.248182183584,5
216,ab,da,spatial_relations,0.115801384507,7
217,ab,da,speech_and_language,0.151975262052,5
218,ab,da,the_house,,0
219,ab,da,time,0.150847737575,10
220,ab,da,warfare_and_hunting,0.874697066498,2
221,ab,de,animals,-1.0,1
222,ab,de,basic_actions_and_technology,0.439825130435,4
223,ab,de,body_parts,-0.37068810048,5
224,ab,de,clothing_and_grooming,,0
225,ab,de,cognition,0.173161728405,9
226,ab,de,emotion_and_values,-0.36081354887,4
227,ab,de,food_and_drink,1.0,1
228,ab,de,kinship,-0.368844482343,3
229,ab,de,motion,-0.0817195271288,4
230,ab,de,physical_world,-0.0725314146782,7
231,ab,de,posession,-0.304895592477,5
232,ab,de,quantity,0.464734753264,13
233,ab,de,sense_perception,1.0,1
234,ab,de,social_and_political_relations,-0.331941888391,5
235,ab,de,spatial_relations,0.00505771454625,13
236,ab,de,speech_and_language,-0.530371721704,7
237,ab,de,the_house,,0
238,ab,de,time,0.0459606221251,13
239,ab,de,warfare_and_hunting,0.335764322783,4
240,ab,el,agriculture_and_vegetation,,0
241,ab,el,animals,0.109670143426,1
242,ab,el,basic_actions_and_technology,0.830947884899,3
243,ab,el,body_parts,0.0136402715107,4
244,ab,el,clothing_and_grooming,-1.0,1
245,ab,el,cognition,0.0149869408919,9
246,ab,el,emotion_and_values,-0.64757251175,2
247,ab,el,food_and_drink,,0
248,ab,el,kinship,0.807356942005,4
249,ab,el,motion,0.7875735343,3
250,ab,el,physical_world,0.076439901759,5
251,ab,el,posession,-0.46742306524,3
252,ab,el,quantity,0.203271800555,11
253,ab,el,sense_perception,,0
254,ab,el,social_and_political_relations,0.456431409181,4
255,ab,el,spatial_relations,0.296184453094,8
256,ab,el,speech_and_language,-0.0917881594186,6
257,ab,el,the_house,,0
258,ab,el,time,0.00198966279275,12
259,ab,el,warfare_and_hunting,0.38395987905,2
260,ab,en,basic_actions_and_technology,0.513405335471,5
261,ab,en,body_parts,0.266685772329,3
262,ab,en,clothing_and_grooming,,0
263,ab,en,cognition,0.439730058239,7
264,ab,en,emotion_and_values,-0.0476440937268,4
265,ab,en,food_and_drink,-1.0,1
266,ab,en,kinship,0.167154582229,4
267,ab,en,motion,-0.115191642806,5
268,ab,en,physical_world,-0.296010630901,8
269,ab,en,posession,-0.222298304958,5
270,ab,en,quantity,0.450713695753,12
271,ab,en,sense_perception,0.369858248709,1
272,ab,en,social_and_political_relations,-0.469865567448,5
273,ab,en,spatial_relations,0.251284141127,12
274,ab,en,speech_and_language,-0.121342908583,6
275,ab,en,time,-0.163353211201,10
276,ab,en,warfare_and_hunting,0.316069883976,3
277,ab,es,agriculture_and_vegetation,,0
278,ab,es,animals,-0.605227500866,1
279,ab,es,basic_actions_and_technology,0.957560573991,4
280,ab,es,body_parts,0.494831476402,4
281,ab,es,clothing_and_grooming,0.124029835646,1
282,ab,es,cognition,0.0829838531412,9
283,ab,es,emotion_and_values,-0.549446260847,2
284,ab,es,food_and_drink,,0
285,ab,es,kinship,0.280504513388,5
286,ab,es,motion,0.509755817664,4
287,ab,es,physical_world,0.240586295376,4
288,ab,es,posession,0.189010430004,5
289,ab,es,quantity,0.667951945663,12
290,ab,es,sense_perception,0.870002424842,1
291,ab,es,social_and_political_relations,0.0517851334918,6
292,ab,es,spatial_relations,-0.278658875513,8
293,ab,es,speech_and_language,0.306533363095,4
294,ab,es,the_house,,0
295,ab,es,time,0.138677317339,11
296,ab,es,warfare_and_hunting,0.0443589930733,3
297,ab,eu,agriculture_and_vegetation,1.0,1
298,ab,eu,animals,-0.25087929963,1
299,ab,eu,basic_actions_and_technology,0.267624989043,3
300,ab,eu,body_parts,-0.22985816195,5
301,ab,eu,clothing_and_grooming,-0.707614364929,1
302,ab,eu,cognition,0.507656595971,8
303,ab,eu,emotion_and_values,-0.0257487738811,1
304,ab,eu,food_and_drink,0.407291629319,1
305,ab,eu,kinship,0.656914235528,4
306,ab,eu,motion,0.579664269638,5
307,ab,eu,physical_world,0.542236577921,6
308,ab,eu,posession,0.248760484792,5
309,ab,eu,quantity,0.276343948049,12
310,ab,eu,sense_perception,0.481332517154,1
311,ab,eu,social_and_political_relations,-0.120931361077,4
312,ab,eu,spatial_relations,0.555103670443,5
313,ab,eu,speech_and_language,0.233456983828,4
314,ab,eu,the_house,,0
315,ab,eu,time,-0.0555663236284,9
316,ab,eu,warfare_and_hunting,0.0773612643628,4
317,ab,fi,agriculture_and_vegetation,,0
318,ab,fi,animals,,0
319,ab,fi,basic_actions_and_technology,0.0683659353724,6
320,ab,fi,body_parts,0.298367524824,4
321,ab,fi,clothing_and_grooming,-0.408226927329,1
322,ab,fi,cognition,0.296942913005,8
323,ab,fi,emotion_and_values,-0.0532776073135,4
324,ab,fi,food_and_drink,-0.944457249133,1
325,ab,fi,kinship,0.537413814555,4
326,ab,fi,motion,0.200291360871,4
327,ab,fi,physical_world,-0.287516748863,7
328,ab,fi,posession,0.481323586417,4
329,ab,fi,quantity,0.782767481682,12
330,ab,fi,social_and_political_relations,-0.0416220438202,4
331,ab,fi,spatial_relations,0.527474821176,8
332,ab,fi,speech_and_language,-0.287719219855,4
333,ab,fi,the_house,-1.0,1
334,ab,fi,time,0.0382256852405,10
335,ab,fi,warfare_and_hunting,0.0820296135837,3
336,ab,fr,agriculture_and_vegetation,,0
337,ab,fr,animals,0.599800314747,1
338,ab,fr,basic_actions_and_technology,0.953491221703,5
339,ab,fr,body_parts,0.371075754754,5
340,ab,fr,clothing_and_grooming,-1.0,1
341,ab,fr,cognition,0.00513457914962,8
342,ab,fr,emotion_and_values,-0.486988343459,2
343,ab,fr,food_and_drink,1.0,1
344,ab,fr,kinship,0.297932503728,4
345,ab,fr,motion,0.375682810171,4
346,ab,fr,physical_world,0.054936079254,6
347,ab,fr,posession,0.106817315051,4
348,ab,fr,quantity,0.335270546129,13
349,ab,fr,sense_perception,0.659438164295,1
350,ab,fr,social_and_political_relations,0.0525965101176,3
351,ab,fr,spatial_relations,0.206277905938,10
352,ab,fr,speech_and_language,0.29188648791,4
353,ab,fr,time,0.40907417494,10
354,ab,fr,warfare_and_hunting,0.5491868401,3
355,ab,ga,basic_actions_and_technology,-0.148742105482,5
356,ab,ga,body_parts,0.003628991659,6
357,ab,ga,clothing_and_grooming,,0
358,ab,ga,cognition,-0.244194106467,8
359,ab,ga,emotion_and_values,0.188786421219,4
360,ab,ga,kinship,0.119456287181,4
361,ab,ga,motion,0.893367176468,4
362,ab,ga,physical_world,-0.911584664789,3
363,ab,ga,posession,0.186936677159,5
364,ab,ga,quantity,0.309021329021,11
365,ab,ga,sense_perception,,0
366,ab,ga,social_and_political_relations,0.210671943708,4
367,ab,ga,spatial_relations,0.344243265253,13
368,ab,ga,speech_and_language,0.208806905482,5
369,ab,ga,the_house,-0.105778493085,1
370,ab,ga,time,0.16410616984,11
371,ab,ga,warfare_and_hunting,-0.811122054337,2
372,ab,he,animals,-0.638566624773,1
