Lang	LangAlt	glotto	glottoAlt
Acehnese		 	achi1257
Anglo_Saxon
Aymara	Central Aymaran	cent2142
Banyumasan		java1254
Bishnupriya Manipuri		bish1244
Buryat		mong1330
Central Bicolano		irig1242
Chichewa		nyan1308
Chinese		mand1415
Classical Chinese		lite1248	
Divehi		dhiv1236
Dutch Low Saxon
Eastern Punjabi		panj1256
Emilian_Romagnol		roma1328
Franco_Provençal		oldp1253
Gan		ganc1239
Greenlandic		kala1399
Guarani		east2555	para1311
Hakka		hakk1236
Hebrew		hebr1245
Hill Mari		west2392
Ido	CONSTRUCTED	
Ilokano		ilok1237	
Interlingua
Interlingue
Inuktitut		 	east2534	copp1244
Inupiak		nort2945	inup1234
Jamaican Patois		jama1262
Kanuri		mang1399
Kapampangan		pamp1243
Karachay_Balkar		kara1465
Karakalpak		kara1467
Khmer		sout2688
Kirundi		rund1242
Komi_Permyak		komi1269
Kongo		sans1272	core1256
Kurdish (Kurmanji)		nort2641
Kurdish (Sorani)		cent1972
Latgalian		
Lezgian		lezg1247
Limburgish		limb1263
Livvi_Karelian		kare1335
Lojban
Low Saxon
Luganda		gand1255
Malagasy		mala1537
Malay		mala1479	indo1326
Mazandarani		maza1291
Meadow Mari		east2328
Min Dong		mind1253
Min Nan		 	minn1241
Moldovan		mold1248
Muscogee		cree1270
Nahuatl		azte1234
Nauruan		naur1243
Neapolitan		neap1235
Norfolk		pitc1234
North Frisian		nort2626
Norwegian (Bokmål)		norw1258
Norwegian (Nynorsk)		norw1258
Novial	CONSTRUCTED
Nuosu		sich1238
Old Church Slavonic		chur1257
Oromo		nucl1736	koor1239
Palatinate German
Papiamentu		papi1253
Persian		fars1254
Piedmontese		piem1238
Quechua		 	cusc1236	quec1387	DPLACE Link
Sakha		yaku1245
Saterland Frisian		sate1242
Serbo_Croatian		serb1264
Sesotho		out2807
Simple English
Sinhalese		sinh1246
Southern Azerbaijani		sout2697
Sranan		sran1240
Tarantino
Tongan		tong1325
Tuvan		tuvi1240
Vepsian		veps1250
Volapük	CONSTRUCTED
West Flemish		vlaa1240
West Frisian		west2354
Western Punjabi		west2386
Zazaki		zaza1246
Zeelandic		zeeu1238
Zhuang
