"l1","l2","number_numeric","l1_typology","l2_typology","sameNumeralTypology"
"fr","uk",9,"atom","atom",TRUE
"fr","uk",1,"atom","atom",TRUE
"fr","uk",1000,"1000","1000",TRUE
"fr","uk",2,"atom","atom",TRUE
"fr","uk",40,"4*base","atom",FALSE
"fr","uk",60,"6*base","6*10",FALSE
"fr","uk",4,"atom","atom",TRUE
"fr","uk",30,"3*base","3*10",FALSE
"fr","uk",100,"100","100",TRUE
"fr","uk",8,"atom","atom",TRUE
"fr","uk",20,"atom","2*10",FALSE
"fr","uk",6,"atom","atom",TRUE
"de","bg",1000,"1000","1000",TRUE
"de","bg",2,"atom","atom",TRUE
"de","bg",100,"100","100",TRUE
"de","bg",20,"2*10","2*10",TRUE
"de","bg",11,"atom","1+10",FALSE
"de","bg",11,"atom","1+10",FALSE
"de","bg",20,"2*10","2*10",TRUE
"de","bg",30,"3*10","3*10",TRUE
"de","bg",12,"atom","2+10",FALSE
"de","bg",40,"4*10","4*10",TRUE
"de","bg",90,"9*10","9*10",TRUE
"de","bg",60,"6*10","6*10",TRUE
"de","bg",50,"5*10","5*10",TRUE
"de","bg",3,"atom","atom",TRUE
"de","bg",70,"7*10","7*10",TRUE
"de","bg",80,"8*10","8*10",TRUE
"de","bg",9,"atom","atom",TRUE
"de","bg",4,"atom","atom",TRUE
"de","bg",5,"atom","atom",TRUE
"de","bg",12,"atom","2+10",FALSE
"de","bg",6,"atom","atom",TRUE
"de","bg",8,"atom","atom",TRUE
"de","bg",10,"atom","atom",TRUE
"da","fi",70,"3.5*20","7*10",FALSE
"da","fi",90,"4.5*20","9*10",FALSE
"da","fi",40,"4*base","4*10",FALSE
"da","fi",100,"(1*)100","100",FALSE
"da","fi",80,"4*20","8*10",FALSE
"da","fi",60,"3*20","6*10",FALSE
"da","fi",2,"atom","atom",TRUE
"da","fi",30,"3*base","3*10",FALSE
"da","fi",11,"atom","1+2ndbase",FALSE
"da","fi",50,"2.5*20","5*10",FALSE
"da","fi",20,"2*base","2*10",FALSE
"da","fi",6,"atom","atom",TRUE
"da","fi",8,"atom","atom",TRUE
"da","fi",3,"atom","atom",TRUE
"da","fi",10,"atom","atom",TRUE
"da","fi",9,"atom","atom",TRUE
"da","fi",12,"atom","2+2ndbase",FALSE
"da","fi",5,"atom","atom",TRUE
"da","fi",7,"atom","atom",TRUE
"da","fi",4,"atom","atom",TRUE
