"","Herero","Zulu","Tswana","Ndonga","Swati","Tsonga","Venda","Kongo","Kikuyu","Luganda","Kinyarwanda","Kirundi","Igbo","Bambara","Amharic","Kanuri","Wolof","Egyptian Arabic","Kabyle","Neapolitan","Spanish","English","French","Dutch","Icelandic","Irish","Serbian","Russian","Bashkir","Chuvash","Erzya","Estonian","Gagauz","Latvian","Vepsian","Czech","Bulgarian","Lithuanian","Kalmyk","Armenian","Kurdish (Sorani)","Abkhazian","Turkish","Hebrew","Eastern Punjabi","Kazakh","Sakha","Korean","Nuosu","Japanese","Tibetan","Bengali","Kashmiri","Telugu","Tamil","Malayalam","Burmese","Vietnamese","Khmer","Malay","Thai","Cebuano","Banyumasan","Minangkabau","Chamorro","Samoan","Tongan","Maori","Hawaiian","Inupiak","Cheyenne","Choctaw","Muscogee","Cherokee","Navajo","Haitian","Aymara","Guarani"
"Herero",0,0.636363636363637,0.636363636363637,0.727272727272727,0.636363636363637,0.727272727272727,0.545454545454546,0.818181818181818,0.636363636363637,0.727272727272727,0.636363636363637,0.727272727272727,0.727272727272727,0.727272727272727,0.818181818181818,0.636363636363637,0.727272727272727,0.818181818181818,0.727272727272727,0.818181818181818,0.727272727272727,0.818181818181818,0.818181818181818,0.818181818181818,0.636363636363637,0.727272727272727,0.727272727272727,0.727272727272727,0.818181818181818,0.818181818181818,0.727272727272727,0.818181818181818,0.727272727272727,0.818181818181818,0.727272727272727,0.727272727272727,0.727272727272727,0.818181818181818,0.636363636363637,0.727272727272727,0.818181818181818,0.454545454545454,0.727272727272727,0.818181818181818,0.727272727272727,0.636363636363637,0.545454545454546,0.909090909090909,0.818181818181818,0.727272727272727,0.727272727272727,0.818181818181818,0.727272727272727,0.727272727272727,0.818181818181818,0.818181818181818,0.818181818181818,0.909090909090909,0.818181818181818,0.909090909090909,0.909090909090909,0.909090909090909,0.818181818181818,0.909090909090909,0.727272727272727,0.909090909090909,0.909090909090909,0.909090909090909,0.818181818181818,0.545454545454546,0.727272727272727,0.909090909090909,0.909090909090909,0.818181818181818,0.818181818181818,0.727272727272727,0.818181818181818,0.818181818181818
"Zulu",0.636363636363637,0,0,0.181818181818182,0.363636363636363,0.181818181818182,0.454545454545454,0.636363636363637,0.454545454545454,0.545454545454546,0.363636363636363,0.636363636363637,0.454545454545454,0.545454545454546,0.636363636363637,0.636363636363637,0.363636363636363,0.636363636363637,0.545454545454546,0.636363636363637,0.545454545454546,0.636363636363637,0.636363636363637,0.636363636363637,0.454545454545454,0.363636363636363,0.454545454545454,0.545454545454546,0.545454545454546,0.636363636363637,0.545454545454546,0.636363636363637,0.545454545454546,0.636363636363637,0.636363636363637,0.545454545454546,0.545454545454546,0.454545454545454,0.454545454545454,0.545454545454546,0.454545454545454,0.636363636363637,0.454545454545454,0.636363636363637,0.545454545454546,0.456363636363636,0.545454545454546,0.727272727272727,0.545454545454546,0.545454545454546,0.454545454545454,0.636363636363637,0.727272727272727,0.545454545454546,0.636363636363637,0.636363636363637,0.636363636363637,0.727272727272727,0.818181818181818,0.727272727272727,0.727272727272727,0.727272727272727,0.636363636363637,0.727272727272727,0.363636363636363,0.727272727272727,0.727272727272727,0.636363636363637,0.818181818181818,0.909090909090909,0.727272727272727,0.636363636363637,0.636363636363637,0.545454545454546,0.636363636363637,0.545454545454546,0.545454545454546,0.454545454545454
"Tswana",0.636363636363637,0,0,0.181818181818182,0.363636363636363,0.181818181818182,0.454545454545454,0.636363636363637,0.454545454545454,0.545454545454546,0.363636363636363,0.636363636363637,0.454545454545454,0.545454545454546,0.636363636363637,0.636363636363637,0.363636363636363,0.636363636363637,0.545454545454546,0.636363636363637,0.545454545454546,0.636363636363637,0.636363636363637,0.636363636363637,0.454545454545454,0.363636363636363,0.454545454545454,0.545454545454546,0.545454545454546,0.636363636363637,0.545454545454546,0.636363636363637,0.545454545454546,0.636363636363637,0.636363636363637,0.545454545454546,0.545454545454546,0.454545454545454,0.454545454545454,0.545454545454546,0.454545454545454,0.636363636363637,0.454545454545454,0.636363636363637,0.545454545454546,0.456363636363636,0.545454545454546,0.727272727272727,0.545454545454546,0.545454545454546,0.454545454545454,0.636363636363637,0.727272727272727,0.545454545454546,0.636363636363637,0.636363636363637,0.636363636363637,0.727272727272727,0.818181818181818,0.727272727272727,0.727272727272727,0.727272727272727,0.636363636363637,0.727272727272727,0.363636363636363,0.727272727272727,0.727272727272727,0.636363636363637,0.818181818181818,0.909090909090909,0.727272727272727,0.636363636363637,0.636363636363637,0.545454545454546,0.636363636363637,0.545454545454546,0.545454545454546,0.454545454545454
"Ndonga",0.727272727272727,0.181818181818182,0.181818181818182,0,0.454545454545454,0,0.545454545454546,0.545454545454546,0.454545454545454,0.454545454545454,0.363636363636363,0.454545454545454,0.545454545454546,0.454545454545454,0.454545454545454,0.545454545454546,0.181818181818182,0.454545454545454,0.545454545454546,0.545454545454546,0.545454545454546,0.454545454545454,0.545454545454546,0.454545454545454,0.545454545454546,0.545454545454546,0.636363636363637,0.545454545454546,0.636363636363637,0.727272727272727,0.636363636363637,0.454545454545454,0.545454545454546,0.545454545454546,0.545454545454546,0.545454545454546,0.636363636363637,0.454545454545454,0.363636363636363,0.545454545454546,0.454545454545454,0.727272727272727,0.636363636363637,0.454545454545454,0.636363636363637,0.547272727272728,0.636363636363637,0.727272727272727,0.545454545454546,0.636363636363637,0.636363636363637,0.636363636363637,0.636363636363637,0.545454545454546,0.636363636363637,0.454545454545454,0.727272727272727,0.727272727272727,0.818181818181818,0.727272727272727,0.636363636363637,0.727272727272727,0.727272727272727,0.636363636363637,0.272727272727273,0.727272727272727,0.727272727272727,0.636363636363637,0.818181818181818,0.909090909090909,0.818181818181818,0.636363636363637,0.636363636363637,0.545454545454546,0.636363636363637,0.636363636363637,0.363636363636363,0.454545454545454
"Swati",0.636363636363637,0.363636363636363,0.363636363636363,0.454545454545454,0,0.454545454545454,0.272727272727273,0.545454545454546,0.636363636363637,0.727272727272727,0.454545454545454,0.727272727272727,0.636363636363637,0.636363636363637,0.636363636363637,0.454545454545454,0.454545454545454,0.636363636363637,0.636363636363637,0.727272727272727,0.636363636363637,0.636363636363637,0.636363636363637,0.636363636363637,0.727272727272727,0.636363636363637,0.545454545454546,0.636363636363637,0.636363636363637,0.727272727272727,0.545454545454546,0.636363636363637,0.545454545454546,0.636363636363637,0.454545454545454,0.636363636363637,0.545454545454546,0.727272727272727,0.636363636363637,0.636363636363637,0.727272727272727,0.545454545454546,0.545454545454546,0.727272727272727,0.545454545454546,0.638181818181818,0.636363636363637,0.636363636363637,0.545454545454546,0.636363636363637,0.545454545454546,0.545454545454546,0.454545454545454,0.636363636363637,0.545454545454546,0.636363636363637,0.636363636363637,0.636363636363637,0.636363636363637,0.636363636363637,0.818181818181818,0.818181818181818,0.636363636363637,0.727272727272727,0.454545454545454,0.818181818181818,0.818181818181818,0.727272727272727,0.909090909090909,0.909090909090909,0.818181818181818,0.727272727272727,0.727272727272727,0.636363636363637,0.727272727272727,0.636363636363637,0.454545454545454,0.545454545454546
"Tsonga",0.727272727272727,0.181818181818182,0.181818181818182,0,0.454545454545454,0,0.545454545454546,0.545454545454546,0.454545454545454,0.454545454545454,0.363636363636363,0.454545454545454,0.545454545454546,0.454545454545454,0.454545454545454,0.545454545454546,0.181818181818182,0.454545454545454,0.545454545454546,0.545454545454546,0.545454545454546,0.454545454545454,0.545454545454546,0.454545454545454,0.545454545454546,0.545454545454546,0.636363636363637,0.545454545454546,0.636363636363637,0.727272727272727,0.636363636363637,0.454545454545454,0.545454545454546,0.545454545454546,0.545454545454546,0.545454545454546,0.636363636363637,0.454545454545454,0.363636363636363,0.545454545454546,0.454545454545454,0.727272727272727,0.636363636363637,0.454545454545454,0.636363636363637,0.547272727272728,0.636363636363637,0.727272727272727,0.545454545454546,0.636363636363637,0.636363636363637,0.636363636363637,0.636363636363637,0.545454545454546,0.636363636363637,0.454545454545454,0.727272727272727,0.727272727272727,0.818181818181818,0.727272727272727,0.636363636363637,0.727272727272727,0.727272727272727,0.636363636363637,0.272727272727273,0.727272727272727,0.727272727272727,0.636363636363637,0.818181818181818,0.909090909090909,0.818181818181818,0.636363636363637,0.636363636363637,0.545454545454546,0.636363636363637,0.636363636363637,0.363636363636363,0.454545454545454
"Venda",0.545454545454546,0.454545454545454,0.454545454545454,0.545454545454546,0.272727272727273,0.545454545454546,0,0.636363636363637,0.363636363636363,0.454545454545454,0.181818181818182,0.454545454545454,0.727272727272727,0.363636363636363,0.454545454545454,0.181818181818182,0.545454545454546,0.545454545454546,0.454545454545454,0.545454545454546,0.454545454545454,0.454545454545454,0.454545454545454,0.454545454545454,0.636363636363637,0.454545454545454,0.363636363636363,0.545454545454546,0.636363636363637,0.545454545454546,0.363636363636363,0.454545454545454,0.454545454545454,0.454545454545454,0.272727272727273,0.454545454545454,0.363636363636363,0.545454545454546,0.545454545454546,0.454545454545454,0.636363636363637,0.454545454545454,0.363636363636363,0.545454545454546,0.363636363636363,0.547272727272728,0.545454545454546,0.545454545454546,0.363636363636363,0.545454545454546,0.454545454545454,0.454545454545454,0.363636363636363,0.545454545454546,0.454545454545454,0.545454545454546,0.545454545454546,0.545454545454546,0.545454545454546,0.545454545454546,0.727272727272727,0.727272727272727,0.545454545454546,0.636363636363637,0.545454545454546,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272727,0.818181818181818,0.727272727272727,0.818181818181818,0.818181818181818,0.727272727272727,0.545454545454546,0.363636363636363,0.727272727272727,0.636363636363637
"Kongo",0.818181818181818,0.636363636363637,0.636363636363637,0.545454545454546,0.545454545454546,0.545454545454546,0.636363636363637,0,0.909090909090909,0.636363636363637,0.727272727272727,0.727272727272727,0.454545454545454,0.818181818181818,0.818181818181818,0.636363636363637,0.545454545454546,0.818181818181818,1,0.818181818181818,1,0.818181818181818,0.909090909090909,0.818181818181818,0.909090909090909,0.818181818181818,0.909090909090909,1,1,0.818181818181818,1,0.818181818181818,1,0.909090909090909,0.727272727272727,1,1,0.909090909090909,0.727272727272727,1,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,1,0.816363636363636,0.818181818181818,0.818181818181818,0.727272727272727,0.909090909090909,0.909090909090909,0.909090909090909,0.727272727272727,1,0.909090909090909,0.818181818181818,0.909090909090909,0.818181818181818,0.636363636363637,0.818181818181818,0.727272727272727,0.818181818181818,0.909090909090909,0.818181818181818,0.636363636363637,0.454545454545454,0.454545454545454,0.454545454545454,0.636363636363637,0.727272727272727,0.818181818181818,0.636363636363637,0.636363636363637,0.545454545454546,0.636363636363637,0.818181818181818,0.545454545454546,0.363636363636363
"Kikuyu",0.636363636363637,0.454545454545454,0.454545454545454,0.454545454545454,0.636363636363637,0.454545454545454,0.363636363636363,0.909090909090909,0,0.363636363636363,0.181818181818182,0.272727272727273,0.545454545454546,0.363636363636363,0.272727272727273,0.363636363636363,0.363636363636363,0.363636363636363,0.0909090909090909,0.363636363636363,0.0909090909090909,0.272727272727273,0.272727272727273,0.272727272727273,0.545454545454546,0.454545454545454,0.272727272727273,0.181818181818182,0.454545454545454,0.363636363636363,0.272727272727273,0.272727272727273,0.0909090909090909,0.272727272727273,0.454545454545454,0.0909090909090909,0.272727272727273,0.363636363636363,0.545454545454546,0.0909090909090909,0.454545454545454,0.454545454545454,0.272727272727273,0.363636363636363,0.272727272727273,0.547272727272728,0.636363636363637,0.545454545454546,0.363636363636363,0.363636363636363,0.363636363636363,0.454545454545454,0.545454545454546,0.181818181818182,0.454545454545454,0.363636363636363,0.454545454545454,0.545454545454546,0.636363636363637,0.545454545454546,0.545454545454546,0.454545454545454,0.454545454545454,0.454545454545454,0.363636363636363,0.727272727272727,0.727272727272727,0.909090909090909,0.727272727272727,0.909090909090909,0.727272727272727,0.818181818181818,0.818181818181818,0.818181818181818,0.545454545454546,0.272727272727273,0.545454545454546,0.818181818181818
"Luganda",0.727272727272727,0.545454545454546,0.545454545454546,0.454545454545454,0.727272727272727,0.454545454545454,0.454545454545454,0.636363636363637,0.363636363636363,0,0.363636363636363,0.272727272727273,0.636363636363637,0.454545454545454,0.454545454545454,0.454545454545454,0.545454545454546,0.545454545454546,0.454545454545454,0.363636363636363,0.454545454545454,0.454545454545454,0.363636363636363,0.454545454545454,0.636363636363637,0.454545454545454,0.545454545454546,0.545454545454546,0.727272727272727,0.545454545454546,0.545454545454546,0.454545454545454,0.454545454545454,0.363636363636363,0.363636363636363,0.454545454545454,0.545454545454546,0.454545454545454,0.454545454545454,0.454545454545454,0.545454545454546,0.727272727272727,0.545454545454546,0.454545454545454,0.545454545454546,0.636363636363637,0.727272727272727,0.727272727272727,0.545454545454546,0.545454545454546,0.636363636363637,0.636363636363637,0.636363636363637,0.545454545454546,0.636363636363637,0.545454545454546,0.727272727272727,0.727272727272727,0.727272727272727,0.727272727272727,0.545454545454546,0.545454545454546,0.727272727272727,0.545454545454546,0.454545454545454,0.727272727272727,0.727272727272727,0.818181818181818,0.818181818181818,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.727272727272727,0.545454545454546,0.636363636363637,0.727272727272727
