"l1","l2","imputed_semantic_domain","rho","nconcepts_compared","cult.dist"
"ab","av","animals",0.865882493335,1,NA
"ab","av","basic_actions_and_technology",0.909181076948,3,NA
"ab","av","body_parts",0.135628400508,7,NA
"ab","av","clothing_and_grooming",0.985947798047,1,NA
"ab","av","cognition",0.660116847719,5,NA
"ab","av","kinship",0.303083951167,5,NA
"ab","av","motion",0.246452301891,2,NA
"ab","av","physical_world",-0.0405232931008,8,NA
"ab","av","posession",0.696948845885,4,NA
"ab","av","quantity",0.264913452726,9,NA
"ab","av","sense_perception",0.446863863808,1,NA
"ab","av","social_and_political_relations",0.388515928617,4,NA
"ab","av","spatial_relations",0.0843479554037,8,NA
"ab","av","speech_and_language",0,2,NA
"ab","av","the_house",1,1,NA
"ab","av","time",0.280855948503,6,NA
"ab","av","warfare_and_hunting",0.074145824669,4,NA
"ab","ba","animals",NA,0,NA
"ab","ba","basic_actions_and_technology",0.24508160773,4,0.541666666666666
"ab","ba","body_parts",0.930803281649,7,NA
"ab","ba","clothing_and_grooming",NA,0,NA
"ab","ba","cognition",-0.117642053065,6,NA
"ab","ba","emotion_and_values",-0.990563183807,1,NA
"ab","ba","kinship",1,2,0.606071428571428
"ab","ba","motion",0.596165874969,4,NA
"ab","ba","physical_world",-1,3,NA
"ab","ba","posession",-0.130391942124,2,NA
"ab","ba","quantity",0.106837712,12,NA
"ab","ba","sense_perception",NA,0,NA
"ab","ba","social_and_political_relations",-0.295409671827,2,0.701923076923077
"ab","ba","spatial_relations",0.26895631692,6,NA
"ab","ba","speech_and_language",-0.333333333333,3,NA
"ab","ba","the_house",NA,0,0.7
"ab","ba","time",0.0550385315795,9,NA
"ab","ba","warfare_and_hunting",0.061535784026,1,NA
"ab","be","animals",0.406133010851,1,NA
"ab","be","basic_actions_and_technology",0.420725876272,4,0.574166666666667
"ab","be","body_parts",0.859189123906,4,NA
"ab","be","clothing_and_grooming",0,2,NA
"ab","be","cognition",0.188288236517,8,NA
"ab","be","emotion_and_values",0.129794547074,2,NA
"ab","be","kinship",0.783054663828,3,0.648214285714286
"ab","be","motion",0.293754029091,4,NA
"ab","be","physical_world",0.326333350538,6,NA
"ab","be","posession",-0.561400311903,5,NA
"ab","be","quantity",0.720011753771,12,NA
"ab","be","sense_perception",NA,0,NA
"ab","be","social_and_political_relations",-0.376470700009,3,0.623461538461539
"ab","be","spatial_relations",0.158435462823,9,NA
"ab","be","speech_and_language",-0.0523584742438,4,NA
"ab","be","the_house",NA,0,0.566363636363636
"ab","be","time",0.253555157525,10,NA
"ab","be","warfare_and_hunting",0.149548247582,3,NA
