"","Herero","Zulu","Tswana","Ndonga","Swati","Tsonga","Venda","Kongo","Kikuyu","Luganda","Kinyarwanda","Kirundi","Igbo","Bambara","Amharic","Kanuri","Wolof","Egyptian Arabic","Kabyle","Neapolitan","Spanish","English","French","Dutch","Icelandic","Irish","Serbian","Russian","Bashkir","Chuvash","Erzya","Estonian","Gagauz","Latvian","Vepsian","Czech","Bulgarian","Lithuanian","Kalmyk","Armenian","Kurdish (Sorani)","Abkhazian","Turkish","Hebrew","Eastern Punjabi","Kazakh","Sakha","Korean","Nuosu","Japanese","Tibetan","Bengali","Kashmiri","Telugu","Tamil","Malayalam","Burmese","Vietnamese","Khmer","Malay","Thai","Cebuano","Banyumasan","Minangkabau","Chamorro","Samoan","Tongan","Maori","Hawaiian","Inupiak","Cheyenne","Choctaw","Muscogee","Cherokee","Navajo","Haitian","Aymara","Guarani"
"Herero",0,0.459166666666667,0.395,0.375833333333333,0.330833333333333,0.5425,0.438333333333334,0.485833333333333,0.396666666666667,0.536666666666667,0.500833333333333,0.618333333333333,0.521666666666667,0.561666666666667,0.598333333333333,0.453333333333333,0.48,0.768333333333333,0.505833333333333,0.703333333333333,0.703333333333333,0.78,0.7375,0.863333333333333,0.618333333333333,0.605,0.655,0.68,0.698333333333333,0.74,0.640833333333333,0.538333333333333,0.661666666666667,0.661666666666667,0.62,0.696666666666667,0.635,0.654166666666667,0.326666666666667,0.453333333333333,0.619166666666667,0.46,0.656666666666667,0.738333333333333,0.706666666666667,0.410833333333333,0.5425,0.599166666666667,0.435833333333333,0.831666666666667,0.6925,0.821666666666667,0.719166666666667,0.753333333333333,0.783333333333333,0.684166666666667,0.760833333333333,0.714166666666667,0.604166666666667,0.61,0.584166666666667,0.655833333333333,0.513333333333333,0.616666666666667,0.740833333333333,0.781666666666667,0.743333333333333,0.788333333333333,0.673333333333333,0.495,0.4325,0.6375,0.709166666666667,0.661666666666667,0.2925,0.6875,0.6825,0.518333333333333
"Zulu",0.459166666666667,0,0.146666666666667,0.458333333333333,0.2125,0.25,0.458333333333333,0.430833333333333,0.166666666666667,0.333333333333333,0.291666666666666,0.416666666666667,0.375,0.541666666666667,0.54,0.446666666666667,0.541666666666667,0.616666666666667,0.4625,0.375,0.375,0.458333333333333,0.5175,0.625,0.3475,0.3625,0.375,0.5525,0.583333333333333,0.666666666666667,0.583333333333333,0.416666666666667,0.625,0.625,0.5,0.416666666666667,0.375,0.436666666666667,0.466666666666667,0.271666666666667,0.416666666666667,0.625,0.5,0.583333333333333,0.545,0.5,0.458333333333333,0.416666666666667,0.4425,0.635,0.488333333333333,0.541666666666667,0.573333333333333,0.509166666666667,0.5,0.401666666666667,0.5225,0.581666666666667,0.55,0.4775,0.38,0.358333333333333,0.458333333333333,0.570833333333333,0.4425,0.541666666666667,0.476666666666667,0.708333333333333,0.694166666666667,0.541666666666667,0.361666666666667,0.4075,0.458333333333333,0.428333333333333,0.416666666666667,0.574166666666667,0.333333333333333,0.508333333333333
"Tswana",0.395,0.146666666666667,0,0.438333333333333,0.1975,0.396666666666667,0.325,0.5125,0.0333333333333333,0.355,0.438333333333333,0.445833333333333,0.271666666666667,0.570833333333333,0.536666666666667,0.499166666666667,0.438333333333333,0.628333333333333,0.564166666666667,0.48,0.438333333333333,0.521666666666667,0.579166666666667,0.646666666666667,0.475833333333333,0.390833333333333,0.396666666666667,0.476666666666667,0.688333333333333,0.73,0.688333333333333,0.521666666666667,0.529166666666667,0.646666666666667,0.521666666666667,0.48,0.48,0.538333333333333,0.403333333333333,0.2975,0.396666666666667,0.540833333333334,0.438333333333333,0.605,0.441666666666667,0.416666666666667,0.605,0.521666666666667,0.419166666666667,0.573333333333333,0.5625,0.563333333333333,0.595,0.495,0.483333333333333,0.451666666666666,0.585833333333333,0.645,0.639166666666667,0.624166666666667,0.5075,0.501666666666666,0.404166666666667,0.673333333333334,0.5475,0.646666666666667,0.581666666666667,0.813333333333333,0.7575,0.6125,0.350833333333333,0.5125,0.605,0.564166666666667,0.396666666666667,0.5925,0.48,0.488333333333333
"Ndonga",0.375833333333333,0.458333333333333,0.438333333333333,0,0.419166666666667,0.458333333333333,0.458333333333333,0.351666666666667,0.458333333333333,0.458333333333333,0.375,0.583333333333333,0.541666666666667,0.416666666666667,0.4925,0.380833333333333,0.333333333333333,0.7,0.526666666666667,0.625,0.625,0.75,0.665833333333333,0.791666666666667,0.514166666666667,0.534166666666666,0.708333333333333,0.719166666666667,0.708333333333333,0.75,0.583333333333333,0.541666666666667,0.625,0.666666666666667,0.541666666666667,0.75,0.583333333333333,0.621666666666667,0.408333333333333,0.464166666666667,0.458333333333333,0.458333333333333,0.75,0.625,0.628333333333333,0.5,0.375,0.458333333333333,0.564166666666667,0.76,0.655,0.75,0.6475,0.681666666666667,0.733333333333333,0.603333333333333,0.730833333333333,0.586666666666667,0.471666666666667,0.478333333333333,0.546666666666667,0.466666666666667,0.541666666666667,0.519166666666667,0.6975,0.791666666666667,0.668333333333333,0.666666666666667,0.5825,0.625,0.475833333333333,0.486666666666667,0.541666666666667,0.553333333333333,0.375,0.740833333333333,0.583333333333333,0.443333333333333
"Swati",0.330833333333333,0.2125,0.1975,0.419166666666667,0,0.295833333333333,0.365,0.454166666666667,0.198333333333333,0.489166666666667,0.379166666666667,0.563333333333333,0.448333333333333,0.575,0.631666666666667,0.439166666666667,0.49,0.756666666666667,0.465,0.565,0.5275,0.6175,0.604166666666667,0.75,0.545833333333333,0.479166666666667,0.524166666666667,0.571666666666667,0.588333333333333,0.640833333333333,0.585,0.421666666666667,0.628333333333333,0.614166666666667,0.530833333333333,0.569166666666667,0.538333333333333,0.518333333333333,0.285,0.304166666666667,0.5025,0.461666666666667,0.545,0.739166666666667,0.606666666666667,0.503333333333333,0.504166666666667,0.578333333333333,0.510833333333333,0.698333333333333,0.633333333333334,0.699166666666666,0.604166666666667,0.630833333333334,0.620833333333333,0.543333333333333,0.709166666666667,0.6975,0.595,0.5925,0.476666666666667,0.485,0.4075,0.643333333333333,0.614166666666667,0.713333333333333,0.585,0.755,0.733333333333334,0.505,0.258333333333333,0.436666666666666,0.504166666666667,0.454166666666666,0.335833333333333,0.7275,0.533333333333333,0.461666666666667
"Tsonga",0.5425,0.25,0.396666666666667,0.458333333333333,0.295833333333333,0,0.541666666666667,0.3575,0.416666666666667,0.375,0.25,0.458333333333333,0.458333333333333,0.5,0.518333333333333,0.415,0.458333333333333,0.7,0.545833333333334,0.458333333333333,0.416666666666667,0.5,0.453333333333333,0.666666666666667,0.3975,0.465833333333333,0.583333333333333,0.74,0.458333333333333,0.541666666666667,0.458333333333333,0.333333333333333,0.666666666666667,0.541666666666667,0.458333333333333,0.583333333333333,0.416666666666667,0.4425,0.508333333333333,0.448333333333333,0.458333333333333,0.583333333333333,0.583333333333333,0.625,0.62,0.708333333333333,0.333333333333333,0.5,0.650833333333334,0.655,0.571666666666667,0.583333333333333,0.49,0.550833333333333,0.584166666666667,0.483333333333334,0.5425,0.525833333333333,0.471666666666667,0.395,0.298333333333333,0.304166666666667,0.458333333333333,0.465,0.359166666666667,0.5,0.371666666666667,0.541666666666667,0.550833333333333,0.458333333333333,0.403333333333333,0.3275,0.375,0.291666666666667,0.5,0.7825,0.416666666666667,0.500833333333333
"Venda",0.438333333333334,0.458333333333333,0.325,0.458333333333333,0.365,0.541666666666667,0,0.470833333333333,0.291666666666666,0.541666666666667,0.458333333333333,0.5,0.458333333333333,0.458333333333333,0.575833333333333,0.52,0.375,0.728333333333333,0.4975,0.666666666666667,0.666666666666667,0.708333333333333,0.705,0.833333333333334,0.54,0.558333333333333,0.5,0.628333333333334,0.708333333333333,0.708333333333333,0.583333333333333,0.625,0.541666666666667,0.666666666666667,0.458333333333333,0.666666666666667,0.583333333333333,0.616666666666667,0.395833333333333,0.380833333333333,0.541666666666667,0.416666666666667,0.583333333333333,0.708333333333333,0.653333333333334,0.375,0.541666666666667,0.5,0.3975,0.728333333333333,0.615833333333333,0.75,0.569166666666667,0.681666666666667,0.711666666666667,0.646666666666667,0.615,0.6,0.548333333333333,0.510833333333333,0.595,0.563333333333333,0.583333333333333,0.609166666666666,0.8175,0.916666666666666,0.793333333333334,0.708333333333333,0.8,0.75,0.475833333333333,0.664166666666667,0.625,0.655,0.291666666666666,0.6125,0.666666666666667,0.5325
"Kongo",0.485833333333333,0.430833333333333,0.5125,0.351666666666667,0.454166666666667,0.3575,0.470833333333333,0,0.523333333333333,0.404166666666667,0.305833333333333,0.494166666666667,0.551666666666667,0.380833333333333,0.495,0.429166666666667,0.443333333333333,0.693333333333333,0.5525,0.561666666666667,0.58,0.684166666666667,0.6075,0.8125,0.448333333333333,0.573333333333333,0.629166666666667,0.788333333333333,0.615833333333333,0.648333333333333,0.529166666666667,0.494166666666667,0.641666666666667,0.636666666666667,0.503333333333333,0.688333333333333,0.508333333333334,0.565,0.5175,0.545,0.573333333333333,0.463333333333333,0.7325,0.629166666666667,0.735833333333334,0.545,0.413333333333333,0.38,0.550833333333333,0.796666666666667,0.575,0.723333333333333,0.605,0.675833333333333,0.715833333333334,0.611666666666667,0.628333333333333,0.505,0.431666666666666,0.443333333333333,0.47,0.4325,0.626666666666667,0.464166666666667,0.615,0.696666666666666,0.563333333333333,0.560833333333333,0.525833333333334,0.550833333333334,0.584166666666667,0.479166666666667,0.475833333333333,0.504166666666667,0.483333333333334,0.699166666666667,0.555833333333334,0.5625
"Kikuyu",0.396666666666667,0.166666666666667,0.0333333333333333,0.458333333333333,0.198333333333333,0.416666666666667,0.291666666666666,0.523333333333333,0,0.375,0.458333333333333,0.458333333333333,0.291666666666666,0.583333333333333,0.556666666666667,0.506666666666667,0.458333333333333,0.645,0.580833333333333,0.5,0.458333333333333,0.541666666666667,0.598333333333333,0.666666666666667,0.495833333333333,0.410833333333333,0.416666666666667,0.476666666666667,0.708333333333333,0.75,0.708333333333333,0.541666666666667,0.541666666666667,0.666666666666667,0.541666666666667,0.5,0.5,0.556666666666667,0.404166666666667,0.3175,0.416666666666667,0.541666666666667,0.458333333333333,0.625,0.461666666666667,0.416666666666667,0.625,0.541666666666667,0.439166666666667,0.593333333333333,0.574166666666667,0.583333333333333,0.615,0.515,0.503333333333333,0.4675,0.605833333333333,0.665,0.659166666666667,0.644166666666667,0.5275,0.519166666666667,0.416666666666667,0.6925,0.5675,0.666666666666667,0.601666666666666,0.833333333333334,0.7775,0.625,0.350833333333333,0.5325,0.625,0.575,0.416666666666667,0.6125,0.5,0.508333333333333
"Luganda",0.536666666666667,0.333333333333333,0.355,0.458333333333333,0.489166666666667,0.375,0.541666666666667,0.404166666666667,0.375,0,0.333333333333333,0.333333333333333,0.416666666666667,0.416666666666667,0.330833333333333,0.4925,0.333333333333333,0.45,0.670833333333333,0.5,0.375,0.458333333333333,0.559166666666667,0.666666666666667,0.344166666666667,0.475,0.541666666666667,0.740833333333333,0.666666666666667,0.625,0.5,0.5,0.583333333333333,0.416666666666667,0.291666666666666,0.625,0.5,0.603333333333333,0.616666666666667,0.575,0.541666666666667,0.541666666666667,0.666666666666667,0.291666666666666,0.523333333333333,0.541666666666667,0.5,0.375,0.536666666666667,0.639166666666667,0.545833333333333,0.458333333333333,0.3975,0.388333333333333,0.418333333333333,0.461666666666667,0.386666666666667,0.485833333333333,0.556666666666667,0.46,0.4625,0.54,0.666666666666667,0.498333333333333,0.484166666666667,0.625,0.56,0.708333333333333,0.5275,0.666666666666667,0.660833333333334,0.598333333333333,0.666666666666667,0.586666666666667,0.583333333333333,0.4075,0.458333333333333,0.65
