"Var1","Var2","value"
"Herero","Herero",0
"Zulu","Herero",0.459166666666667
"Tswana","Herero",0.395
"Ndonga","Herero",0.375833333333333
"Swati","Herero",0.330833333333333
"Tsonga","Herero",0.5425
"Venda","Herero",0.438333333333334
"Kongo","Herero",0.485833333333333
"Kikuyu","Herero",0.396666666666667
"Luganda","Herero",0.536666666666667
"Kinyarwanda","Herero",0.500833333333333
"Kirundi","Herero",0.618333333333333
"Igbo","Herero",0.521666666666667
"Bambara","Herero",0.561666666666667
"Amharic","Herero",0.598333333333333
"Kanuri","Herero",0.453333333333333
"Wolof","Herero",0.48
"Egyptian Arabic","Herero",0.768333333333333
"Kabyle","Herero",0.505833333333333
"Neapolitan","Herero",0.703333333333333
"Spanish","Herero",0.703333333333333
"English","Herero",0.78
"French","Herero",0.7375
"Dutch","Herero",0.863333333333333
"Icelandic","Herero",0.618333333333333
"Irish","Herero",0.605
"Serbian","Herero",0.655
"Russian","Herero",0.68
"Bashkir","Herero",0.698333333333333
"Chuvash","Herero",0.74
"Erzya","Herero",0.640833333333333
"Estonian","Herero",0.538333333333333
"Gagauz","Herero",0.661666666666667
"Latvian","Herero",0.661666666666667
"Vepsian","Herero",0.62
"Czech","Herero",0.696666666666667
"Bulgarian","Herero",0.635
"Lithuanian","Herero",0.654166666666667
"Kalmyk","Herero",0.326666666666667
"Armenian","Herero",0.453333333333333
"Kurdish (Sorani)","Herero",0.619166666666667
"Abkhazian","Herero",0.46
"Turkish","Herero",0.656666666666667
"Hebrew","Herero",0.738333333333333
"Eastern Punjabi","Herero",0.706666666666667
"Kazakh","Herero",0.410833333333333
"Sakha","Herero",0.5425
"Korean","Herero",0.599166666666667
"Nuosu","Herero",0.435833333333333
"Japanese","Herero",0.831666666666667
"Tibetan","Herero",0.6925
"Bengali","Herero",0.821666666666667
"Kashmiri","Herero",0.719166666666667
"Telugu","Herero",0.753333333333333
"Tamil","Herero",0.783333333333333
"Malayalam","Herero",0.684166666666667
"Burmese","Herero",0.760833333333333
"Vietnamese","Herero",0.714166666666667
"Khmer","Herero",0.604166666666667
"Malay","Herero",0.61
"Thai","Herero",0.584166666666667
"Cebuano","Herero",0.655833333333333
"Banyumasan","Herero",0.513333333333333
"Minangkabau","Herero",0.616666666666667
"Chamorro","Herero",0.740833333333333
"Samoan","Herero",0.781666666666667
"Tongan","Herero",0.743333333333333
"Maori","Herero",0.788333333333333
"Hawaiian","Herero",0.673333333333333
"Inupiak","Herero",0.495
"Cheyenne","Herero",0.4325
"Choctaw","Herero",0.6375
"Muscogee","Herero",0.709166666666667
"Cherokee","Herero",0.661666666666667
"Navajo","Herero",0.2925
"Haitian","Herero",0.6875
"Aymara","Herero",0.6825
"Guarani","Herero",0.518333333333333
"Herero","Zulu",0.459166666666667
"Zulu","Zulu",0
"Tswana","Zulu",0.146666666666667
"Ndonga","Zulu",0.458333333333333
"Swati","Zulu",0.2125
"Tsonga","Zulu",0.25
"Venda","Zulu",0.458333333333333
"Kongo","Zulu",0.430833333333333
"Kikuyu","Zulu",0.166666666666667
"Luganda","Zulu",0.333333333333333
"Kinyarwanda","Zulu",0.291666666666666
"Kirundi","Zulu",0.416666666666667
"Igbo","Zulu",0.375
"Bambara","Zulu",0.541666666666667
"Amharic","Zulu",0.54
"Kanuri","Zulu",0.446666666666667
"Wolof","Zulu",0.541666666666667
"Egyptian Arabic","Zulu",0.616666666666667
"Kabyle","Zulu",0.4625
"Neapolitan","Zulu",0.375
"Spanish","Zulu",0.375
"English","Zulu",0.458333333333333
"French","Zulu",0.5175
"Dutch","Zulu",0.625
"Icelandic","Zulu",0.3475
"Irish","Zulu",0.3625
"Serbian","Zulu",0.375
"Russian","Zulu",0.5525
"Bashkir","Zulu",0.583333333333333
"Chuvash","Zulu",0.666666666666667
"Erzya","Zulu",0.583333333333333
"Estonian","Zulu",0.416666666666667
"Gagauz","Zulu",0.625
"Latvian","Zulu",0.625
"Vepsian","Zulu",0.5
"Czech","Zulu",0.416666666666667
"Bulgarian","Zulu",0.375
"Lithuanian","Zulu",0.436666666666667
"Kalmyk","Zulu",0.466666666666667
"Armenian","Zulu",0.271666666666667
"Kurdish (Sorani)","Zulu",0.416666666666667
"Abkhazian","Zulu",0.625
"Turkish","Zulu",0.5
"Hebrew","Zulu",0.583333333333333
"Eastern Punjabi","Zulu",0.545
"Kazakh","Zulu",0.5
"Sakha","Zulu",0.458333333333333
"Korean","Zulu",0.416666666666667
"Nuosu","Zulu",0.4425
"Japanese","Zulu",0.635
"Tibetan","Zulu",0.488333333333333
"Bengali","Zulu",0.541666666666667
"Kashmiri","Zulu",0.573333333333333
"Telugu","Zulu",0.509166666666667
"Tamil","Zulu",0.5
"Malayalam","Zulu",0.401666666666667
"Burmese","Zulu",0.5225
"Vietnamese","Zulu",0.581666666666667
"Khmer","Zulu",0.55
"Malay","Zulu",0.4775
"Thai","Zulu",0.38
"Cebuano","Zulu",0.358333333333333
"Banyumasan","Zulu",0.458333333333333
"Minangkabau","Zulu",0.570833333333333
"Chamorro","Zulu",0.4425
"Samoan","Zulu",0.541666666666667
"Tongan","Zulu",0.476666666666667
"Maori","Zulu",0.708333333333333
"Hawaiian","Zulu",0.694166666666667
"Inupiak","Zulu",0.541666666666667
"Cheyenne","Zulu",0.361666666666667
"Choctaw","Zulu",0.4075
"Muscogee","Zulu",0.458333333333333
"Cherokee","Zulu",0.428333333333333
"Navajo","Zulu",0.416666666666667
"Haitian","Zulu",0.574166666666667
"Aymara","Zulu",0.333333333333333
"Guarani","Zulu",0.508333333333333
"Herero","Tswana",0.395
"Zulu","Tswana",0.146666666666667
"Tswana","Tswana",0
"Ndonga","Tswana",0.438333333333333
"Swati","Tswana",0.1975
"Tsonga","Tswana",0.396666666666667
"Venda","Tswana",0.325
"Kongo","Tswana",0.5125
"Kikuyu","Tswana",0.0333333333333333
"Luganda","Tswana",0.355
"Kinyarwanda","Tswana",0.438333333333333
"Kirundi","Tswana",0.445833333333333
"Igbo","Tswana",0.271666666666667
"Bambara","Tswana",0.570833333333333
"Amharic","Tswana",0.536666666666667
"Kanuri","Tswana",0.499166666666667
"Wolof","Tswana",0.438333333333333
"Egyptian Arabic","Tswana",0.628333333333333
"Kabyle","Tswana",0.564166666666667
"Neapolitan","Tswana",0.48
"Spanish","Tswana",0.438333333333333
"English","Tswana",0.521666666666667
"French","Tswana",0.579166666666667
"Dutch","Tswana",0.646666666666667
"Icelandic","Tswana",0.475833333333333
"Irish","Tswana",0.390833333333333
"Serbian","Tswana",0.396666666666667
"Russian","Tswana",0.476666666666667
"Bashkir","Tswana",0.688333333333333
"Chuvash","Tswana",0.73
"Erzya","Tswana",0.688333333333333
"Estonian","Tswana",0.521666666666667
"Gagauz","Tswana",0.529166666666667
"Latvian","Tswana",0.646666666666667
"Vepsian","Tswana",0.521666666666667
"Czech","Tswana",0.48
"Bulgarian","Tswana",0.48
"Lithuanian","Tswana",0.538333333333333
"Kalmyk","Tswana",0.403333333333333
"Armenian","Tswana",0.2975
"Kurdish (Sorani)","Tswana",0.396666666666667
"Abkhazian","Tswana",0.540833333333334
"Turkish","Tswana",0.438333333333333
"Hebrew","Tswana",0.605
"Eastern Punjabi","Tswana",0.441666666666667
"Kazakh","Tswana",0.416666666666667
"Sakha","Tswana",0.605
"Korean","Tswana",0.521666666666667
"Nuosu","Tswana",0.419166666666667
"Japanese","Tswana",0.573333333333333
"Tibetan","Tswana",0.5625
"Bengali","Tswana",0.563333333333333
"Kashmiri","Tswana",0.595
"Telugu","Tswana",0.495
"Tamil","Tswana",0.483333333333333
"Malayalam","Tswana",0.451666666666666
"Burmese","Tswana",0.585833333333333
"Vietnamese","Tswana",0.645
"Khmer","Tswana",0.639166666666667
"Malay","Tswana",0.624166666666667
"Thai","Tswana",0.5075
"Cebuano","Tswana",0.501666666666666
"Banyumasan","Tswana",0.404166666666667
"Minangkabau","Tswana",0.673333333333334
"Chamorro","Tswana",0.5475
"Samoan","Tswana",0.646666666666667
"Tongan","Tswana",0.581666666666667
"Maori","Tswana",0.813333333333333
"Hawaiian","Tswana",0.7575
"Inupiak","Tswana",0.6125
"Cheyenne","Tswana",0.350833333333333
"Choctaw","Tswana",0.5125
"Muscogee","Tswana",0.605
"Cherokee","Tswana",0.564166666666667
"Navajo","Tswana",0.396666666666667
"Haitian","Tswana",0.5925
"Aymara","Tswana",0.48
"Guarani","Tswana",0.488333333333333
"Herero","Ndonga",0.375833333333333
"Zulu","Ndonga",0.458333333333333
"Tswana","Ndonga",0.438333333333333
"Ndonga","Ndonga",0
"Swati","Ndonga",0.419166666666667
"Tsonga","Ndonga",0.458333333333333
"Venda","Ndonga",0.458333333333333
"Kongo","Ndonga",0.351666666666667
"Kikuyu","Ndonga",0.458333333333333
"Luganda","Ndonga",0.458333333333333
"Kinyarwanda","Ndonga",0.375
"Kirundi","Ndonga",0.583333333333333
"Igbo","Ndonga",0.541666666666667
"Bambara","Ndonga",0.416666666666667
"Amharic","Ndonga",0.4925
"Kanuri","Ndonga",0.380833333333333
"Wolof","Ndonga",0.333333333333333
"Egyptian Arabic","Ndonga",0.7
"Kabyle","Ndonga",0.526666666666667
"Neapolitan","Ndonga",0.625
"Spanish","Ndonga",0.625
"English","Ndonga",0.75
"French","Ndonga",0.665833333333333
"Dutch","Ndonga",0.791666666666667
"Icelandic","Ndonga",0.514166666666667
"Irish","Ndonga",0.534166666666666
"Serbian","Ndonga",0.708333333333333
"Russian","Ndonga",0.719166666666667
"Bashkir","Ndonga",0.708333333333333
"Chuvash","Ndonga",0.75
"Erzya","Ndonga",0.583333333333333
"Estonian","Ndonga",0.541666666666667
"Gagauz","Ndonga",0.625
"Latvian","Ndonga",0.666666666666667
"Vepsian","Ndonga",0.541666666666667
"Czech","Ndonga",0.75
"Bulgarian","Ndonga",0.583333333333333
"Lithuanian","Ndonga",0.621666666666667
"Kalmyk","Ndonga",0.408333333333333
"Armenian","Ndonga",0.464166666666667
"Kurdish (Sorani)","Ndonga",0.458333333333333
"Abkhazian","Ndonga",0.458333333333333
"Turkish","Ndonga",0.75
"Hebrew","Ndonga",0.625
"Eastern Punjabi","Ndonga",0.628333333333333
"Kazakh","Ndonga",0.5
"Sakha","Ndonga",0.375
"Korean","Ndonga",0.458333333333333
"Nuosu","Ndonga",0.564166666666667
"Japanese","Ndonga",0.76
"Tibetan","Ndonga",0.655
"Bengali","Ndonga",0.75
"Kashmiri","Ndonga",0.6475
"Telugu","Ndonga",0.681666666666667
"Tamil","Ndonga",0.733333333333333
"Malayalam","Ndonga",0.603333333333333
"Burmese","Ndonga",0.730833333333333
"Vietnamese","Ndonga",0.586666666666667
"Khmer","Ndonga",0.471666666666667
"Malay","Ndonga",0.478333333333333
"Thai","Ndonga",0.546666666666667
"Cebuano","Ndonga",0.466666666666667
"Banyumasan","Ndonga",0.541666666666667
"Minangkabau","Ndonga",0.519166666666667
"Chamorro","Ndonga",0.6975
"Samoan","Ndonga",0.791666666666667
"Tongan","Ndonga",0.668333333333333
"Maori","Ndonga",0.666666666666667
"Hawaiian","Ndonga",0.5825
"Inupiak","Ndonga",0.625
"Cheyenne","Ndonga",0.475833333333333
"Choctaw","Ndonga",0.486666666666667
"Muscogee","Ndonga",0.541666666666667
"Cherokee","Ndonga",0.553333333333333
"Navajo","Ndonga",0.375
"Haitian","Ndonga",0.740833333333333
"Aymara","Ndonga",0.583333333333333
"Guarani","Ndonga",0.443333333333333
"Herero","Swati",0.330833333333333
"Zulu","Swati",0.2125
"Tswana","Swati",0.1975
"Ndonga","Swati",0.419166666666667
"Swati","Swati",0
"Tsonga","Swati",0.295833333333333
"Venda","Swati",0.365
"Kongo","Swati",0.454166666666667
"Kikuyu","Swati",0.198333333333333
"Luganda","Swati",0.489166666666667
"Kinyarwanda","Swati",0.379166666666667
"Kirundi","Swati",0.563333333333333
"Igbo","Swati",0.448333333333333
"Bambara","Swati",0.575
"Amharic","Swati",0.631666666666667
"Kanuri","Swati",0.439166666666667
"Wolof","Swati",0.49
"Egyptian Arabic","Swati",0.756666666666667
"Kabyle","Swati",0.465
"Neapolitan","Swati",0.565
"Spanish","Swati",0.5275
"English","Swati",0.6175
"French","Swati",0.604166666666667
"Dutch","Swati",0.75
"Icelandic","Swati",0.545833333333333
"Irish","Swati",0.479166666666667
"Serbian","Swati",0.524166666666667
"Russian","Swati",0.571666666666667
"Bashkir","Swati",0.588333333333333
"Chuvash","Swati",0.640833333333333
"Erzya","Swati",0.585
"Estonian","Swati",0.421666666666667
"Gagauz","Swati",0.628333333333333
"Latvian","Swati",0.614166666666667
"Vepsian","Swati",0.530833333333333
"Czech","Swati",0.569166666666667
"Bulgarian","Swati",0.538333333333333
"Lithuanian","Swati",0.518333333333333
"Kalmyk","Swati",0.285
"Armenian","Swati",0.304166666666667
"Kurdish (Sorani)","Swati",0.5025
"Abkhazian","Swati",0.461666666666667
"Turkish","Swati",0.545
"Hebrew","Swati",0.739166666666667
"Eastern Punjabi","Swati",0.606666666666667
"Kazakh","Swati",0.503333333333333
"Sakha","Swati",0.504166666666667
"Korean","Swati",0.578333333333333
"Nuosu","Swati",0.510833333333333
"Japanese","Swati",0.698333333333333
"Tibetan","Swati",0.633333333333334
"Bengali","Swati",0.699166666666666
"Kashmiri","Swati",0.604166666666667
"Telugu","Swati",0.630833333333334
"Tamil","Swati",0.620833333333333
"Malayalam","Swati",0.543333333333333
"Burmese","Swati",0.709166666666667
"Vietnamese","Swati",0.6975
"Khmer","Swati",0.595
"Malay","Swati",0.5925
"Thai","Swati",0.476666666666667
"Cebuano","Swati",0.485
"Banyumasan","Swati",0.4075
"Minangkabau","Swati",0.643333333333333
"Chamorro","Swati",0.614166666666667
"Samoan","Swati",0.713333333333333
"Tongan","Swati",0.585
"Maori","Swati",0.755
"Hawaiian","Swati",0.733333333333334
"Inupiak","Swati",0.505
"Cheyenne","Swati",0.258333333333333
"Choctaw","Swati",0.436666666666666
"Muscogee","Swati",0.504166666666667
"Cherokee","Swati",0.454166666666666
"Navajo","Swati",0.335833333333333
"Haitian","Swati",0.7275
"Aymara","Swati",0.533333333333333
"Guarani","Swati",0.461666666666667
"Herero","Tsonga",0.5425
"Zulu","Tsonga",0.25
"Tswana","Tsonga",0.396666666666667
"Ndonga","Tsonga",0.458333333333333
"Swati","Tsonga",0.295833333333333
"Tsonga","Tsonga",0
"Venda","Tsonga",0.541666666666667
"Kongo","Tsonga",0.3575
"Kikuyu","Tsonga",0.416666666666667
"Luganda","Tsonga",0.375
"Kinyarwanda","Tsonga",0.25
"Kirundi","Tsonga",0.458333333333333
"Igbo","Tsonga",0.458333333333333
"Bambara","Tsonga",0.5
"Amharic","Tsonga",0.518333333333333
"Kanuri","Tsonga",0.415
"Wolof","Tsonga",0.458333333333333
"Egyptian Arabic","Tsonga",0.7
"Kabyle","Tsonga",0.545833333333334
"Neapolitan","Tsonga",0.458333333333333
"Spanish","Tsonga",0.416666666666667
"English","Tsonga",0.5
"French","Tsonga",0.453333333333333
"Dutch","Tsonga",0.666666666666667
"Icelandic","Tsonga",0.3975
"Irish","Tsonga",0.465833333333333
"Serbian","Tsonga",0.583333333333333
"Russian","Tsonga",0.74
"Bashkir","Tsonga",0.458333333333333
"Chuvash","Tsonga",0.541666666666667
"Erzya","Tsonga",0.458333333333333
"Estonian","Tsonga",0.333333333333333
"Gagauz","Tsonga",0.666666666666667
"Latvian","Tsonga",0.541666666666667
"Vepsian","Tsonga",0.458333333333333
"Czech","Tsonga",0.583333333333333
"Bulgarian","Tsonga",0.416666666666667
"Lithuanian","Tsonga",0.4425
"Kalmyk","Tsonga",0.508333333333333
"Armenian","Tsonga",0.448333333333333
"Kurdish (Sorani)","Tsonga",0.458333333333333
"Abkhazian","Tsonga",0.583333333333333
"Turkish","Tsonga",0.583333333333333
"Hebrew","Tsonga",0.625
"Eastern Punjabi","Tsonga",0.62
"Kazakh","Tsonga",0.708333333333333
"Sakha","Tsonga",0.333333333333333
"Korean","Tsonga",0.5
"Nuosu","Tsonga",0.650833333333334
"Japanese","Tsonga",0.655
"Tibetan","Tsonga",0.571666666666667
"Bengali","Tsonga",0.583333333333333
"Kashmiri","Tsonga",0.49
"Telugu","Tsonga",0.550833333333333
"Tamil","Tsonga",0.584166666666667
"Malayalam","Tsonga",0.483333333333334
"Burmese","Tsonga",0.5425
"Vietnamese","Tsonga",0.525833333333333
"Khmer","Tsonga",0.471666666666667
"Malay","Tsonga",0.395
"Thai","Tsonga",0.298333333333333
"Cebuano","Tsonga",0.304166666666667
"Banyumasan","Tsonga",0.458333333333333
"Minangkabau","Tsonga",0.465
"Chamorro","Tsonga",0.359166666666667
"Samoan","Tsonga",0.5
"Tongan","Tsonga",0.371666666666667
"Maori","Tsonga",0.541666666666667
"Hawaiian","Tsonga",0.550833333333333
"Inupiak","Tsonga",0.458333333333333
"Cheyenne","Tsonga",0.403333333333333
"Choctaw","Tsonga",0.3275
"Muscogee","Tsonga",0.375
"Cherokee","Tsonga",0.291666666666667
"Navajo","Tsonga",0.5
"Haitian","Tsonga",0.7825
"Aymara","Tsonga",0.416666666666667
"Guarani","Tsonga",0.500833333333333
"Herero","Venda",0.438333333333334
"Zulu","Venda",0.458333333333333
"Tswana","Venda",0.325
"Ndonga","Venda",0.458333333333333
"Swati","Venda",0.365
"Tsonga","Venda",0.541666666666667
"Venda","Venda",0
"Kongo","Venda",0.470833333333333
"Kikuyu","Venda",0.291666666666666
"Luganda","Venda",0.541666666666667
"Kinyarwanda","Venda",0.458333333333333
"Kirundi","Venda",0.5
"Igbo","Venda",0.458333333333333
"Bambara","Venda",0.458333333333333
"Amharic","Venda",0.575833333333333
"Kanuri","Venda",0.52
"Wolof","Venda",0.375
"Egyptian Arabic","Venda",0.728333333333333
"Kabyle","Venda",0.4975
"Neapolitan","Venda",0.666666666666667
"Spanish","Venda",0.666666666666667
"English","Venda",0.708333333333333
"French","Venda",0.705
"Dutch","Venda",0.833333333333334
"Icelandic","Venda",0.54
"Irish","Venda",0.558333333333333
"Serbian","Venda",0.5
"Russian","Venda",0.628333333333334
"Bashkir","Venda",0.708333333333333
"Chuvash","Venda",0.708333333333333
"Erzya","Venda",0.583333333333333
"Estonian","Venda",0.625
"Gagauz","Venda",0.541666666666667
"Latvian","Venda",0.666666666666667
"Vepsian","Venda",0.458333333333333
"Czech","Venda",0.666666666666667
"Bulgarian","Venda",0.583333333333333
"Lithuanian","Venda",0.616666666666667
"Kalmyk","Venda",0.395833333333333
"Armenian","Venda",0.380833333333333
"Kurdish (Sorani)","Venda",0.541666666666667
"Abkhazian","Venda",0.416666666666667
"Turkish","Venda",0.583333333333333
"Hebrew","Venda",0.708333333333333
"Eastern Punjabi","Venda",0.653333333333334
"Kazakh","Venda",0.375
"Sakha","Venda",0.541666666666667
"Korean","Venda",0.5
"Nuosu","Venda",0.3975
"Japanese","Venda",0.728333333333333
"Tibetan","Venda",0.615833333333333
"Bengali","Venda",0.75
"Kashmiri","Venda",0.569166666666667
"Telugu","Venda",0.681666666666667
"Tamil","Venda",0.711666666666667
