"Var1","Var2","value"
"Herero","Herero",0
"Zulu","Herero",0.555483870967742
"Tswana","Herero",0.612903225806452
"Ndonga","Herero",0.564086021505376
"Swati","Herero",0.51763440860215
"Tsonga","Herero",0.635483870967742
"Venda","Herero",0.529462365591398
"Kongo","Herero",0.61763440860215
"Kikuyu","Herero",0.55741935483871
"Luganda","Herero",0.615483870967742
"Kinyarwanda","Herero",0.566236559139785
"Kirundi","Herero",0.609247311827957
"Igbo","Herero",0.641075268817204
"Bambara","Herero",0.624086021505376
"Amharic","Herero",0.739139784946236
"Kanuri","Herero",0.629032258064516
"Wolof","Herero",0.601290322580645
"Egyptian Arabic","Herero",0.771182795698925
"Kabyle","Herero",0.660430107526882
"Neapolitan","Herero",0.805161290322581
"Spanish","Herero",0.784731182795699
"English","Herero",0.823225806451613
"French","Herero",0.811827956989247
"Dutch","Herero",0.816344086021505
"Icelandic","Herero",0.70258064516129
"Irish","Herero",0.719569892473118
"Serbian","Herero",0.735698924731182
"Russian","Herero",0.756774193548387
"Bashkir","Herero",0.749892473118279
"Chuvash","Herero",0.756989247311828
"Erzya","Herero",0.746021505376344
"Estonian","Herero",0.746666666666666
"Gagauz","Herero",0.740645161290323
"Latvian","Herero",0.748172043010752
"Vepsian","Herero",0.704516129032258
"Czech","Herero",0.744731182795699
"Bulgarian","Herero",0.700860215053764
"Lithuanian","Herero",0.73505376344086
"Kalmyk","Herero",0.588602150537634
"Armenian","Herero",0.688602150537634
"Kurdish (Sorani)","Herero",0.712258064516129
"Abkhazian","Herero",0.636559139784946
"Turkish","Herero",0.72258064516129
"Hebrew","Herero",0.711397849462366
"Eastern Punjabi","Herero",0.750537634408602
"Kazakh","Herero",0.580215053763441
"Sakha","Herero",0.654408602150537
"Korean","Herero",0.739354838709677
"Nuosu","Herero",0.619139784946236
"Japanese","Herero",0.775268817204301
"Tibetan","Herero",0.733763440860215
"Bengali","Herero",0.814193548387097
"Kashmiri","Herero",0.73505376344086
"Telugu","Herero",0.708602150537634
"Tamil","Herero",0.732903225806451
"Malayalam","Herero",0.720860215053763
"Burmese","Herero",0.824086021505376
"Vietnamese","Herero",0.764516129032258
"Khmer","Herero",0.764301075268817
"Malay","Herero",0.723225806451613
"Thai","Herero",0.761290322580645
"Cebuano","Herero",0.775268817204301
"Banyumasan","Herero",0.73505376344086
"Minangkabau","Herero",0.675913978494624
"Chamorro","Herero",0.780860215053763
"Samoan","Herero",0.804946236559139
"Tongan","Herero",0.730322580645161
"Maori","Herero",0.752903225806452
