"","Herero","Zulu","Tswana","Ndonga","Swati","Tsonga","Venda","Kongo","Kikuyu","Luganda","Kinyarwanda","Kirundi","Igbo","Bambara","Amharic","Kanuri","Wolof","Egyptian Arabic","Kabyle","Neapolitan","Spanish","English","French","Dutch","Icelandic","Irish","Serbian","Russian","Bashkir","Chuvash","Erzya","Estonian","Gagauz","Latvian","Vepsian","Czech","Bulgarian","Lithuanian","Kalmyk","Armenian","Kurdish (Sorani)","Abkhazian","Turkish","Hebrew","Eastern Punjabi","Kazakh","Sakha","Korean","Nuosu","Japanese","Tibetan","Bengali","Kashmiri","Telugu","Tamil","Malayalam","Burmese","Vietnamese","Khmer","Malay","Thai","Cebuano","Banyumasan","Minangkabau","Chamorro","Samoan","Tongan","Maori","Hawaiian","Inupiak","Cheyenne","Choctaw","Muscogee","Cherokee","Navajo","Haitian","Aymara","Guarani"
"Herero",0,0.598666666666667,0.528,0.538666666666667,0.442666666666667,0.674666666666667,0.682666666666667,0.724,0.514666666666667,0.624000000000001,0.676,0.737333333333334,0.666666666666667,0.734666666666667,0.710666666666667,0.617333333333334,0.666666666666667,0.808,0.601333333333334,0.833333333333333,0.753333333333334,0.821333333333333,0.812,0.9,0.777333333333333,0.725333333333333,0.752,0.784,0.718666666666667,0.789333333333333,0.832,0.592000000000001,0.806666666666667,0.756,0.766666666666667,0.756,0.753333333333333,0.790666666666667,0.56,0.6,0.728,0.702666666666667,0.653333333333334,0.74,0.769333333333333,0.582666666666667,0.729333333333333,0.818666666666667,0.598666666666667,0.864,0.797333333333333,0.888,0.809333333333333,0.729333333333334,0.782666666666667,0.768,0.793333333333333,0.806666666666667,0.777333333333334,0.717333333333334,0.704,0.757333333333334,0.669333333333334,0.666666666666667,0.789333333333333,0.8,0.812,0.876,0.837333333333333,0.661333333333334,0.618666666666667,0.737333333333334,0.778666666666667,0.749333333333334,0.444,0.805333333333333,0.766666666666667,0.632
"Zulu",0.598666666666667,0,0.276,0.566666666666667,0.436,0.406666666666667,0.581333333333334,0.546666666666667,0.298666666666667,0.290666666666667,0.310666666666667,0.513333333333333,0.432,0.638666666666667,0.549333333333334,0.634666666666667,0.557333333333334,0.728,0.64,0.586666666666667,0.510666666666667,0.508,0.674666666666667,0.728,0.426666666666667,0.565333333333334,0.578666666666667,0.732,0.773333333333333,0.7,0.709333333333333,0.578666666666667,0.721333333333333,0.642666666666667,0.513333333333334,0.573333333333334,0.645333333333334,0.688,0.636000000000001,0.442666666666666,0.646666666666667,0.724,0.641333333333334,0.580000000000001,0.665333333333334,0.710666666666667,0.56,0.577333333333334,0.548,0.68,0.654666666666667,0.658666666666667,0.656,0.552,0.541333333333334,0.577333333333334,0.488,0.569333333333334,0.664,0.678666666666667,0.530666666666667,0.528,0.713333333333334,0.758666666666667,0.544,0.673333333333334,0.658666666666667,0.702666666666667,0.694666666666667,0.690666666666667,0.569333333333334,0.564000000000001,0.584000000000001,0.536,0.512,0.564000000000001,0.513333333333334,0.626666666666667
"Tswana",0.528,0.276,0,0.557333333333334,0.417333333333333,0.568000000000001,0.453333333333333,0.636000000000001,0.176,0.434666666666666,0.501333333333333,0.646666666666667,0.358666666666667,0.704,0.649333333333334,0.653333333333334,0.501333333333333,0.766666666666667,0.668,0.701333333333334,0.617333333333334,0.568000000000001,0.764,0.817333333333333,0.585333333333334,0.644,0.678666666666667,0.649333333333334,0.865333333333333,0.802666666666667,0.865333333333333,0.748,0.646666666666667,0.797333333333333,0.634666666666667,0.658666666666667,0.689333333333334,0.76,0.617333333333334,0.54,0.622666666666667,0.709333333333333,0.614666666666667,0.701333333333334,0.7,0.585333333333334,0.752,0.601333333333334,0.64,0.672,0.724,0.814666666666667,0.768,0.593333333333334,0.641333333333334,0.677333333333334,0.581333333333334,0.778666666666667,0.78,0.782666666666667,0.590666666666667,0.685333333333334,0.646666666666667,0.809333333333333,0.669333333333334,0.834666666666667,0.714666666666667,0.901333333333333,0.842666666666667,0.78,0.613333333333334,0.670666666666667,0.762666666666667,0.713333333333334,0.501333333333333,0.673333333333334,0.634666666666667,0.673333333333334
"Ndonga",0.538666666666667,0.566666666666667,0.557333333333334,0,0.469333333333333,0.566666666666667,0.656,0.533333333333333,0.574666666666667,0.589333333333334,0.593333333333334,0.793333333333333,0.642666666666667,0.513333333333334,0.630666666666667,0.634666666666667,0.522666666666667,0.741333333333334,0.690666666666667,0.789333333333333,0.722666666666667,0.789333333333333,0.78,0.797333333333333,0.701333333333334,0.656,0.781333333333333,0.808,0.849333333333333,0.850666666666667,0.842666666666667,0.657333333333334,0.865333333333334,0.786666666666667,0.656,0.78,0.790666666666667,0.788,0.638666666666667,0.585333333333334,0.592000000000001,0.772,0.788,0.66,0.676,0.646666666666667,0.56,0.72,0.713333333333334,0.830666666666667,0.786666666666667,0.790666666666667,0.729333333333334,0.701333333333334,0.753333333333333,0.673333333333334,0.761333333333334,0.689333333333334,0.690666666666667,0.701333333333334,0.745333333333333,0.596,0.66,0.688,0.778666666666667,0.833333333333333,0.706666666666667,0.766666666666667,0.72,0.766666666666667,0.673333333333334,0.670666666666667,0.722666666666667,0.742666666666667,0.589333333333334,0.833333333333333,0.722666666666667,0.620000000000001
"Swati",0.442666666666667,0.436,0.417333333333333,0.469333333333333,0,0.421333333333333,0.545333333333334,0.542666666666667,0.410666666666667,0.482666666666667,0.509333333333333,0.698666666666667,0.542666666666667,0.637333333333334,0.684,0.642666666666667,0.600000000000001,0.836,0.636000000000001,0.844,0.705333333333334,0.770666666666667,0.821333333333334,0.922666666666666,0.690666666666667,0.742666666666667,0.766666666666667,0.821333333333333,0.809333333333333,0.821333333333333,0.828,0.610666666666667,0.794666666666667,0.757333333333334,0.701333333333334,0.773333333333333,0.837333333333333,0.816,0.516,0.581333333333334,0.745333333333334,0.628,0.710666666666667,0.762666666666667,0.810666666666667,0.649333333333334,0.704,0.776,0.702666666666667,0.830666666666666,0.82,0.909333333333333,0.772,0.746666666666667,0.737333333333334,0.770666666666667,0.742666666666667,0.776,0.8,0.797333333333333,0.784,0.746666666666667,0.661333333333334,0.741333333333334,0.784,0.854666666666667,0.733333333333334,0.88,0.829333333333333,0.74,0.542666666666667,0.669333333333334,0.72,0.646666666666667,0.553333333333334,0.814666666666667,0.769333333333333,0.7
"Tsonga",0.674666666666667,0.406666666666667,0.568000000000001,0.566666666666667,0.421333333333333,0,0.666666666666667,0.354666666666667,0.569333333333334,0.4,0.4,0.600000000000001,0.508,0.644,0.548,0.636,0.533333333333334,0.814666666666667,0.714666666666667,0.733333333333334,0.658666666666667,0.600000000000001,0.709333333333334,0.794666666666667,0.528,0.724,0.798666666666666,0.961333333333333,0.661333333333334,0.725333333333334,0.656,0.589333333333334,0.8,0.662666666666667,0.600000000000001,0.790666666666667,0.730666666666667,0.708,0.7,0.626666666666667,0.665333333333334,0.789333333333333,0.729333333333334,0.666666666666667,0.794666666666667,0.858666666666667,0.462666666666666,0.725333333333334,0.721333333333334,0.790666666666667,0.734666666666667,0.724,0.600000000000001,0.696,0.712,0.602666666666667,0.564000000000001,0.613333333333334,0.725333333333334,0.620000000000001,0.618666666666667,0.610666666666667,0.733333333333334,0.665333333333334,0.568000000000001,0.600000000000001,0.576000000000001,0.666666666666667,0.613333333333334,0.666666666666667,0.658666666666667,0.530666666666667,0.593333333333334,0.448,0.666666666666667,0.844,0.666666666666667,0.714666666666667
"Venda",0.682666666666667,0.581333333333334,0.453333333333333,0.656,0.545333333333334,0.666666666666667,0,0.670666666666667,0.396,0.733333333333334,0.600000000000001,0.733333333333334,0.588000000000001,0.648000000000001,0.770666666666667,0.754666666666667,0.600000000000001,0.926666666666666,0.766666666666667,0.866666666666667,0.793333333333333,0.8,0.854666666666667,0.925333333333333,0.716,0.777333333333334,0.730666666666667,0.825333333333333,0.929333333333333,0.862666666666667,0.798666666666666,0.861333333333334,0.733333333333334,0.929333333333333,0.666666666666667,0.796,0.8,0.786666666666667,0.670666666666667,0.612000000000001,0.656,0.725333333333334,0.728,0.866666666666667,0.849333333333333,0.657333333333334,0.788,0.728,0.613333333333334,0.853333333333334,0.78,0.927999999999999,0.733333333333334,0.772,0.824,0.809333333333333,0.790666666666667,0.776,0.822666666666667,0.826666666666667,0.833333333333333,0.752,0.8,0.850666666666667,0.901333333333333,1,0.917333333333333,0.933333333333332,0.970666666666666,0.933333333333332,0.613333333333334,0.777333333333333,0.798666666666666,0.778666666666667,0.666666666666667,0.838666666666667,0.8,0.764
"Kongo",0.724,0.546666666666667,0.636000000000001,0.533333333333333,0.542666666666667,0.354666666666667,0.670666666666667,0,0.614666666666667,0.6,0.513333333333333,0.704,0.670666666666667,0.573333333333334,0.685333333333334,0.716,0.689333333333334,0.841333333333333,0.777333333333333,0.774666666666667,0.752,0.753333333333333,0.792,0.873333333333333,0.677333333333334,0.750666666666667,0.761333333333333,0.927999999999999,0.818666666666667,0.8,0.808,0.733333333333334,0.838666666666667,0.817333333333333,0.693333333333334,0.786666666666667,0.749333333333333,0.757333333333333,0.76,0.664,0.722666666666667,0.797333333333333,0.816,0.753333333333333,0.853333333333333,0.798666666666667,0.646666666666667,0.676,0.678666666666667,0.902666666666666,0.745333333333334,0.825333333333333,0.730666666666667,0.754666666666667,0.781333333333334,0.664,0.730666666666667,0.654666666666667,0.7,0.736,0.725333333333333,0.636000000000001,0.765333333333333,0.756,0.752,0.729333333333333,0.649333333333334,0.673333333333334,0.646666666666667,0.677333333333334,0.792,0.629333333333334,0.641333333333334,0.64,0.732,0.869333333333333,0.761333333333334,0.754666666666667
"Kikuyu",0.514666666666667,0.298666666666667,0.176,0.574666666666667,0.410666666666667,0.569333333333334,0.396,0.614666666666667,0,0.522666666666667,0.516,0.582666666666667,0.450666666666666,0.714666666666667,0.664,0.594666666666667,0.589333333333334,0.709333333333334,0.662666666666667,0.789333333333333,0.625333333333334,0.722666666666667,0.8,0.838666666666667,0.62,0.678666666666667,0.690666666666667,0.730666666666667,0.897333333333333,0.906666666666666,0.918666666666666,0.756,0.733333333333334,0.832,0.729333333333334,0.698666666666667,0.785333333333333,0.797333333333333,0.613333333333334,0.528,0.614666666666667,0.674666666666667,0.618666666666667,0.649333333333334,0.704,0.632000000000001,0.741333333333334,0.705333333333334,0.617333333333334,0.753333333333334,0.74,0.836,0.729333333333334,0.68,0.654666666666667,0.696,0.68,0.793333333333333,0.793333333333333,0.785333333333333,0.745333333333333,0.656,0.582666666666667,0.790666666666667,0.750666666666667,0.836,0.736,0.902666666666666,0.84,0.836,0.596000000000001,0.672,0.724,0.694666666666667,0.522666666666667,0.761333333333334,0.729333333333334,0.672
"Luganda",0.624000000000001,0.290666666666667,0.434666666666666,0.589333333333334,0.482666666666667,0.4,0.733333333333334,0.6,0.522666666666667,0,0.333333333333333,0.466666666666666,0.508,0.722666666666667,0.524,0.674666666666667,0.466666666666666,0.614666666666667,0.782666666666667,0.533333333333334,0.458666666666666,0.4,0.620000000000001,0.661333333333334,0.406666666666667,0.561333333333334,0.598666666666667,0.756,0.724,0.658666666666667,0.585333333333334,0.456,0.666666666666667,0.524,0.4,0.640000000000001,0.588000000000001,0.621333333333334,0.736,0.613333333333334,0.665333333333334,0.733333333333334,0.729333333333334,0.466666666666666,0.616000000000001,0.658666666666667,0.596000000000001,0.458666666666666,0.654666666666667,0.637333333333334,0.584000000000001,0.590666666666667,0.533333333333334,0.362666666666667,0.437333333333333,0.497333333333334,0.310666666666667,0.544,0.685333333333334,0.621333333333334,0.429333333333333,0.589333333333334,0.8,0.645333333333334,0.501333333333333,0.666666666666667,0.613333333333334,0.733333333333334,0.742666666666667,0.733333333333334,0.725333333333334,0.598666666666667,0.66,0.562666666666667,0.600000000000001,0.510666666666667,0.466666666666666,0.697333333333334
