"Var1","Var2","value"
"Herero","Herero",0
"Zulu","Herero",0.607142857142857
"Tswana","Herero",0.714285714285714
"Ndonga","Herero",0.607142857142857
"Swati","Herero",0.607142857142857
"Tsonga","Herero",0.678571428571429
"Venda","Herero",0.571428571428571
"Kongo","Herero",0.535714285714286
"Kikuyu","Herero",0.678571428571429
"Luganda","Herero",0.607142857142857
"Kinyarwanda","Herero",0.571428571428571
"Kirundi","Herero",0.607142857142857
"Igbo","Herero",0.642857142857143
"Bambara","Herero",0.535714285714286
"Amharic","Herero",0.821428571428571
"Kanuri","Herero",0.678571428571429
"Wolof","Herero",0.5
"Egyptian Arabic","Herero",0.678571428571429
"Kabyle","Herero",0.678571428571429
"Neapolitan","Herero",0.857142857142857
"Spanish","Herero",0.785714285714286
"English","Herero",0.821428571428571
"French","Herero",0.821428571428571
"Dutch","Herero",0.75
"Icelandic","Herero",0.642857142857143
"Irish","Herero",0.714285714285714
"Serbian","Herero",0.678571428571429
"Russian","Herero",0.821428571428571
"Bashkir","Herero",0.75
"Chuvash","Herero",0.75
"Erzya","Herero",0.714285714285714
"Estonian","Herero",0.821428571428571
"Gagauz","Herero",0.785714285714286
"Latvian","Herero",0.642857142857143
"Vepsian","Herero",0.75
"Czech","Herero",0.714285714285714
"Bulgarian","Herero",0.678571428571429
"Lithuanian","Herero",0.678571428571429
"Kalmyk","Herero",0.714285714285714
"Armenian","Herero",0.821428571428571
"Kurdish (Sorani)","Herero",0.75
"Abkhazian","Herero",0.714285714285714
"Turkish","Herero",0.714285714285714
"Hebrew","Herero",0.678571428571429
"Eastern Punjabi","Herero",0.785714285714286
"Kazakh","Herero",0.642857142857143
"Sakha","Herero",0.714285714285714
"Korean","Herero",0.714285714285714
"Nuosu","Herero",0.642857142857143
"Japanese","Herero",0.678571428571429
"Tibetan","Herero",0.75
"Bengali","Herero",0.785714285714286
"Kashmiri","Herero",0.642857142857143
"Telugu","Herero",0.535714285714286
"Tamil","Herero",0.607142857142857
"Malayalam","Herero",0.607142857142857
"Burmese","Herero",0.857142857142857
"Vietnamese","Herero",0.678571428571429
"Khmer","Herero",0.785714285714286
"Malay","Herero",0.714285714285714
"Thai","Herero",0.821428571428571
"Cebuano","Herero",0.785714285714286
"Banyumasan","Herero",0.892857142857143
"Minangkabau","Herero",0.642857142857143
"Chamorro","Herero",0.785714285714286
"Samoan","Herero",0.785714285714286
"Tongan","Herero",0.678571428571429
"Maori","Herero",0.678571428571429
"Hawaiian","Herero",0.821428571428571
"Cheyenne","Herero",0.821428571428571
"Choctaw","Herero",0.821428571428571
"Muscogee","Herero",0.75
"Cherokee","Herero",0.642857142857143
"Navajo","Herero",0.714285714285714
"Haitian","Herero",0.821428571428571
"Aymara","Herero",0.714285714285714
"Guarani","Herero",0.785714285714286
"Herero","Zulu",0.607142857142857
"Zulu","Zulu",0
"Tswana","Zulu",0.571428571428571
"Ndonga","Zulu",0.714285714285714
"Swati","Zulu",0.321428571428571
"Tsonga","Zulu",0.321428571428571
"Venda","Zulu",0.5
