"","Herero","Zulu","Tswana","Ndonga","Swati","Tsonga","Venda","Kongo","Kikuyu","Luganda","Kinyarwanda","Kirundi","Igbo","Bambara","Amharic","Kanuri","Wolof","Egyptian Arabic","Kabyle","Neapolitan","Spanish","English","French","Dutch","Icelandic","Irish","Serbian","Russian","Bashkir","Chuvash","Erzya","Estonian","Gagauz","Latvian","Vepsian","Czech","Bulgarian","Lithuanian","Kalmyk","Armenian","Kurdish (Sorani)","Abkhazian","Turkish","Hebrew","Eastern Punjabi","Kazakh","Sakha","Korean","Nuosu","Japanese","Tibetan","Bengali","Kashmiri","Telugu","Tamil","Malayalam","Burmese","Vietnamese","Khmer","Malay","Thai","Cebuano","Banyumasan","Minangkabau","Chamorro","Samoan","Tongan","Maori","Hawaiian","Inupiak","Cheyenne","Choctaw","Muscogee","Cherokee","Navajo","Haitian","Aymara","Guarani"
"Herero",0,0.498636363636364,0.506818181818182,0.453181818181818,0.425909090909091,0.545909090909091,0.418181818181818,0.510909090909091,0.420909090909091,0.588181818181818,0.567727272727273,0.653181818181818,0.57,0.621818181818182,0.69,0.541363636363636,0.602727272727272,0.782727272727273,0.577727272727272,0.724090909090909,0.704545454545454,0.766363636363637,0.742272727272727,0.811818181818182,0.655454545454545,0.648181818181818,0.671363636363637,0.664545454545455,0.717727272727273,0.735454545454545,0.706363636363636,0.655909090909091,0.669090909090909,0.723181818181818,0.651363636363637,0.698181818181818,0.664545454545455,0.720454545454545,0.428181818181818,0.539545454545454,0.654090909090909,0.500454545454545,0.698636363636364,0.72090909090909,0.743181818181818,0.451363636363636,0.568636363636364,0.690454545454546,0.533636363636364,0.771818181818182,0.727727272727273,0.834545454545455,0.709545454545454,0.751363636363636,0.786818181818182,0.713636363636363,0.755909090909091,0.753181818181818,0.670454545454546,0.673636363636364,0.659545454545454,0.697727272727273,0.643636363636364,0.609090909090909,0.715,0.756818181818182,0.728636363636364,0.770909090909091,0.685454545454545,0.456363636363636,0.485909090909091,0.655909090909091,0.719090909090909,0.65,0.442727272727273,0.691363636363636,0.690454545454546,0.596363636363636
"Zulu",0.498636363636364,0,0.167272727272727,0.427272727272727,0.22,0.265909090909091,0.424090909090909,0.413181818181818,0.248181818181818,0.352727272727273,0.355454545454545,0.444545454545454,0.385,0.544545454545455,0.58,0.531818181818182,0.557272727272727,0.666363636363636,0.501818181818182,0.513181818181818,0.493181818181818,0.557272727272727,0.550909090909091,0.648181818181818,0.432727272727273,0.368636363636364,0.426363636363637,0.595909090909091,0.560454545454545,0.655909090909091,0.61,0.513636363636364,0.610909090909091,0.628181818181818,0.565,0.466363636363636,0.489090909090909,0.477727272727273,0.475,0.415,0.408636363636364,0.652272727272727,0.537272727272728,0.511818181818182,0.564545454545454,0.466363636363636,0.515909090909091,0.489090909090909,0.444545454545454,0.562727272727273,0.514545454545455,0.613181818181818,0.601818181818182,0.541363636363637,0.570454545454545,0.522272727272727,0.592272727272727,0.647272727272727,0.63,0.522272727272727,0.537272727272727,0.503636363636364,0.58,0.627727272727273,0.489090909090909,0.543636363636364,0.506363636363637,0.589090909090909,0.644545454545455,0.634090909090909,0.513636363636364,0.493181818181818,0.498636363636364,0.476818181818182,0.513181818181819,0.599545454545454,0.408636363636364,0.485909090909091
"Tswana",0.506818181818182,0.167272727272727,0,0.460454545454545,0.285454545454545,0.414090909090909,0.418636363636364,0.526363636363637,0.218636363636364,0.438181818181818,0.440454545454546,0.465909090909091,0.371818181818182,0.6,0.604545454545454,0.606818181818182,0.483636363636363,0.678181818181818,0.596363636363636,0.619090909090909,0.575454545454545,0.642727272727273,0.634090909090909,0.71090909090909,0.502727272727273,0.435,0.489090909090909,0.603181818181818,0.645454545454546,0.713636363636363,0.667727272727273,0.598636363636363,0.602272727272727,0.666818181818182,0.621818181818182,0.551818181818182,0.597272727272727,0.562272727272727,0.508636363636364,0.474545454545454,0.463636363636363,0.654545454545455,0.529545454545455,0.597272727272727,0.552727272727273,0.494545454545454,0.641363636363637,0.574545454545454,0.497727272727273,0.557272727272727,0.595909090909091,0.646818181818182,0.638181818181818,0.56,0.583181818181818,0.577727272727273,0.677727272727273,0.732727272727273,0.684090909090909,0.675909090909091,0.657727272727273,0.632272727272727,0.601363636363636,0.749545454545455,0.59,0.666363636363636,0.627727272727273,0.711818181818181,0.724545454545454,0.716363636363636,0.550454545454546,0.591363636363636,0.624090909090909,0.596363636363636,0.545454545454545,0.660454545454546,0.533181818181819,0.516818181818182
"Ndonga",0.453181818181818,0.427272727272727,0.460454545454545,0,0.47,0.308181818181818,0.471363636363636,0.390909090909091,0.520909090909091,0.471818181818181,0.450454545454545,0.609090909090909,0.544090909090909,0.516818181818182,0.559545454545455,0.471818181818182,0.380909090909091,0.649090909090909,0.556363636363636,0.630454545454546,0.634545454545455,0.676363636363637,0.669545454545455,0.699090909090909,0.543181818181818,0.581363636363636,0.702272727272727,0.663181818181818,0.678636363636364,0.769090909090909,0.632727272727273,0.565,0.655454545454546,0.632272727272727,0.61,0.699090909090909,0.630909090909091,0.630454545454545,0.394545454545455,0.544090909090909,0.473636363636363,0.586818181818181,0.699090909090909,0.608181818181818,0.67909090909091,0.494545454545455,0.535454545454546,0.630909090909091,0.556363636363637,0.772727272727273,0.724545454545454,0.771818181818182,0.666363636363637,0.684090909090909,0.735909090909091,0.617272727272727,0.734090909090909,0.655454545454546,0.592727272727273,0.550909090909091,0.610909090909091,0.568181818181818,0.653636363636364,0.508636363636364,0.603636363636363,0.703636363636364,0.640454545454546,0.610909090909091,0.625909090909091,0.634090909090909,0.574090909090909,0.549090909090909,0.572272727272727,0.552272727272727,0.485909090909091,0.716818181818182,0.544545454545455,0.488636363636364
"Swati",0.425909090909091,0.22,0.285454545454545,0.47,0,0.360454545454545,0.330909090909091,0.404545454545455,0.308181818181818,0.483636363636363,0.425909090909091,0.549090909090909,0.47,0.582727272727273,0.632727272727273,0.482727272727273,0.552272727272727,0.743181818181818,0.527272727272727,0.640454545454546,0.600909090909091,0.644545454545455,0.597727272727273,0.716818181818181,0.610454545454545,0.500909090909091,0.530909090909091,0.627727272727273,0.585909090909091,0.662727272727273,0.609545454545455,0.517272727272727,0.610454545454545,0.621818181818182,0.535909090909091,0.572727272727272,0.578636363636363,0.593181818181818,0.422727272727273,0.453181818181818,0.523636363636364,0.542727272727273,0.585,0.62,0.595909090909091,0.514090909090909,0.565,0.555,0.479090909090909,0.620454545454545,0.616818181818182,0.676818181818182,0.550454545454545,0.630454545454545,0.614090909090909,0.6,0.694545454545454,0.688181818181818,0.609545454545455,0.562727272727273,0.613181818181818,0.597727272727273,0.552727272727273,0.664545454545455,0.605909090909091,0.660454545454546,0.587727272727273,0.637727272727273,0.69,0.612727272727273,0.480454545454545,0.53,0.547727272727273,0.515,0.489090909090909,0.706818181818182,0.495454545454545,0.483636363636364
"Tsonga",0.545909090909091,0.265909090909091,0.414090909090909,0.308181818181818,0.360454545454545,0,0.468636363636363,0.396818181818182,0.454545454545454,0.386363636363637,0.340454545454546,0.499090909090909,0.453636363636363,0.54,0.530454545454545,0.466818181818182,0.454545454545454,0.654545454545455,0.531363636363637,0.521363636363637,0.501818181818182,0.522727272727273,0.515454545454545,0.613636363636363,0.466818181818182,0.504090909090909,0.6,0.64,0.545,0.635909090909091,0.567727272727272,0.476363636363636,0.634090909090909,0.590454545454545,0.519545454545455,0.568181818181818,0.522727272727273,0.489090909090909,0.390909090909091,0.513636363636364,0.430454545454546,0.634090909090909,0.634545454545455,0.568181818181818,0.631363636363637,0.568181818181818,0.454545454545454,0.613636363636363,0.56,0.675454545454546,0.639090909090909,0.636363636363637,0.536818181818182,0.571363636363636,0.61,0.535909090909091,0.614090909090909,0.605,0.598181818181818,0.488181818181818,0.458181818181818,0.459090909090909,0.590909090909091,0.480909090909091,0.399545454545455,0.516818181818182,0.452727272727273,0.500909090909091,0.595909090909091,0.522727272727273,0.515454545454546,0.438181818181818,0.423181818181818,0.376363636363636,0.533181818181819,0.720909090909091,0.409090909090909,0.486818181818182
"Venda",0.418181818181818,0.424090909090909,0.418636363636364,0.471363636363636,0.330909090909091,0.468636363636363,0,0.456818181818182,0.338181818181818,0.468181818181818,0.424090909090909,0.492727272727273,0.520454545454546,0.473181818181818,0.578636363636363,0.456818181818182,0.513636363636364,0.706363636363636,0.519090909090909,0.651818181818182,0.632727272727273,0.65,0.631818181818182,0.718181818181818,0.604090909090909,0.522727272727272,0.492727272727273,0.594090909090909,0.676363636363637,0.680000000000001,0.588636363636363,0.628636363636364,0.563181818181818,0.651818181818182,0.474090909090909,0.604545454545454,0.559090909090909,0.623636363636364,0.411818181818182,0.473636363636364,0.542272727272727,0.494545454545454,0.585909090909091,0.604545454545454,0.599090909090909,0.377272727272727,0.582272727272727,0.536363636363637,0.396363636363636,0.660909090909091,0.608636363636364,0.704090909090909,0.531363636363637,0.659545454545455,0.656363636363637,0.64,0.621818181818182,0.613636363636364,0.585454545454545,0.519545454545455,0.656363636363637,0.618636363636364,0.627272727272727,0.579545454545454,0.739090909090909,0.775,0.705909090909091,0.657727272727273,0.700454545454545,0.680000000000001,0.530909090909091,0.677727272727273,0.641818181818182,0.64,0.416818181818182,0.577727272727273,0.658636363636364,0.567727272727273
"Kongo",0.510909090909091,0.413181818181818,0.526363636363637,0.390909090909091,0.404545454545455,0.396818181818182,0.456818181818182,0,0.554090909090909,0.445454545454545,0.459090909090909,0.539545454545455,0.521818181818182,0.473181818181818,0.609545454545455,0.481363636363636,0.512272727272727,0.716818181818182,0.645909090909091,0.621363636363636,0.68,0.689090909090909,0.669090909090909,0.759090909090909,0.605454545454545,0.651363636363636,0.674545454545455,0.812727272727273,0.719545454545454,0.735454545454545,0.693181818181818,0.585454545454545,0.733181818181818,0.685454545454545,0.589545454545454,0.736818181818182,0.638636363636364,0.669545454545455,0.552272727272727,0.658636363636364,0.605,0.585909090909091,0.761363636363636,0.613636363636364,0.784090909090909,0.590454545454545,0.540909090909091,0.500454545454545,0.546818181818182,0.750454545454546,0.684090909090909,0.779545454545455,0.623636363636364,0.752727272727273,0.752727272727273,0.639090909090909,0.681363636363636,0.591363636363636,0.505909090909091,0.512272727272727,0.549545454545454,0.529545454545454,0.703181818181818,0.521818181818182,0.602272727272727,0.587727272727273,0.509545454545455,0.522272727272727,0.534090909090909,0.591818181818182,0.625909090909091,0.508181818181818,0.519090909090909,0.495909090909091,0.548636363636364,0.696363636363636,0.574545454545454,0.500454545454546
"Kikuyu",0.420909090909091,0.248181818181818,0.218636363636364,0.520909090909091,0.308181818181818,0.454545454545454,0.338181818181818,0.554090909090909,0,0.363636363636363,0.408181818181818,0.384090909090909,0.353636363636364,0.542727272727273,0.508181818181818,0.525,0.522727272727273,0.624545454545455,0.459545454545454,0.522272727272728,0.434545454545455,0.522727272727273,0.511818181818182,0.590909090909091,0.543181818181818,0.428636363636364,0.414545454545454,0.47,0.609545454545454,0.604545454545454,0.606818181818181,0.498636363636364,0.421818181818182,0.566818181818181,0.517727272727273,0.409090909090909,0.5,0.530909090909091,0.493181818181818,0.306363636363636,0.435454545454546,0.567727272727272,0.476818181818181,0.5,0.473181818181818,0.477272727272727,0.613636363636363,0.522727272727273,0.399090909090909,0.505454545454545,0.549545454545455,0.590909090909091,0.584545454545454,0.462272727272727,0.527272727272727,0.500909090909091,0.603181818181818,0.658181818181819,0.655,0.601363636363636,0.560454545454545,0.532272727272727,0.522727272727273,0.627727272727273,0.552272727272727,0.636363636363637,0.593636363636363,0.75,0.696818181818181,0.640909090909091,0.509545454545455,0.596363636363636,0.641818181818182,0.631818181818182,0.469545454545454,0.559545454545455,0.477272727272727,0.574090909090909
"Luganda",0.588181818181818,0.352727272727273,0.438181818181818,0.471818181818181,0.483636363636363,0.386363636363637,0.468181818181818,0.445454545454545,0.363636363636363,0,0.347272727272727,0.37,0.453636363636363,0.473636363636363,0.389545454545455,0.485909090909091,0.454545454545454,0.518181818181819,0.576818181818181,0.483181818181818,0.439090909090909,0.477272727272727,0.438181818181818,0.590909090909091,0.460454545454545,0.395454545454546,0.510909090909091,0.667272727272727,0.623636363636364,0.587272727272727,0.541818181818182,0.484090909090909,0.541818181818182,0.436363636363637,0.358636363636364,0.522727272727273,0.522727272727273,0.538181818181818,0.540909090909091,0.530909090909091,0.475454545454545,0.604090909090909,0.619545454545454,0.318181818181818,0.524545454545455,0.5,0.590909090909091,0.477272727272727,0.475,0.575909090909091,0.511363636363636,0.545454545454546,0.455909090909091,0.446363636363636,0.503636363636364,0.512272727272727,0.506363636363636,0.560454545454545,0.576363636363636,0.478181818181818,0.502272727272727,0.529090909090909,0.659090909090909,0.521818181818182,0.513636363636364,0.595,0.568636363636363,0.636363636363637,0.605909090909091,0.704545454545454,0.701363636363636,0.65,0.669545454545455,0.645454545454546,0.608636363636363,0.480454545454545,0.5,0.611363636363636
"Kinyarwanda",0.567727272727273,0.355454545454545,0.440454545454546,0.450454545454545,0.425909090909091,0.340454545454546,0.424090909090909,0.459090909090909,0.408181818181818,0.347272727272727,0,0.280909090909091,0.499090909090909,0.543636363636364,0.341818181818182,0.411818181818182,0.415454545454545,0.524545454545455,0.388181818181818,0.51,0.44,0.506363636363636,0.532727272727273,0.574545454545454,0.461818181818182,0.472727272727273,0.504545454545454,0.662727272727273,0.555,0.656818181818182,0.497272727272727,0.441363636363637,0.541363636363637,0.532272727272728,0.495909090909091,0.506363636363636,0.46090909090909,0.464545454545454,0.549545454545455,0.447727272727273,0.502272727272727,0.538181818181819,0.578181818181818,0.506363636363636,0.539090909090909,0.597272727272727,0.499545454545455,0.483636363636363,0.468181818181818,0.602727272727272,0.521818181818182,0.588181818181818,0.482272727272727,0.446818181818182,0.525909090909091,0.516818181818182,0.495909090909091,0.527727272727273,0.495,0.406363636363636,0.509090909090909,0.482727272727273,0.62,0.577272727272727,0.559090909090909,0.637272727272727,0.593636363636363,0.589545454545454,0.689090909090909,0.658181818181818,0.626818181818182,0.567272727272727,0.570909090909091,0.568181818181818,0.459090909090909,0.574090909090909,0.451818181818182,0.554090909090909
"Kirundi",0.653181818181818,0.444545454545454,0.465909090909091,0.609090909090909,0.549090909090909,0.499090909090909,0.492727272727273,0.539545454545455,0.384090909090909,0.37,0.280909090909091,0,0.56590909090909,0.499090909090909,0.371818181818182,0.504545454545455,0.506363636363636,0.516818181818182,0.544545454545455,0.485909090909091,0.484090909090909,0.483636363636363,0.497727272727273,0.551818181818182,0.512727272727273,0.502272727272727,0.443636363636364,0.645,0.624545454545455,0.678181818181819,0.586818181818181,0.442727272727273,0.474090909090909,0.53,0.586363636363636,0.506363636363636,0.460909090909091,0.471363636363636,0.618181818181818,0.571818181818182,0.522727272727273,0.606363636363636,0.623181818181818,0.438181818181818,0.531818181818182,0.574545454545454,0.59,0.37,0.512272727272727,0.54,0.455,0.544545454545455,0.529545454545455,0.470454545454545,0.525,0.444545454545454,0.500909090909091,0.520909090909091,0.566363636363637,0.466363636363636,0.525909090909091,0.569090909090909,0.642727272727273,0.586363636363636,0.513181818181818,0.611818181818182,0.579090909090909,0.702727272727272,0.650454545454546,0.680454545454546,0.695454545454545,0.688636363636363,0.686363636363637,0.678181818181818,0.626363636363636,0.594545454545454,0.453636363636363,0.726363636363636
"Igbo",0.57,0.385,0.371818181818182,0.544090909090909,0.47,0.453636363636363,0.520454545454546,0.521818181818182,0.353636363636364,0.453636363636363,0.499090909090909,0.56590909090909,0,0.699090909090909,0.552727272727273,0.579090909090909,0.499090909090909,0.608181818181818,0.485,0.613636363636363,0.593181818181818,0.635454545454546,0.665454545454545,0.612727272727272,0.524090909090909,0.579090909090909,0.542727272727273,0.552727272727273,0.747272727272727,0.722727272727272,0.7,0.725,0.540909090909091,0.634545454545455,0.678636363636364,0.544545454545455,0.612727272727272,0.645909090909091,0.556363636363636,0.511818181818182,0.525909090909091,0.611363636363636,0.430909090909091,0.612727272727272,0.562272727272727,0.544545454545455,0.703636363636363,0.59,0.411818181818182,0.538181818181819,0.624545454545455,0.612727272727273,0.628636363636364,0.575909090909091,0.529090909090909,0.664090909090909,0.545,0.596818181818182,0.580909090909091,0.579545454545454,0.583181818181818,0.55,0.453636363636363,0.590454545454545,0.415909090909091,0.473181818181818,0.475,0.584545454545454,0.605,0.740909090909091,0.570454545454545,0.585909090909091,0.615909090909091,0.629545454545454,0.518181818181818,0.470454545454545,0.567272727272727,0.519545454545455
"Bambara",0.621818181818182,0.544545454545455,0.6,0.516818181818182,0.582727272727273,0.54,0.473181818181818,0.473181818181818,0.542727272727273,0.473636363636363,0.543636363636364,0.499090909090909,0.699090909090909,0,0.415909090909091,0.384545454545455,0.428181818181818,0.597727272727272,0.581818181818182,0.588636363636363,0.586818181818181,0.678181818181819,0.562727272727272,0.723636363636363,0.6,0.610909090909091,0.646363636363637,0.751818181818182,0.634090909090909,0.655,0.610909090909091,0.520909090909091,0.655909090909091,0.518636363636364,0.495,0.700909090909091,0.61,0.581818181818182,0.631818181818182,0.611818181818182,0.583636363636363,0.582727272727272,0.746363636363636,0.473636363636363,0.644545454545455,0.632727272727273,0.517272727272728,0.519090909090909,0.648181818181818,0.708636363636363,0.642727272727273,0.635,0.51,0.616363636363636,0.624090909090909,0.602272727272727,0.616363636363636,0.569090909090909,0.615,0.543181818181818,0.577727272727272,0.563636363636364,0.723636363636363,0.540909090909091,0.675454545454546,0.750909090909091,0.620454545454545,0.650454545454546,0.613181818181818,0.701818181818182,0.734090909090909,0.700909090909091,0.646818181818182,0.674545454545455,0.583181818181818,0.583181818181818,0.635,0.641818181818182
"Amharic",0.69,0.58,0.604545454545454,0.559545454545455,0.632727272727273,0.530454545454545,0.578636363636363,0.609545454545455,0.508181818181818,0.389545454545455,0.341818181818182,0.371818181818182,0.552727272727273,0.415909090909091,0,0.404090909090909,0.273181818181818,0.350454545454546,0.425909090909091,0.417272727272727,0.357272727272727,0.412272727272727,0.419545454545454,0.433636363636364,0.488636363636364,0.469545454545454,0.466818181818182,0.591363636363636,0.613636363636363,0.597727272727272,0.507727272727273,0.382727272727273,0.528181818181818,0.381363636363636,0.457272727272727,0.468636363636364,0.445909090909091,0.395,0.613636363636364,0.459545454545454,0.418636363636364,0.515454545454545,0.564090909090909,0.389545454545455,0.420909090909091,0.649090909090909,0.553181818181818,0.423181818181818,0.487727272727273,0.543181818181818,0.442727272727273,0.405454545454546,0.352272727272727,0.289090909090909,0.370454545454545,0.364545454545455,0.441818181818182,0.429090909090909,0.515,0.457727272727273,0.465909090909091,0.509545454545455,0.629090909090909,0.473181818181818,0.565909090909091,0.684090909090909,0.637272727272727,0.650454545454546,0.694090909090909,0.782727272727273,0.787272727272727,0.699545454545454,0.692727272727273,0.688636363636364,0.57,0.457272727272727,0.428636363636364,0.614545454545455
"Kanuri",0.541363636363636,0.531818181818182,0.606818181818182,0.471818181818182,0.482727272727273,0.466818181818182,0.456818181818182,0.481363636363636,0.525,0.485909090909091,0.411818181818182,0.504545454545455,0.579090909090909,0.384545454545455,0.404090909090909,0,0.374090909090909,0.530909090909091,0.429090909090909,0.483636363636364,0.538181818181818,0.565454545454545,0.535909090909091,0.614090909090909,0.509090909090909,0.596363636363636,0.532727272727273,0.716363636363636,0.628181818181818,0.703636363636364,0.557272727272727,0.484545454545454,0.645909090909091,0.531818181818182,0.541363636363636,0.588636363636363,0.41,0.486363636363636,0.514545454545455,0.452272727272727,0.470454545454545,0.467727272727273,0.619090909090909,0.553636363636364,0.581363636363636,0.59,0.518636363636364,0.49,0.474545454545454,0.681363636363636,0.531818181818182,0.63,0.487272727272727,0.582272727272727,0.594090909090909,0.549090909090909,0.62,0.577727272727273,0.488181818181818,0.421363636363636,0.515909090909091,0.49,0.649090909090909,0.502727272727273,0.565909090909091,0.685454545454545,0.654545454545455,0.642727272727273,0.663181818181818,0.651818181818182,0.654090909090909,0.618636363636364,0.609090909090909,0.591363636363636,0.520454545454546,0.598636363636364,0.485,0.539545454545455
"Wolof",0.602727272727272,0.557272727272727,0.483636363636363,0.380909090909091,0.552272727272727,0.454545454545454,0.513636363636364,0.512272727272727,0.522727272727273,0.454545454545454,0.415454545454545,0.506363636363636,0.499090909090909,0.428181818181818,0.273181818181818,0.374090909090909,0,0.359090909090909,0.499090909090909,0.551363636363637,0.456818181818182,0.522727272727273,0.566363636363636,0.568181818181818,0.514545454545455,0.594090909090909,0.594090909090909,0.661818181818182,0.669090909090909,0.700909090909091,0.61,0.484090909090909,0.61,0.481818181818182,0.563181818181818,0.613636363636363,0.522727272727273,0.525454545454546,0.574090909090909,0.515909090909091,0.471363636363636,0.445,0.574090909090909,0.568181818181818,0.57,0.613636363636363,0.568181818181818,0.545454545454546,0.58090909090909,0.621363636363636,0.587727272727272,0.545454545454546,0.387727272727273,0.47,0.482272727272727,0.478181818181818,0.551818181818182,0.5,0.519090909090909,0.524090909090909,0.527727272727273,0.551363636363636,0.681818181818182,0.571818181818182,0.581818181818181,0.717727272727272,0.640454545454546,0.66,0.731818181818182,0.772727272727273,0.714090909090909,0.668636363636364,0.672727272727273,0.667727272727273,0.532727272727273,0.571363636363636,0.5,0.537272727272728
"Egyptian Arabic",0.782727272727273,0.666363636363636,0.678181818181818,0.649090909090909,0.743181818181818,0.654545454545455,0.706363636363636,0.716818181818182,0.624545454545455,0.518181818181819,0.524545454545455,0.516818181818182,0.608181818181818,0.597727272727272,0.350454545454546,0.530909090909091,0.359090909090909,0,0.420454545454545,0.524090909090909,0.431363636363636,0.469090909090909,0.539090909090909,0.378181818181818,0.615,0.552272727272727,0.472272727272727,0.54,0.729090909090909,0.715454545454545,0.650909090909091,0.525,0.597727272727272,0.386363636363636,0.581363636363636,0.514545454545455,0.472727272727272,0.481363636363636,0.72,0.562727272727273,0.463181818181818,0.617272727272727,0.497727272727273,0.491818181818182,0.497272727272727,0.695,0.654545454545455,0.518181818181819,0.6,0.567727272727273,0.448636363636363,0.355454545454546,0.359090909090909,0.347272727272727,0.304545454545455,0.337272727272727,0.384545454545455,0.412272727272727,0.518181818181818,0.496363636363636,0.525454545454546,0.558181818181818,0.601363636363636,0.506818181818182,0.556818181818182,0.664090909090909,0.689545454545454,0.814545454545455,0.716363636363636,0.874090909090909,0.893181818181818,0.819090909090909,0.85,0.841363636363637,0.664545454545455,0.482272727272727,0.563636363636363,0.785454545454546
"Kabyle",0.577727272727272,0.501818181818182,0.596363636363636,0.556363636363636,0.527272727272727,0.531363636363637,0.519090909090909,0.645909090909091,0.459545454545454,0.576818181818181,0.388181818181818,0.544545454545455,0.485,0.581818181818182,0.425909090909091,0.429090909090909,0.499090909090909,0.420454545454545,0,0.552272727272727,0.465,0.596818181818182,0.54,0.545454545454546,0.584545454545454,0.543181818181818,0.452727272727273,0.530909090909091,0.641363636363637,0.667727272727273,0.534090909090909,0.507272727272727,0.523636363636364,0.439545454545455,0.576818181818181,0.417272727272727,0.443636363636364,0.490454545454545,0.548636363636364,0.317272727272727,0.491818181818182,0.548636363636364,0.481363636363636,0.613636363636364,0.562727272727273,0.614090909090909,0.525454545454546,0.544545454545455,0.457272727272727,0.638181818181818,0.507272727272727,0.583181818181818,0.555454545454545,0.503181818181818,0.512272727272727,0.564545454545454,0.586363636363636,0.561363636363636,0.509090909090909,0.443636363636364,0.565,0.473181818181818,0.545909090909091,0.503636363636364,0.551363636363636,0.701363636363636,0.687272727272727,0.714545454545454,0.7,0.758636363636364,0.636363636363637,0.644545454545455,0.625909090909091,0.652727272727273,0.426363636363636,0.528181818181818,0.534545454545455,0.623636363636364
"Neapolitan",0.724090909090909,0.513181818181818,0.619090909090909,0.630454545454546,0.640454545454546,0.521363636363637,0.651818181818182,0.621363636363636,0.522272727272728,0.483181818181818,0.51,0.485909090909091,0.613636363636363,0.588636363636363,0.417272727272727,0.483636363636364,0.551363636363637,0.524090909090909,0.552272727272727,0,0.24,0.255909090909091,0.305,0.324090909090909,0.525,0.426363636363637,0.397727272727273,0.581818181818182,0.557272727272727,0.585909090909091,0.518181818181819,0.350909090909091,0.587272727272727,0.486363636363636,0.563181818181818,0.324090909090909,0.278636363636364,0.361363636363636,0.621363636363636,0.434545454545455,0.426363636363637,0.513181818181818,0.531818181818182,0.551363636363637,0.51,0.642272727272727,0.612272727272727,0.483181818181818,0.514090909090909,0.520454545454546,0.500454545454545,0.496363636363636,0.530909090909091,0.446363636363636,0.511818181818182,0.412272727272727,0.456818181818182,0.47,0.490909090909091,0.451818181818182,0.330909090909091,0.371818181818182,0.505909090909091,0.515454545454545,0.452727272727273,0.531363636363636,0.557272727272727,0.659545454545455,0.695909090909091,0.636363636363637,0.719545454545454,0.627727272727273,0.625909090909091,0.625454545454545,0.645909090909091,0.505454545454545,0.405454545454545,0.597272727272727
