"","Herero","Zulu","Tswana","Ndonga","Swati","Tsonga","Venda","Kongo","Kikuyu","Luganda","Kinyarwanda","Kirundi","Igbo","Bambara","Amharic","Kanuri","Wolof","Egyptian Arabic","Kabyle","Neapolitan","Spanish","English","French","Dutch","Icelandic","Irish","Serbian","Russian","Bashkir","Chuvash","Erzya","Estonian","Gagauz","Latvian","Vepsian","Czech","Bulgarian","Lithuanian","Kalmyk","Armenian","Kurdish (Sorani)","Abkhazian","Turkish","Hebrew","Eastern Punjabi","Kazakh","Sakha","Korean","Nuosu","Japanese","Tibetan","Bengali","Kashmiri","Telugu","Tamil","Malayalam","Burmese","Vietnamese","Khmer","Malay","Thai","Cebuano","Banyumasan","Minangkabau","Chamorro","Samoan","Tongan","Maori","Hawaiian","Inupiak","Cheyenne","Choctaw","Muscogee","Cherokee","Navajo","Haitian","Aymara","Guarani"
"Herero",0,0.883333333333333,0.726666666666666,0.73,0.746666666666667,0.923333333333333,0.89,0.91,0.803333333333333,0.73,0.753333333333333,0.853333333333334,0.896666666666667,0.736666666666667,0.913333333333333,0.86,0.9,0.856666666666667,0.74,0.913333333333333,0.89,0.876666666666667,0.9,0.91,0.91,0.893333333333334,0.886666666666667,0.88,0.693333333333333,0.883333333333334,0.9,0.716666666666667,0.936666666666667,0.89,0.91,0.886666666666667,0.913333333333333,0.883333333333334,0.87,0.896666666666667,0.886666666666667,0.796666666666667,0.72,0.856666666666667,0.87,0.72,0.84,0.88,0.863333333333333,0.903333333333334,0.85,0.87,0.863333333333333,0.873333333333333,0.883333333333334,0.903333333333333,0.87,0.906666666666667,0.72,0.716666666666667,0.89,0.873333333333334,0.85,0.546666666666667,0.906666666666667,0.916666666666667,0.836666666666666,0.936666666666667,0.88,0.906666666666667,0.916666666666667,0.85,0.843333333333333,0.906666666666667,0.836666666666666,0.756666666666666,0.923333333333333,0.883333333333333
"Zulu",0.883333333333333,0,0.763333333333333,0.833333333333333,0.89,0.84,0.926666666666667,0.813333333333333,0.72,0.61,0.66,0.666666666666667,0.63,0.913333333333333,0.89,0.94,0.886666666666667,0.776666666666667,0.94,0.79,0.77,0.726666666666666,0.753333333333333,0.8,0.746666666666667,0.776666666666667,0.773333333333334,0.76,0.903333333333333,0.72,0.743333333333334,0.746666666666667,0.766666666666666,0.753333333333333,0.743333333333333,0.75,0.773333333333333,0.78,0.696666666666667,0.71,0.943333333333333,0.786666666666667,0.93,0.776666666666667,0.746666666666667,0.936666666666667,0.54,0.593333333333334,0.706666666666667,0.656666666666667,0.6,0.78,0.966666666666667,0.763333333333333,0.763333333333333,0.786666666666667,0.59,0.546666666666667,0.75,0.78,0.486666666666667,0.786666666666667,0.766666666666667,0.91,0.766666666666667,0.733333333333334,0.93,0.573333333333333,0.776666666666667,0.71,0.76,0.72,0.676666666666667,0.663333333333333,0.596666666666667,0.793333333333333,0.776666666666667,0.706666666666667
"Tswana",0.726666666666666,0.763333333333333,0,0.96,0.956666666666667,0.863333333333334,0.833333333333334,0.98,0.64,0.833333333333334,0.833333333333334,1,0.81,0.81,0.833333333333334,0.83,0.666666666666667,0.833333333333334,0.776666666666667,0.656666666666667,0.79,0.483333333333333,0.746666666666667,0.776666666666666,0.73,0.746666666666667,0.776666666666667,0.553333333333333,0.72,0.576666666666667,0.723333333333333,0.766666666666667,0.66,0.733333333333333,0.653333333333334,0.716666666666667,0.636666666666667,0.713333333333333,0.823333333333334,0.793333333333334,0.803333333333333,0.75,0.783333333333333,0.833333333333334,0.77,0.63,0.96,0.75,0.966666666666667,0.833333333333334,0.893333333333333,0.933333333333333,0.833333333333334,0.78,0.836666666666667,0.783333333333333,0.753333333333333,1,0.776666666666667,0.793333333333333,0.666666666666667,0.78,1,0.8,0.666666666666667,1,0.833333333333334,1,0.91,0.833333333333334,1,0.913333333333333,0.986666666666667,0.95,0.833333333333334,0.5,0.666666666666667,0.903333333333333
"Ndonga",0.73,0.833333333333333,0.96,0,0.393333333333333,0.56,0.783333333333333,0.47,0.913333333333334,0.533333333333333,0.876666666666667,0.876666666666667,0.833333333333333,0.76,0.803333333333333,0.953333333333334,0.793333333333333,0.97,0.77,0.93,0.96,0.926666666666667,0.926666666666667,0.946666666666667,0.926666666666667,0.96,0.94,0.913333333333334,0.91,0.94,0.883333333333333,0.766666666666667,0.96,0.926666666666667,0.933333333333333,0.913333333333333,0.963333333333334,0.926666666666667,0.856666666666667,0.9,0.966666666666667,0.886666666666667,0.956666666666667,0.97,0.92,0.603333333333334,0.876666666666667,0.943333333333333,0.713333333333333,0.71,0.923333333333333,0.89,0.976666666666667,0.78,0.78,0.78,0.933333333333333,0.96,0.946666666666667,0.953333333333333,0.866666666666667,0.963333333333333,0.793333333333333,0.743333333333333,0.97,0.643333333333333,0.616666666666667,0.893333333333333,0.646666666666667,0.893333333333333,0.96,0.86,0.866666666666667,0.856666666666667,0.95,0.96,0.96,0.88
"Swati",0.746666666666667,0.89,0.956666666666667,0.393333333333333,0,0.523333333333334,0.773333333333333,0.496666666666667,0.936666666666667,0.576666666666667,0.923333333333333,0.943333333333333,0.933333333333333,0.576666666666667,0.726666666666667,0.943333333333333,0.743333333333333,0.943333333333333,0.76,0.943333333333333,0.943333333333333,0.923333333333334,0.913333333333333,0.94,0.933333333333333,0.93,0.936666666666667,0.92,0.89,0.946666666666667,0.896666666666667,0.73,0.956666666666667,0.903333333333333,0.93,0.923333333333333,0.94,0.923333333333333,0.796666666666667,0.906666666666667,0.94,0.866666666666667,0.936666666666667,0.943333333333333,0.893333333333333,0.616666666666667,0.91,0.793333333333334,0.57,0.773333333333333,0.76,0.74,0.966666666666667,0.606666666666667,0.72,0.726666666666667,0.78,0.726666666666667,0.766666666666667,0.916666666666667,0.956666666666667,0.96,0.61,0.73,0.94,0.703333333333333,0.46,0.766666666666667,0.516666666666666,0.75,0.756666666666667,0.866666666666667,0.95,0.836666666666667,0.793333333333333,0.973333333333333,0.956666666666667,0.843333333333333
"Tsonga",0.923333333333333,0.84,0.863333333333334,0.56,0.523333333333334,0,0.833333333333334,0.226666666666667,0.923333333333334,0.65,0.983333333333333,0.983333333333333,0.92,0.763333333333333,0.53,0.84,0.53,0.863333333333334,0.663333333333334,0.833333333333333,0.843333333333334,0.83,0.81,0.816666666666667,0.8,0.853333333333333,0.86,0.816666666666667,0.816666666666666,0.836666666666667,0.793333333333333,0.806666666666667,0.84,0.826666666666667,0.836666666666667,0.816666666666667,0.856666666666667,0.82,0.833333333333333,0.673333333333333,0.86,0.806666666666667,0.853333333333333,0.863333333333334,0.813333333333333,0.676666666666667,0.823333333333334,0.966666666666667,0.643333333333334,0.816666666666667,0.97,0.9,0.863333333333334,0.793333333333333,0.696666666666667,0.52,0.983333333333333,0.82,0.973333333333333,0.84,0.983333333333333,0.856666666666667,0.82,0.763333333333333,0.863333333333334,0.483333333333333,0.653333333333334,0.82,0.563333333333333,0.82,0.986666666666667,0.833333333333333,0.966666666666667,0.826666666666667,0.986666666666667,0.863333333333334,0.863333333333334,0.83
"Venda",0.89,0.926666666666667,0.833333333333334,0.783333333333333,0.773333333333333,0.833333333333334,0,0.803333333333334,0.656666666666667,0.833333333333334,0.833333333333334,1,0.97,0.786666666666666,0.833333333333334,0.976666666666667,0.833333333333334,1,0.79,0.97,0.983333333333333,0.966666666666667,0.97,0.946666666666667,0.966666666666667,0.98,0.993333333333333,0.946666666666667,0.956666666666667,0.983333333333333,0.786666666666667,0.956666666666667,0.976666666666667,0.963333333333333,0.806666666666667,0.966666666666667,1,0.956666666666667,0.88,0.98,0.973333333333333,0.95,0.986666666666667,1,0.933333333333334,0.81,0.803333333333333,0.986666666666667,0.82,0.833333333333334,0.986666666666667,0.923333333333334,1,0.813333333333333,0.803333333333334,0.806666666666667,0.993333333333333,1,0.993333333333333,0.983333333333333,1,0.993333333333333,1,0.973333333333333,1,0.833333333333334,0.833333333333334,1,0.806666666666667,1,0.833333333333334,0.946666666666667,0.996666666666667,0.96,1,1,0.833333333333334,0.94
"Kongo",0.91,0.813333333333333,0.98,0.47,0.496666666666667,0.226666666666667,0.803333333333334,0,0.89,0.646666666666667,0.863333333333334,0.86,0.863333333333333,0.706666666666667,0.746666666666667,0.936666666666667,0.746666666666667,0.96,0.766666666666667,0.96,0.95,0.946666666666667,0.94,0.923333333333333,0.913333333333333,0.96,0.96,0.933333333333334,0.936666666666667,0.973333333333334,0.923333333333333,0.926666666666667,0.956666666666667,0.943333333333333,0.953333333333333,0.926666666666667,0.973333333333334,0.936666666666667,0.796666666666667,0.786666666666667,0.946666666666667,0.926666666666667,0.98,0.96,0.926666666666667,0.8,0.806666666666667,0.936666666666667,0.596666666666667,0.713333333333333,0.933333333333334,0.87,0.96,0.753333333333333,0.75,0.603333333333334,0.923333333333334,0.88,0.943333333333334,0.95,0.88,0.953333333333334,0.76,0.876666666666667,0.98,0.48,0.593333333333333,0.79,0.513333333333333,0.78,0.93,0.8,0.843333333333333,0.766666666666667,0.926666666666667,0.99,0.98,0.81
"Kikuyu",0.803333333333333,0.72,0.64,0.913333333333334,0.936666666666667,0.923333333333334,0.656666666666667,0.89,0,0.973333333333333,0.956666666666667,0.79,0.96,0.953333333333333,0.956666666666667,0.806666666666667,0.973333333333333,0.79,0.863333333333333,0.95,0.896666666666667,0.956666666666667,0.91,0.893333333333333,0.903333333333333,0.92,0.893333333333334,0.903333333333333,0.903333333333334,0.896666666666667,0.953333333333333,0.863333333333333,0.993333333333333,0.89,0.963333333333333,0.866666666666667,0.963333333333333,0.906666666666667,0.863333333333334,0.85,0.703333333333333,0.85,0.713333333333334,0.79,0.866666666666667,0.913333333333333,0.686666666666667,0.93,0.83,0.956666666666667,0.886666666666667,0.91,0.823333333333334,0.916666666666667,0.88,0.89,0.92,0.956666666666667,0.896666666666667,0.886666666666667,0.973333333333333,0.636666666666667,0.79,0.843333333333333,0.956666666666667,0.923333333333334,0.806666666666667,0.923333333333334,0.823333333333334,0.923333333333334,0.956666666666667,0.85,0.81,0.86,0.806666666666667,0.973333333333333,0.99,0.85
"Luganda",0.73,0.61,0.833333333333334,0.533333333333333,0.576666666666667,0.65,0.833333333333334,0.646666666666667,0.973333333333333,0,0.666666666666667,0.666666666666667,0.603333333333334,0.973333333333334,0.666666666666667,0.976666666666667,0.5,1,0.803333333333334,0.636666666666667,0.813333333333333,0.633333333333334,0.78,0.786666666666667,0.766666666666666,0.823333333333333,0.83,0.62,0.943333333333334,0.64,0.753333333333333,0.61,0.81,0.783333333333333,0.806666666666667,0.743333333333334,0.803333333333333,0.763333333333333,0.673333333333333,0.81,0.996666666666667,0.803333333333333,0.99,1,0.783333333333333,0.48,0.823333333333334,0.646666666666667,0.656666666666667,0.5,0.776666666666667,0.746666666666666,1,0.473333333333333,0.6,0.59,0.663333333333334,0.666666666666667,0.82,0.976666666666667,0.5,0.78,1,0.8,0.833333333333334,0.5,0.666666666666667,0.833333333333334,0.746666666666667,0.833333333333334,0.833333333333334,0.71,0.65,0.723333333333333,0.666666666666667,0.666666666666667,0.833333333333334,0.713333333333333
