"","Herero","Zulu","Tswana","Ndonga","Swati","Tsonga","Venda","Kongo","Kikuyu","Luganda","Kinyarwanda","Kirundi","Igbo","Bambara","Amharic","Kanuri","Wolof","Egyptian Arabic","Kabyle","Neapolitan","Spanish","English","French","Dutch","Icelandic","Irish","Serbian","Russian","Bashkir","Chuvash","Erzya","Estonian","Gagauz","Latvian","Vepsian","Czech","Bulgarian","Lithuanian","Kalmyk","Armenian","Kurdish (Sorani)","Abkhazian","Turkish","Hebrew","Eastern Punjabi","Kazakh","Sakha","Korean","Nuosu","Japanese","Tibetan","Bengali","Kashmiri","Telugu","Tamil","Malayalam","Burmese","Vietnamese","Khmer","Malay","Thai","Cebuano","Banyumasan","Minangkabau","Chamorro","Samoan","Tongan","Maori","Hawaiian","Cheyenne","Choctaw","Muscogee","Cherokee","Navajo","Haitian","Aymara","Guarani"
"Herero",0,0.5,0.666666666666667,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.833333333333333,0.5,0.333333333333333,0.5,0.5,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.833333333333333,1,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.5,0.5,0.5,0.833333333333333,0.333333333333333,0.833333333333333,0.5,0.666666666666667,0.333333333333333,0.666666666666667,1,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,1,0.666666666666667,0.666666666666667,0.5,1
"Zulu",0.5,0,0.5,0.5,0.166666666666667,0.333333333333333,0.333333333333333,0.833333333333333,0.5,0.333333333333333,0.166666666666667,0.333333333333333,0.5,0.666666666666667,0.5,0.5,0.5,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.5,0.833333333333333,0.666666666666667,0.666666666666667,0.5,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.5,0.333333333333333,0.666666666666667,0.5,0.666666666666667,0.333333333333333,0.5,0.5,0.666666666666667,0.833333333333333,0.5,0.5,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.5,0.333333333333333,0.5,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0.333333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.5,0.5,0.666666666666667
"Tswana",0.666666666666667,0.5,0,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.666666666666667,0.333333333333333,0.5,0.5,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.166666666666667,0.5,0.5,0.5,0.5,0.5,0.666666666666667,0.5,0.5,0.5,0.333333333333333,0.5,0.5,0.833333333333333,0.5,0.5,0.333333333333333,0.5,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.5,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.5,0.833333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.166666666666667,0.333333333333333,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.166666666666667,0.333333333333333,0.666666666666667
"Ndonga",0.666666666666667,0.5,0.333333333333333,0,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0.666666666666667,0.5,0.5,0.333333333333333,0.333333333333333,0.5,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.166666666666667,0.5,0.5,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.5,0.5,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.666666666666667,0.833333333333333,0.666666666666667,0.166666666666667,0.5,0.166666666666667,0.666666666666667,0.5,0.333333333333333,0.5,0.333333333333333,0.5,0.166666666666667,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0.5,0.333333333333333,0.166666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.333333333333333,0.5,0.5
"Swati",0.333333333333333,0.166666666666667,0.333333333333333,0.333333333333333,0,0.166666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.333333333333333,0.5,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.333333333333333,0.5,0.5,0.5,0.833333333333333,0.5,0.5,0.333333333333333,0.333333333333333,0.666666666666667,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.833333333333333,0.5,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.5,0.333333333333333,0.5,0.333333333333333,0.5,0.333333333333333,0.5,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.166666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.833333333333333,0.5,0.333333333333333,0.333333333333333,0.666666666666667
"Tsonga",0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.166666666666667,0,0.166666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.166666666666667,0.5,0.166666666666667,0.333333333333333,0.5,0.666666666666667,0.166666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.333333333333333,0.5,0.333333333333333,0.5,0.833333333333333,0.5,0.5,0.333333333333333,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.5,0.833333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.166666666666667,0.5,0.333333333333333,0.333333333333333,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.166666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.5,0.333333333333333,0.666666666666667,0.666666666666667,0.166666666666667,0.333333333333333,0.5
"Venda",0.666666666666667,0.333333333333333,0.5,0.5,0.333333333333333,0.166666666666667,0,0.833333333333333,0.5,0.5,0.333333333333333,0.5,0.333333333333333,0.666666666666667,0.333333333333333,0.5,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.5,0.666666666666667,0.5,0.5,0.833333333333333,0.666666666666667,0.666666666666667,0.5,0.166666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.5,0.333333333333333,0.666666666666667,0.5,0.666666666666667,0.333333333333333,0.5,0.5,0.5,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0.333333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.5,0.5,0.833333333333333,0.333333333333333,0.5,0.5
"Kongo",0.833333333333333,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.833333333333333,0,0.833333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,1,0.833333333333333,1,1,1,1,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.833333333333333,1,0.5,0.833333333333333,0.666666666666667,0.833333333333333,1,0.833333333333333,0.5,0.833333333333333,0.666666666666667,0.833333333333333,0.833333333333333,1,0.5,0.666666666666667,0.833333333333333,1,1,1,0.666666666666667,1,0.666666666666667,1,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.5,1,0.833333333333333,0.833333333333333,1,0.666666666666667,0.666666666666667,0.5,0.666666666666667
"Kikuyu",0.5,0.5,0.333333333333333,0.5,0.333333333333333,0.333333333333333,0.5,0.833333333333333,0,0.5,0.5,0.666666666666667,0.5,0.166666666666667,0.5,0.333333333333333,0.666666666666667,0.5,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.333333333333333,0.666666666666667,0.5,0.666666666666667,0.833333333333333,0.666666666666667,0.5,0.5,0.5,0.666666666666667,0.5,0.333333333333333,0.166666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.5,0.333333333333333,0.5,0.333333333333333,0.666666666666667,0.833333333333333,0.5,0.5,0.666666666666667,0.5,0.5,0.333333333333333,0.5,0.666666666666667,0.5,0.333333333333333,0.5,0.666666666666667,0.333333333333333,0.5,0.5,0.5,0.666666666666667,0.666666666666667,0.333333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.5,0.833333333333333,0.5,0.5,0.333333333333333,0.833333333333333
"Luganda",0.333333333333333,0.333333333333333,0.5,0.5,0.166666666666667,0.333333333333333,0.5,0.666666666666667,0.5,0,0.333333333333333,0.166666666666667,0.333333333333333,0.666666666666667,0.5,0.5,0.666666666666667,0.833333333333333,0.5,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.5,0.5,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,0.5,0.5,0.833333333333333,0.666666666666667,0.333333333333333,0.5,0.333333333333333,0.833333333333333,0.5,0.833333333333333,0.333333333333333,0.5,0.5,0.833333333333333,1,0.666666666666667,0.5,0.833333333333333,0.5,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.5,0.666666666666667,0.5,0.666666666666667,0.333333333333333,0.5,0.5,0.5,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667,1,0.666666666666667,0.5,0.333333333333333,0.833333333333333
"Kinyarwanda",0.5,0.166666666666667,0.5,0.5,0.166666666666667,0.333333333333333,0.333333333333333,0.833333333333333,0.5,0.333333333333333,0,0.166666666666667,0.5,0.666666666666667,0.5,0.5,0.5,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.333333333333333,0.833333333333333,0.666666666666667,0.666666666666667,0.5,0.166666666666667,0.5,0.666666666666667,0.333333333333333,0.5,0.333333333333333,0.666666666666667,0.5,0.666666666666667,0.333333333333333,0.5,0.5,0.666666666666667,0.833333333333333,0.5,0.5,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.5,0.5,0.5,0.666666666666667,0.5,0.5,0.333333333333333,0.5,0.5,0.5,0.333333333333333,0.5,0.333333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.5,0.5,0.5
