"l1","l2","imputed_semantic_domain","local_alignment","comparison_count","cult.dist"
"mhr","da","Possession",-0.304764474128779,1,NA
"mhr","cs","Possession",-0.219995948899694,1,0.480227272727272
"mhr","kn","Agriculture and vegetation",-0.184840457771288,3,NA
"mhr","sah","Possession",-0.160451746439461,1,0.575909090909091
"mhr","mn","Possession",-0.152266191739411,1,NA
"mhr","cv","Possession",-0.149713850018189,1,0.508181818181818
"mhr","bn","Possession",-0.140999980508774,1,0.53
"mhr","te","Possession",-0.111168230066828,1,0.505227272727273
"mhr","zh","The house",-0.100055455294477,1,0.442727272727273
"mrj","mhr","Motion",-0.0999234613787629,1,NA
"mhr","he","Possession",-0.0996125907489272,1,0.571363636363637
"mhr","ml","Possession",-0.0979178011873623,1,0.482045454545454
"mhr","ka","Possession",-0.0939707864128752,1,NA
"mhr","myv","Possession",-0.0892500112676979,1,0.475909090909091
"de","sah","Agriculture and vegetation",-0.0850617325803538,1,NA
"mhr","pl","Possession",-0.077314330779107,1,NA
"sl","te","Possession",-0.0772042871361886,3,NA
"mhr","sk","Possession",-0.0763624080486703,1,NA
"mhr","te","Agriculture and vegetation",-0.0753846923629136,3,0.272727272727273
"mhr","uz","Miscellaneous function words",-0.0715179792730179,2,NA
"ku","sl","Clothing and grooming",-0.0709006358552327,4,NA
"mhr","hy","Possession",-0.0681788039662467,1,0.397954545454545
"hr","sl","The house",-0.0671714839997474,7,NA
"mhr","br","Agriculture and vegetation",-0.0663871764157667,3,NA
"mhr","kn","Possession",-0.0639264052011939,1,NA
"mhr","br","Possession",-0.0618004954506552,1,NA
"mhr","lv","Possession",-0.0607388196527696,1,0.560454545454546
"mhr","ta","Possession",-0.0597023243221588,1,0.526590909090909
"mhr","tr","Possession",-0.05371422876458,1,0.584090909090909
"mhr","is","Possession",-0.0533547193779343,1,0.529318181818182
"lv","sl","Possession",-0.0522631536125728,5,NA
"mhr","pt","Possession",-0.0513080237513061,1,NA
"mhr","bn","The house",-0.0510899937779699,1,0.731818181818182
"mhr","ba","Possession",-0.0488195339214751,1,0.501136363636364
"mrj","de","Animals",-0.0456465303176741,1,NA
"sl","cv","Clothing and grooming",-0.0454355641035472,4,NA
"mhr","ar","Possession",-0.0452776175179459,1,NA
"sl","is","Possession",-0.0452716964518486,4,NA
"sl","ga","Clothing and grooming",-0.0449515295901591,5,NA
"mhr","tt","Miscellaneous function words",-0.043762149023356,4,NA
"sl","cv","Animals",-0.0396965080389283,9,NA
"myv","br","The house",-0.0393938312816079,11,NA
"sl","ka","Possession",-0.0380853965834667,4,NA
"mhr","ku","Clothing and grooming",-0.0336541544259586,1,NA
"mhr","kn","Motion",-0.0308804801509919,1,NA
"mhr","zh","Miscellaneous function words",-0.0291269439206081,4,NA
"mhr","bn","Motion",-0.0268088433592923,1,NA
"ps","sl","Clothing and grooming",-0.0242232280072625,6,NA
"ku","sah","Clothing and grooming",-0.0220426971922613,13,NA
"mhr","myv","Motion",-0.0218256554357881,1,NA
"mhr","myv","The house",-0.0216081881387078,1,0.505454545454545
"mhr","cy","Miscellaneous function words",-0.0212495286659257,5,NA
"sl","is","Clothing and grooming",-0.0211371563785737,6,NA
"mhr","br","Sense perception",-0.0203321298144357,4,NA
"mhr","br","Speech and language",-0.0188886175880277,5,NA
"mhr","ml","Motion",-0.0185441861793523,1,NA
"sl","en","Possession",-0.0160613986015937,4,NA
"ku","ga","Clothing and grooming",-0.016058727310558,11,NA
"mhr","no","Possession",-0.0159434447711658,1,NA
"mhr","uz","Possession",-0.015840416758905,1,NA
"sl","te","Motion",-0.0151606412760465,5,NA
"sl","uk","Clothing and grooming",-0.0141617348414825,6,NA
"ga","la","Miscellaneous function words",-0.0138620912181753,16,NA
"mhr","myv","Speech and language",-0.0133555203419467,4,NA
"uz","cv","Motion",-0.013299084584995,23,NA
