"l1","l2","cult.dist","domain","numCultVars"
"Herero","Herero",0,"Subsistence",11
"Zulu","Herero",0.636363636363635,"Subsistence",11
"Tswana","Herero",0.636363636363635,"Subsistence",11
"Shona","Herero",0.636363636363635,"Subsistence",11
"Ndonga","Herero",0.727272727272728,"Subsistence",11
"Swati","Herero",0.636363636363635,"Subsistence",11
"Tsonga","Herero",0.727272727272728,"Subsistence",11
"Venda","Herero",0.545454545454546,"Subsistence",11
"Kongo","Herero",0.818181818181818,"Subsistence",11
"Tumbuka","Herero",0.818181818181818,"Subsistence",11
"Kikuyu","Herero",0.636363636363635,"Subsistence",11
"Luganda","Herero",0.727272727272728,"Subsistence",11
"Kinyarwanda","Herero",0.636363636363635,"Subsistence",11
"Lingala","Herero",0.909090909090908,"Subsistence",11
"Kirundi","Herero",0.727272727272728,"Subsistence",11
"Igbo","Herero",0.727272727272728,"Subsistence",11
"Bambara","Herero",0.727272727272728,"Subsistence",11
"Tigrinya","Herero",0.727272727272728,"Subsistence",11
"Afar","Herero",0.545454545454546,"Subsistence",11
"Amharic","Herero",0.818181818181818,"Subsistence",11
"Kanuri","Herero",0.636363636363635,"Subsistence",11
"Wolof","Herero",0.727272727272728,"Subsistence",11
"Egyptian Arabic","Herero",0.818181818181818,"Subsistence",11
"Kabyle","Herero",0.727272727272728,"Subsistence",11
"Albanian","Herero",0.727272727272728,"Subsistence",11
"Latin","Herero",0.818181818181818,"Subsistence",11
"Neapolitan","Herero",0.818181818181818,"Subsistence",11
"Spanish","Herero",0.727272727272728,"Subsistence",11
"Greek","Herero",0.818181818181818,"Subsistence",11
"English","Herero",0.818181818181818,"Subsistence",11
"French","Herero",0.818181818181818,"Subsistence",11
"Dutch","Herero",0.818181818181818,"Subsistence",11
"Icelandic","Herero",0.636363636363635,"Subsistence",11
"Irish","Herero",0.727272727272728,"Subsistence",11
"Northern Sami","Herero",0.363636363636364,"Subsistence",11
"Serbian","Herero",0.727272727272728,"Subsistence",11
"Russian","Herero",0.727272727272728,"Subsistence",11
"Bashkir","Herero",0.818181818181818,"Subsistence",11
"Chuvash","Herero",0.818181818181818,"Subsistence",11
"Erzya","Herero",0.727272727272728,"Subsistence",11
"Estonian","Herero",0.818181818181818,"Subsistence",11
"Gagauz","Herero",0.727272727272728,"Subsistence",11
"Tatar","Herero",0.818181818181818,"Subsistence",11
"Latvian","Herero",0.818181818181818,"Subsistence",11
"Vepsian","Herero",0.727272727272728,"Subsistence",11
"Czech","Herero",0.727272727272728,"Subsistence",11
"Meadow Mari","Herero",0.818181818181818,"Subsistence",11
"Bulgarian","Herero",0.727272727272728,"Subsistence",11
"Belarusian","Herero",0.818181818181818,"Subsistence",11
"Ukrainian","Herero",0.818181818181818,"Subsistence",11
"Hungarian","Herero",0.818181818181818,"Subsistence",11
"Lithuanian","Herero",0.818181818181818,"Subsistence",11
"Kalmyk","Herero",0.636363636363635,"Subsistence",11
"Armenian","Herero",0.727272727272728,"Subsistence",11
"Kurdish (Sorani)","Herero",0.818181818181818,"Subsistence",11
"Abkhazian","Herero",0.454545454545454,"Subsistence",11
"Kabardian","Herero",0.727272727272728,"Subsistence",11
"Turkish","Herero",0.727272727272728,"Subsistence",11
"Ossetian","Herero",0.636363636363635,"Subsistence",11
"Hebrew","Herero",0.818181818181818,"Subsistence",11
"Sindhi","Herero",0.818181818181818,"Subsistence",11
"Eastern Punjabi","Herero",0.727272727272728,"Subsistence",11
"Kazakh","Herero",0.636363636363635,"Subsistence",11
"Sakha","Herero",0.545454545454546,"Subsistence",11
"Korean","Herero",0.909090909090908,"Subsistence",11
"Chinese","Herero",0.909090909090908,"Subsistence",11
"Nuosu","Herero",0.818181818181818,"Subsistence",11
"Japanese","Herero",0.727272727272728,"Subsistence",11
"Tibetan","Herero",0.727272727272728,"Subsistence",11
"Bengali","Herero",0.818181818181818,"Subsistence",11
"Kashmiri","Herero",0.727272727272728,"Subsistence",11
"Gujarati","Herero",0.818181818181818,"Subsistence",11
"Telugu","Herero",0.727272727272728,"Subsistence",11
"Tamil","Herero",0.818181818181818,"Subsistence",11
"Malayalam","Herero",0.818181818181818,"Subsistence",11
"Sinhalese","Herero",0.818181818181818,"Subsistence",11
"Burmese","Herero",0.818181818181818,"Subsistence",11
"Vietnamese","Herero",0.909090909090908,"Subsistence",11
"Khmer","Herero",0.818181818181818,"Subsistence",11
"Malay","Herero",0.909090909090908,"Subsistence",11
"Thai","Herero",0.909090909090908,"Subsistence",11
"Cebuano","Herero",0.909090909090908,"Subsistence",11
"Banyumasan","Herero",0.818181818181818,"Subsistence",11
"Minangkabau","Herero",0.909090909090908,"Subsistence",11
"Tetum","Herero",0.727272727272728,"Subsistence",11
"Nauruan","Herero",0.909090909090908,"Subsistence",11
"Chamorro","Herero",0.727272727272728,"Subsistence",11
"Samoan","Herero",0.909090909090908,"Subsistence",11
"Tongan","Herero",0.909090909090908,"Subsistence",11
"Maori","Herero",0.909090909090908,"Subsistence",11
"Hawaiian","Herero",0.818181818181818,"Subsistence",11
"Tahitian","Herero",0.909090909090908,"Subsistence",11
"Inupiak","Herero",0.545454545454546,"Subsistence",11
"Greenlandic","Herero",0.545454545454546,"Subsistence",11
"Cheyenne","Herero",0.727272727272728,"Subsistence",11
"Choctaw","Herero",0.909090909090908,"Subsistence",11
"Muscogee","Herero",0.909090909090908,"Subsistence",11
"Cherokee","Herero",0.818181818181818,"Subsistence",11
"Navajo","Herero",0.818181818181818,"Subsistence",11
"Haitian","Herero",0.727272727272728,"Subsistence",11
"Aymara","Herero",0.818181818181818,"Subsistence",11
"Guarani","Herero",0.818181818181818,"Subsistence",11
"Herero","Zulu",0.636363636363635,"Subsistence",11
"Zulu","Zulu",0,"Subsistence",11
"Tswana","Zulu",0,"Subsistence",11
"Shona","Zulu",0.272727272727273,"Subsistence",11
"Ndonga","Zulu",0.181818181818182,"Subsistence",11
"Swati","Zulu",0.363636363636364,"Subsistence",11
"Tsonga","Zulu",0.181818181818182,"Subsistence",11
"Venda","Zulu",0.454545454545454,"Subsistence",11
"Kongo","Zulu",0.636363636363635,"Subsistence",11
"Tumbuka","Zulu",0.454545454545454,"Subsistence",11
"Kikuyu","Zulu",0.454545454545454,"Subsistence",11
"Luganda","Zulu",0.545454545454546,"Subsistence",11
"Kinyarwanda","Zulu",0.363636363636364,"Subsistence",11
"Lingala","Zulu",0.636363636363635,"Subsistence",11
"Kirundi","Zulu",0.636363636363635,"Subsistence",11
"Igbo","Zulu",0.454545454545454,"Subsistence",11
"Bambara","Zulu",0.545454545454546,"Subsistence",11
"Tigrinya","Zulu",0.545454545454546,"Subsistence",11
"Afar","Zulu",0.727272727272728,"Subsistence",11
"Amharic","Zulu",0.636363636363635,"Subsistence",11
"Kanuri","Zulu",0.636363636363635,"Subsistence",11
"Wolof","Zulu",0.363636363636364,"Subsistence",11
"Egyptian Arabic","Zulu",0.636363636363635,"Subsistence",11
"Kabyle","Zulu",0.545454545454546,"Subsistence",11
"Albanian","Zulu",0.454545454545454,"Subsistence",11
"Latin","Zulu",0.636363636363635,"Subsistence",11
"Neapolitan","Zulu",0.636363636363635,"Subsistence",11
"Spanish","Zulu",0.545454545454546,"Subsistence",11
"Greek","Zulu",0.636363636363635,"Subsistence",11
"English","Zulu",0.636363636363635,"Subsistence",11
"French","Zulu",0.636363636363635,"Subsistence",11
"Dutch","Zulu",0.636363636363635,"Subsistence",11
"Icelandic","Zulu",0.454545454545454,"Subsistence",11
"Irish","Zulu",0.363636363636364,"Subsistence",11
"Northern Sami","Zulu",0.727272727272728,"Subsistence",11
"Serbian","Zulu",0.454545454545454,"Subsistence",11
"Russian","Zulu",0.545454545454546,"Subsistence",11
"Bashkir","Zulu",0.545454545454546,"Subsistence",11
"Chuvash","Zulu",0.636363636363635,"Subsistence",11
