"","domain","raw.r","lmeModel.CultSimilarity.Beta","lmeModel.CultSimilarity.logLikelihoodDifference","lmeModel.CultSimilarity.ChiSquared","lmeModel.CultSimilarity.p","lmeModel.CultSimilarity.p.adjusted"
"2","Possession","0.212294820332501","0.140118950805124","2.9","5.71574026496046","0.016813473711084",0.353082947932764
"3","The house","0.286146941428586","0.17975342479175","3.5","6.90519244165955","0.0085945774997422",0.180486127494586
"4","Agriculture and vegetation","0.221238242399679","0.0768404119536731","1","2.06621270741994","0.150595088758137",1
"5","Miscellaneous function words","0.299740292470524","0.256228913441167","3.4","6.7170517949038","0.0095495359632684",0.200540255228636
"6","Motion","0.290294651415985","0.0273651041104981","0.16","0.316261016556609","0.573863349015463",1
"7","Speech and language","0.309136535168383","0.114741554164566","1.6","3.2720462244564","0.0704696752331851",1
"8","Modern world","0.314183840641017","0.161816870123673","3","6.0802672708632","0.0136700087377399",0.287070183492538
"9","Cognition","0.297739741450263","0.109522350568976","1.6","3.12193171422552","0.077245161695696",1
"10","Clothing and grooming","0.227534032639727","0.138790790211967","1.8","3.52409504152922","0.0604828349271209",1
"11","Sense perception","0.291470844320396","0.138958891665327","3","5.9725243424565","0.0145304655429869",0.305139776402725
"12","Time","0.188561776958389","0.209264344074257","1.9","3.89866263239355","0.0483245612562401",1
"13","Spatial relations","0.314791953423732","0.183508432425481","2.6","5.15651609895451","0.0231593085427584",0.486345479397926
"14","Emotions and values","0.222724024302292","0.0638411331957826","0.67","1.34162561463756","0.246747491160723",1
"15","Social and political relations","0.337372034545963","0.125532867840407","1.9","3.8348705331822","0.0501968676131636",1
"16","Basic actions and technology","0.283482968339327","0.0681222325395447","0.99","1.97726450439046","0.159678882387462",1
"17","The body","0.255581341392805","0.151344088583505","4.1","8.21721258317564","0.00414948893373846",0.0871392676085077
"18","The physical world","0.28164413289861","0.0746893281175775","0.88","1.76056581693683","0.184553956333642",1
"19","Food and drink","0.382827031765874","0.131907471159677","3.3","6.6043909904605","0.010172759071378",0.213627940498938
"20","Kinship","0.235944765004664","0.0985678216375816","0.55","1.10693074697531","0.292750110451972",1
"21","Animals","0.235418378131823","0.167008746020842","2.4","4.77117882803213","0.028940003387165",0.607740071130465
"22","Quantity","0.274173765638208","0.190941889708384","0.9","1.80457777739457","0.179160047698502",1
